occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Managerial,40.25632922246301,37,0.34,15.667153429643474,12,0.22,13.490579556150305,13,0.418,32,-0.008864432151821179,0.004744305131606569,false,false,false,Not_significant
2,Professional_specialty,27.456229795516943,37,0.868,8.271052709295391,12,0.768,9.420524482227696,13,0.722,30,-0.006310278427268066,0.003946598601879161,false,false,false,Not_significant
3,High_tech,20.350741020664742,37,0.982,7.9599087714291334,12,0.776,7.182754723832299,13,0.876,6,0.007071943369580894,0.003619653360551225,false,false,false,Not_significant
4,Sales,76.49045709429909,37,0.0,24.912689363765192,12,0.03,25.64796154014996,13,0.03,24,-0.012147211119508285,0.0033101732221062314,true,false,false,Not_significant
5,Administrative_support,27.84781400956245,37,0.862,8.338828124852862,12,0.76,11.191971420848219,13,0.592,24,-0.00589683243584005,0.0025582713973181996,false,false,false,Not_significant
6,Service,23.319394701455444,37,0.954,10.037494704086699,12,0.586,6.010348312411616,13,0.948,31,-0.007168379869671334,0.00419986195429063,false,false,false,Not_significant
7,Farming_forestry_construction,17.023577843111216,37,0.998,5.393714695738367,12,0.964,4.795864112415336,13,0.986,19,-0.010048642901049412,0.008318982168795567,false,false,false,Not_significant
8,Precision_production_repair,34.76749580860832,37,0.578,9.56857850352964,12,0.644,18.03409958360419,13,0.15,9,-0.008760323624860405,0.003256255797188502,false,false,false,Not_significant
9,Machine_operators_transport,43.74111594090455,37,0.208,12.855123944785717,12,0.382,16.315111290075315,13,0.222,32,-0.011948268542627451,0.004661832471883726,false,false,false,Not_significant
