spec,pearson_r,pearson_p,spearman_r,spearman_p
A_cumulative_h0_12_u24_36,-0.45999417642552703,0.005431344410959001,-0.3638655462184874,0.03165448985368646
B_endpoint_h12_u36,-0.6275756974360208,5.4556846448316675e-05,-0.1403361344537815,0.4213516532961465
R1_cumulative_h0_6_u18_30,-0.48358108921961934,0.003250452021174041,-0.29103641456582635,0.08984743322956576
R2_cumulative_h0_18_u18_36,-0.27978508682607944,0.10356439639301564,-0.3725490196078432,0.027523677734465145
R3_cumulative_h6_12_u30_36,-0.6171166502725421,7.861781737041126e-05,-0.4215686274509804,0.011660548425881942
R4_endpoint_h6_u24,0.3707129083123588,0.028357975941709662,0.011204481792717089,0.9490648525253665
