spec,n_cells,hours_negative_n,unemployment_positive_n,sequence_sign_consistent_n,hours_sig_neg90_n,unemployment_sig_pos90_n,sequence_sig90_consistent_n,hours_sig_neg68_n,unemployment_sig_pos68_n,sequence_sig68_consistent_n,hours_negative_share,unemployment_positive_share,sequence_sign_consistent_share,hours_sig_neg90_share,unemployment_sig_pos90_share,sequence_sig90_consistent_share,hours_sig_neg68_share,unemployment_sig_pos68_share,sequence_sig68_consistent_share
A_cumulative_h0_12_u24_36,35,31,35,31,29,35,29,31,35,31,0.8857142857142857,1.0,0.8857142857142857,0.8285714285714286,1.0,0.8285714285714286,0.8857142857142857,1.0,0.8857142857142857
B_endpoint_h12_u36,35,25,31,23,11,4,2,17,16,7,0.7142857142857143,0.8857142857142857,0.6571428571428571,0.3142857142857143,0.11428571428571428,0.05714285714285714,0.4857142857142857,0.45714285714285713,0.2
R1_cumulative_h0_6_u18_30,35,28,34,28,23,34,23,26,34,26,0.8,0.9714285714285714,0.8,0.6571428571428571,0.9714285714285714,0.6571428571428571,0.7428571428571429,0.9714285714285714,0.7428571428571429
R2_cumulative_h0_18_u18_36,35,31,35,31,30,35,30,31,35,31,0.8857142857142857,1.0,0.8857142857142857,0.8571428571428571,1.0,0.8571428571428571,0.8857142857142857,1.0,0.8857142857142857
R3_cumulative_h6_12_u30_36,35,31,35,31,28,34,27,31,34,30,0.8857142857142857,1.0,0.8857142857142857,0.8,0.9714285714285714,0.7714285714285715,0.8857142857142857,0.9714285714285714,0.8571428571428571
R4_endpoint_h6_u24,35,24,32,22,9,29,7,14,31,11,0.6857142857142857,0.9142857142857143,0.6285714285714286,0.2571428571428571,0.8285714285714286,0.2,0.4,0.8857142857142857,0.3142857142857143
