spec,model,term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
A_cumulative_h0_12_u24_36,ols_raw_hours,Intercept,0.029179410396878366,0.0015807071253200662,18.459719659307563,4.3559657429371224e-76,0.026081281361145195,0.03227753943261154
A_cumulative_h0_12_u24_36,ols_raw_hours,early_hours,-0.19751799401391026,0.06881984180922351,-2.8700733512502508,0.004103765891644319,-0.33240240538173216,-0.06263358264608834
A_cumulative_h0_12_u24_36,ols_decline_intensity,Intercept,0.029179410396878366,0.0015807071253200662,18.459719659307563,4.3559657429371224e-76,0.026081281361145195,0.03227753943261154
A_cumulative_h0_12_u24_36,ols_decline_intensity,early_hours_decline,0.19751799401391026,0.06881984180922351,2.8700733512502508,0.004103765891644319,0.06263358264608834,0.33240240538173216
A_cumulative_h0_12_u24_36,ols_decline_plus_industry_fe,Intercept,0.0284395733716529,0.0033570677269581465,8.471551867504955,2.421451194369068e-17,0.021859841533153186,0.03501930521015261
A_cumulative_h0_12_u24_36,ols_decline_plus_industry_fe,C(industry)[T.Manufacturing_Construction],0.006418928966424857,0.00470239113377871,1.3650351031660748,0.17224201732013145,-0.002797588297001886,0.0156354462298516
A_cumulative_h0_12_u24_36,ols_decline_plus_industry_fe,C(industry)[T.Services],-0.0031284434073635494,0.0045517871295590075,-0.6873000248732289,0.4918936831650509,-0.012049782246592157,0.005792895431865059
A_cumulative_h0_12_u24_36,ols_decline_plus_industry_fe,C(industry)[T.Trade],-0.0005714140909501338,0.004469345674915038,-0.12785184510504355,0.8982662202311993,-0.009331170648243469,0.008188342466343201
A_cumulative_h0_12_u24_36,ols_decline_plus_industry_fe,early_hours_decline,0.1993049459452122,0.06032873009164122,3.3036489520409558,0.0009543525546055165,0.08106280773255761,0.3175470841578668
B_endpoint_h12_u36,ols_raw_hours,Intercept,0.0012011727933772687,0.0003354989308169841,3.580258185777984,0.000343254874740368,0.0005436069721242847,0.001858738614630253
B_endpoint_h12_u36,ols_raw_hours,early_hours,-0.1672530961155422,0.0400363780369033,-4.177528146062005,2.9469420660491892e-05,-0.2457229551393031,-0.0887832370917813
B_endpoint_h12_u36,ols_decline_intensity,Intercept,0.0012011727933772687,0.0003354989308169841,3.580258185777984,0.000343254874740368,0.0005436069721242847,0.001858738614630253
B_endpoint_h12_u36,ols_decline_intensity,early_hours_decline,0.1672530961155422,0.0400363780369033,4.177528146062005,2.9469420660491892e-05,0.0887832370917813,0.2457229551393031
B_endpoint_h12_u36,ols_decline_plus_industry_fe,Intercept,0.0018021530592105257,0.000976800464536569,1.8449551619178797,0.06504406135722576,-0.00011234067136314395,0.003716646789784195
B_endpoint_h12_u36,ols_decline_plus_industry_fe,C(industry)[T.Manufacturing_Construction],-0.0006200529313341095,0.0009776629230613808,-0.6342195420406472,0.5259375558629152,-0.00253623704955457,0.0012961311868863509
B_endpoint_h12_u36,ols_decline_plus_industry_fe,C(industry)[T.Services],-0.0010442048805338819,0.0010101096521251626,-1.033753987338886,0.3012511872367233,-0.0030239834191354833,0.0009355736580677195
B_endpoint_h12_u36,ols_decline_plus_industry_fe,C(industry)[T.Trade],-0.0009318999242816565,0.0010340746177859806,-0.9011921463432816,0.3674861659540587,-0.0029586489324692003,0.0010948490839058876
B_endpoint_h12_u36,ols_decline_plus_industry_fe,early_hours_decline,0.18226038456548063,0.03181806320808093,5.72820486820805,1.0149894631598516e-08,0.11989812661982305,0.24462264251113822
R1_cumulative_h0_6_u18_30,ols_raw_hours,Intercept,0.03581820848512532,0.0024686706552574334,14.509107729232593,1.0609160763866413e-47,0.030979702911129853,0.04065671405912079
R1_cumulative_h0_6_u18_30,ols_raw_hours,early_hours,-0.2705434334317398,0.028857641294840856,-9.375105562771942,6.910658198951251e-21,-0.3271033710484037,-0.21398349581507592
R1_cumulative_h0_6_u18_30,ols_decline_intensity,Intercept,0.03581820848512532,0.0024686706552574334,14.509107729232593,1.0609160763866413e-47,0.030979702911129853,0.04065671405912079
R1_cumulative_h0_6_u18_30,ols_decline_intensity,early_hours_decline,0.2705434334317398,0.028857641294840856,9.375105562771942,6.910658198951251e-21,0.21398349581507592,0.3271033710484037
R1_cumulative_h0_6_u18_30,ols_decline_plus_industry_fe,Intercept,0.02931703103300107,0.005062325266014486,5.791218361613112,6.987765673793592e-09,0.01939505583358553,0.039239006232416614
R1_cumulative_h0_6_u18_30,ols_decline_plus_industry_fe,C(industry)[T.Manufacturing_Construction],0.02028890509236202,0.007294589710238166,2.781363434859943,0.005413109999600841,0.005991771978298746,0.03458603820642529
R1_cumulative_h0_6_u18_30,ols_decline_plus_industry_fe,C(industry)[T.Services],0.002392821239041219,0.0059008037954771195,0.40550767691602996,0.6851043765907538,-0.00917254167993119,0.013958184158013628
R1_cumulative_h0_6_u18_30,ols_decline_plus_industry_fe,C(industry)[T.Trade],0.002763350025265626,0.005651920005329454,0.48892235252090205,0.6248966700773546,-0.008314209628681535,0.013840909679212787
R1_cumulative_h0_6_u18_30,ols_decline_plus_industry_fe,early_hours_decline,0.24317562028031275,0.02765760424087509,8.79236025515631,1.4645029081822129e-18,0.18896771206953533,0.2973835284910902
R2_cumulative_h0_18_u18_36,ols_raw_hours,Intercept,0.044923777477085744,0.003596819796802874,12.489860492042833,8.480221032372667e-36,0.03787414021647144,0.05197341473770005
R2_cumulative_h0_18_u18_36,ols_raw_hours,early_hours,-0.14889199999174715,0.135893933603152,-1.0956486139149753,0.27323257842867577,-0.41523921557140253,0.1174552155879082
R2_cumulative_h0_18_u18_36,ols_decline_intensity,Intercept,0.044923777477085744,0.003596819796802874,12.489860492042833,8.480221032372667e-36,0.03787414021647144,0.05197341473770005
R2_cumulative_h0_18_u18_36,ols_decline_intensity,early_hours_decline,0.14889199999174715,0.135893933603152,1.0956486139149753,0.27323257842867577,-0.1174552155879082,0.41523921557140253
R2_cumulative_h0_18_u18_36,ols_decline_plus_industry_fe,Intercept,0.03889804389383072,0.005208555901994067,7.4681052917064426,8.135773517623443e-14,0.02868946191445881,0.04910662587320262
R2_cumulative_h0_18_u18_36,ols_decline_plus_industry_fe,C(industry)[T.Manufacturing_Construction],0.022902210332293085,0.009128684372833852,2.5088182915435233,0.012113577961667241,0.005010317735305123,0.04079410292928105
R2_cumulative_h0_18_u18_36,ols_decline_plus_industry_fe,C(industry)[T.Services],0.0023538092950843876,0.007657388288831942,0.3073906149590643,0.7585460708087837,-0.012654395966665012,0.01736201455683379
R2_cumulative_h0_18_u18_36,ols_decline_plus_industry_fe,C(industry)[T.Trade],-0.0037279061215974157,0.007249922710556037,-0.5141994294876423,0.6071125666017791,-0.017937493524986255,0.010481681281791425
R2_cumulative_h0_18_u18_36,ols_decline_plus_industry_fe,early_hours_decline,0.16395506710511232,0.12092022113433358,1.355894535811096,0.1751327263302619,-0.07304421132080058,0.4009543455310252
