ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,27.204176862447476,37,0.888,10.731835386616195,12,0.558,7.90229496074936,13,0.85,20,-0.00027087259866722513,0.0001663696075463712,false,false,false,Not_significant
2,Mining,false,23.725811829676594,37,0.962,18.39461313097711,12,0.1,1.7248624382404947,13,1.0,0,-0.0005068087860747154,0.0001737008436708152,false,false,false,Not_significant
3,Construction,false,28.418505047018126,37,0.846,17.724267609334394,12,0.124,3.125716901853527,13,1.0,6,0.0008890691614559442,0.0004625534029829653,false,false,false,Not_significant
4,Manufacturing_nondurable,false,39.37284406276087,37,0.384,13.927227712924816,12,0.288,10.756984693688725,13,0.634,13,0.000752228052789481,0.0003677982907509125,false,false,false,Not_significant
5,Manufacturing_durable,false,17.622619280673238,37,0.998,9.526977529770392,12,0.646,3.8431302374794147,13,0.996,29,-0.0009074613587049562,0.0006568659243464908,false,false,false,Not_significant
6,Transportation_utilities,false,21.26086062100509,37,0.986,7.782023338255063,12,0.808,5.280286727577889,13,0.97,16,-0.0008420535033252168,0.0005363880600593518,false,false,false,Not_significant
7,Wholesale_trade,false,24.35395807936962,37,0.966,8.840049516461447,12,0.71,6.573129471946101,13,0.93,18,0.0006088242063730199,0.0003942245879082373,false,false,false,Not_significant
8,Retail_trade,false,72.82025885740374,37,0.002,15.50425494826305,12,0.206,31.095505607558163,13,0.006,26,-0.0014475587716246238,0.0005737336625870165,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,false,49.544258516599314,37,0.06,19.34194796406487,12,0.072,11.128626997411091,13,0.602,17,-0.0014000493211938113,0.000523132256392145,false,false,false,Not_significant
10,Business_repair_services,false,61.67737140895724,37,0.002,9.093642569583215,12,0.696,35.00641517850415,13,0.0,25,-0.001458640726831962,0.000538674955101788,true,false,true,Delayed_persistent
11,Personal_entertainment_services,false,108.43294849359549,37,0.0,18.871329292711575,12,0.094,55.16959405809155,13,0.0,29,-0.0010099610536044505,0.0003187865703114921,true,false,true,Delayed_persistent
12,Professional_related_services,false,109.16756820632047,37,0.0,33.81444855547851,12,0.002,34.75135751533331,13,0.0,19,0.003141482233753758,0.0009952749044814166,true,true,true,Persistent
13,Public_administration,false,22.23737434383624,37,0.974,11.062933736524853,12,0.516,4.51285154007239,13,0.984,8,-0.000711946589360457,0.0003957689414442568,false,false,false,Not_significant
