horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,0.00011022653466797919,0.00019569158008829113,-0.0001474080242146727,0.00039377399781847155,-4.306899732127426e-5,0.0002743373948785443
0,shock_g2,-0.0003925006769621802,0.00018350127332108707,-0.0006021597189060741,-0.00016251152860458353,-0.0005105347673007012,-0.0002422901752537647
0,shock_g3,-1.1129287325004502e-5,0.00011365505449493013,-0.00016269284390814148,0.0001376199613441884,-0.00010211493853838109,8.099862639223155e-5
0,shock_g4,-3.452079220662683e-5,0.0001448624016769651,-0.00022750608687957755,0.00016732297693383368,-0.00015161840155267825,8.281413904694002e-5
0,shock_g5,-0.0001179517383520888,0.00016075737915670422,-0.0003322744122581164,7.899133608481631e-5,-0.0002423258348379349,4.5402847546065255e-6
0,shock_g6,8.450861637847666e-5,9.273266811706594e-5,-1.832206722515504e-5,0.00020979112949142715,1.6990512628384483e-5,0.00015478404445638732
0,shock_g7,-2.71891221635532e-5,9.873802944692349e-5,-0.00013782145998989946,9.321671812978026e-5,-0.00010354856121093954,4.73161049212357e-5
0,shock_g8,0.00011847693663596713,0.00015564572309109613,-4.711419057687275e-5,0.00031001135829379634,8.227539583375296e-6,0.00023376694202806119
0,shock_g9,-0.00012736826114727814,0.00017985167992641522,-0.0003564801405593883,9.474713204462611e-5,-0.00026670814878530216,6.584442498958689e-6
0,shock_lag1,3.3336143945406423e-7,5.841276176439713e-5,-8.203928499188478e-5,7.789464027711301e-5,-4.577335206922564e-5,4.016108636124072e-5
0,ylag1,0.46733300888104806,0.028671459429290686,0.4392412301470992,0.4971403767914556,0.453084510216566,0.4863196320716862
0,log_oil_lag1,8.5366224212674e-5,8.562686651746673e-5,-1.7535415233266012e-5,0.0002049157733133879,2.9304358777346675e-5,0.0001533735694181865
0,ffr_lag1,2.1677272134968808e-5,2.8855689928106217e-5,-1.7530096111653263e-5,5.594040934678459e-5,-5.927473992398377e-6,4.3982059360325344e-5
0,cpi_lag1,-3.208014063967186e-6,1.0253616600925902e-6,-4.591153179158521e-6,-2.0796878608922664e-6,-4.04631218329802e-6,-2.5187654163084736e-6
0,indpro_lag1,-2.1171028122941514e-5,5.283967040016608e-6,-2.7817966084213673e-5,-1.5194274381753809e-5,-2.5273031205957496e-5,-1.738463719515336e-5
0,t10y3m_lag1,4.1412946469386896e-5,5.315908896293484e-5,-3.311507519865712e-5,0.00010516768848548068,-6.584149956470245e-6,8.19118075545272e-5
0,age_mean,1.8757391844634143e-5,1.576529719442839e-5,-8.673332661933525e-7,3.632684526479121e-5,6.225897405997802e-6,2.974746123279335e-5
0,female_share,0.0015380046177209414,0.0007274416650539295,0.0007904874153194452,0.0024550950790582517,0.001075304965709729,0.002010079202997111
1,shock_g1,0.00023663023381725285,0.00020882296380681244,-1.3822856234359623e-5,0.0004902137130677538,7.451882207785786e-5,0.00040028602624060525
1,shock_g2,-0.00027411543339375704,0.00017479567176515283,-0.0005018676728689826,-7.513216680507935e-5,-0.0004159261918431138,-0.0001422837443213624
1,shock_g3,0.00017058670516238172,0.0001792763915997508,-5.610876557594579e-5,0.00039586688915863234,2.728174874038611e-5,0.00031647645354434894
1,shock_g4,0.000130416957587684,0.00012643161747435218,-7.626824974655693e-5,0.0002944132801118266,1.7158912362873443e-5,0.00022527370288825228
1,shock_g5,8.314699377273536e-5,0.0001886188452834835,-0.00015762915321018695,0.0003203506277698562,-5.304281758129352e-5,0.00022096325187418524
1,shock_g6,-0.0001007945995010618,0.00015716127168554576,-0.00030239821779790043,8.641844598142751e-5,-0.00021470043138200029,9.954776480209821e-6
1,shock_g7,-9.711651826106753e-5,0.00012091644027813632,-0.00024300944428113015,5.297707873094744e-5,-0.00017994936929080052,-2.8159846065656783e-6
1,shock_g8,8.943325026016214e-5,0.00014734938028342705,-7.681906609566744e-5,0.0002468228504933546,-1.6812591557888518e-5,0.00019534845488686876
1,shock_g9,-0.0002065681671419621,0.0001770323920325123,-0.00043026545476703966,1.164753230112865e-5,-0.0003341895772451258,-7.31478135851131e-5
1,shock_lag1,2.6629886993125933e-5,5.948677870449147e-5,-4.7010928128001976e-5,0.00010507879417066574,-1.725386883368028e-5,8.046065219011804e-5
1,ylag1,0.46920699863497456,0.029630618785196693,0.4373003526245555,0.5028859370919293,0.4510276410948861,0.48850124028931946
