horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68,outcome,industry,industry_label,occ_group,occupation
0,-0.00032325001416750915,-0.009159386068469506,0.008632270138885107,-0.006093292668438161,0.004483964925872538,median,Energy_intensive,Energy intensive,1,Managerial
1,0.00047311096731404977,-0.008476527986994215,0.008155661897036261,-0.004547823167635111,0.005126609263975712,median,Energy_intensive,Energy intensive,1,Managerial
2,0.013031065561225238,0.005638340617686651,0.02159679853248831,0.00796394617799899,0.01820084565686249,median,Energy_intensive,Energy intensive,1,Managerial
3,-0.004108857738410948,-0.011849645770752062,0.004015662206806505,-0.00858962909441011,0.0007349149720207804,median,Energy_intensive,Energy intensive,1,Managerial
4,0.0013357736524821375,-0.007722900404379755,0.009573823157422487,-0.003895339008597468,0.0067570669710081775,median,Energy_intensive,Energy intensive,1,Managerial
5,0.005146200651881751,-0.0026772564111407484,0.01207067330633136,0.0002961563786154312,0.009236049809550029,median,Energy_intensive,Energy intensive,1,Managerial
6,0.008309919828478543,0.00048290656339801397,0.01574767857780343,0.0036143000424407306,0.01310826481088118,median,Energy_intensive,Energy intensive,1,Managerial
7,0.008299370816486589,-0.0002708921671123344,0.01606400822012307,0.00321127843398629,0.013155847413040609,median,Energy_intensive,Energy intensive,1,Managerial
8,0.006661878573236738,0.0009777066442476267,0.01435421032583599,0.0027627025329706365,0.011071221288942454,median,Energy_intensive,Energy intensive,1,Managerial
9,0.007816794703083395,-0.0038120000616180226,0.018078165109094678,0.0009244259045467097,0.014411256371969577,median,Energy_intensive,Energy intensive,1,Managerial
10,0.006257494930130372,-0.0020263900579884477,0.014033995733971997,0.0015775880240045583,0.011072585777397151,median,Energy_intensive,Energy intensive,1,Managerial
11,-0.001028955873397684,-0.01017620907435659,0.007281718346588351,-0.0067433373023141575,0.00353189268852525,median,Energy_intensive,Energy intensive,1,Managerial
12,0.010064251190755104,0.0031002361698826576,0.017702717916454322,0.0057805184962640204,0.014731649617932874,median,Energy_intensive,Energy intensive,1,Managerial
13,-0.0010579563488940843,-0.009379508144461892,0.0072027093555376495,-0.005927269385591556,0.004002051704742322,median,Energy_intensive,Energy intensive,1,Managerial
14,0.0040278100146409115,-0.00763338516094521,0.014876527494901025,-0.0026060564774738953,0.010232212186568487,median,Energy_intensive,Energy intensive,1,Managerial
15,0.010667698349338459,0.0003918237944149205,0.020625190625008318,0.0048150940041367905,0.016542176387395646,median,Energy_intensive,Energy intensive,1,Managerial
16,-0.0038967308812467585,-0.011133241530628593,0.0035238825298770557,-0.008057983757197082,0.0004425465584037276,median,Energy_intensive,Energy intensive,1,Managerial
17,0.004926478129139256,-0.0033463761125936704,0.01304552441003443,-0.00042104781201109977,0.00909271006033375,median,Energy_intensive,Energy intensive,1,Managerial
18,-0.0030951611617294123,-0.009612829605939392,0.004131113095331675,-0.007120445153256778,0.001415210781616908,median,Energy_intensive,Energy intensive,1,Managerial
19,0.003629323259999607,-0.006532995420509615,0.011895236639076327,-0.002392359678316194,0.00935112706852497,median,Energy_intensive,Energy intensive,1,Managerial
20,-0.0022274590801888336,-0.0085906250751244,0.004563423466465169,-0.005713975902873385,0.0018497333548183298,median,Energy_intensive,Energy intensive,1,Managerial
21,-0.007929700827853084,-0.01534297910149848,0.0001674695236675173,-0.012460113608779723,-0.0033339292776395826,median,Energy_intensive,Energy intensive,1,Managerial
22,-0.00132646198381407,-0.011471476718246384,0.009281855218105867,-0.0072963777993493625,0.00506266076559262,median,Energy_intensive,Energy intensive,1,Managerial
23,0.010956341068333039,0.002754869993508569,0.019319356205060763,0.006168141428525367,0.016124495203399848,median,Energy_intensive,Energy intensive,1,Managerial
24,0.005135217106558662,-0.004574301727481245,0.014486630635202459,-0.0007754876738698116,0.010947847309251699,median,Energy_intensive,Energy intensive,1,Managerial
25,0.0009945733591524696,-0.0083947788659138,0.010527085944128453,-0.004751753228002358,0.006514883999331805,median,Energy_intensive,Energy intensive,1,Managerial
26,-0.008052225214676113,-0.01710641206074947,-0.0007775518294301205,-0.013547582634308938,-0.003593058171666005,median,Energy_intensive,Energy intensive,1,Managerial
27,0.0023503515081711194,-0.00689617127357177,0.012702400883168867,-0.0039975703872376705,0.008361270217209347,median,Energy_intensive,Energy intensive,1,Managerial
28,-0.0016820911461415335,-0.012689134614267919,0.009071795800974386,-0.008031412789743727,0.004159173250924781,median,Energy_intensive,Energy intensive,1,Managerial
29,0.007486182068103024,-0.004702905229773149,0.019917699996468884,-6.199140184369022e-5,0.014617749166893778,median,Energy_intensive,Energy intensive,1,Managerial
30,0.003935056919096375,-0.003628153797013709,0.010593846997288853,-0.0005142615561790354,0.008008428642665606,median,Energy_intensive,Energy intensive,1,Managerial
31,0.004143235400745051,-0.0022043876858285063,0.010969470972625645,7.47009966697949e-5,0.008221708332762898,median,Energy_intensive,Energy intensive,1,Managerial
32,0.009391555576190626,0.0012096034831684654,0.01747819814787368,0.003984465132598713,0.014232189763134813,median,Energy_intensive,Energy intensive,1,Managerial
33,0.00025765049681214763,-0.008112390748592786,0.008384652325117255,-0.0051049946515745355,0.005010559295101221,median,Energy_intensive,Energy intensive,1,Managerial
34,0.0013651909312416765,-0.0063954642288058805,0.011016339227557164,-0.0033517592028885334,0.006895108053091273,median,Energy_intensive,Energy intensive,1,Managerial
35,-0.013575642585884323,-0.020865709093443277,-0.005767396891938709,-0.017866107458338266,-0.009035689519189077,median,Energy_intensive,Energy intensive,1,Managerial
36,0.0067060398824827375,-0.0025536233163069447,0.01443297634243607,0.0006809986346835196,0.011158908263071,median,Energy_intensive,Energy intensive,1,Managerial
0,0.0016047055854955595,-0.010939516481717294,0.012803944094205903,-0.005675144127670916,0.008170866505793073,median,Energy_intensive,Energy intensive,2,Professional specialty
1,0.002477772570018829,-0.007191834906618082,0.01349877894646415,-0.0035759557884723603,0.00852258987903491,median,Energy_intensive,Energy intensive,2,Professional specialty
2,0.001682541365752655,-0.00728925894824628,0.011830078926898899,-0.003759655988403216,0.00795484518759204,median,Energy_intensive,Energy intensive,2,Professional specialty
3,-0.011122322058246523,-0.02199813482707692,-0.0008871844717235448,-0.017308751698560432,-0.0051277541390356285,median,Energy_intensive,Energy intensive,2,Professional specialty
4,-0.006231400039067928,-0.015615951666832929,0.0021372282544275456,-0.011580568333055824,-0.0010029173964950216,median,Energy_intensive,Energy intensive,2,Professional specialty
5,-0.012328475147030834,-0.024318990889223416,-0.0031822986773174765,-0.01996779828632535,-0.006868453188258896,median,Energy_intensive,Energy intensive,2,Professional specialty
6,-0.003026141098227737,-0.010177044749542157,0.004242130367119928,-0.007385971211487948,0.0011794586530820524,median,Energy_intensive,Energy intensive,2,Professional specialty
7,-0.0006922903758032513,-0.008533706573572393,0.008520749188584028,-0.004969536749470832,0.004740367334944214,median,Energy_intensive,Energy intensive,2,Professional specialty
8,-0.005443004545725893,-0.014861729462698271,0.004819954493863085,-0.011357334430392815,-0.00019121128495006978,median,Energy_intensive,Energy intensive,2,Professional specialty
9,-0.0032952191962172172,-0.011599754158868079,0.008590204367196583,-0.008273367886888483,0.003963797004259536,median,Energy_intensive,Energy intensive,2,Professional specialty
10,0.0013474242155515628,-0.008546263394924916,0.01209707576205563,-0.004674553621179416,0.008046815161834506,median,Energy_intensive,Energy intensive,2,Professional specialty
11,0.007111909573696467,-0.003645226496047621,0.01762515354108031,-1.205345052292077e-5,0.013069527091111543,median,Energy_intensive,Energy intensive,2,Professional specialty
12,-0.00721619132733422,-0.019956171935433212,0.004709538569428746,-0.014322132495740887,-8.385708072927711e-5,median,Energy_intensive,Energy intensive,2,Professional specialty
13,0.0019911646794028666,-0.0071658306865542845,0.01109683710856316,-0.003932579684301651,0.007913081340781478,median,Energy_intensive,Energy intensive,2,Professional specialty
14,0.007991613601931994,-0.0016848951587155447,0.018840025898340315,0.0023860770644363264,0.014229563450355249,median,Energy_intensive,Energy intensive,2,Professional specialty
15,-0.005285322707090217,-0.015563315477201398,0.004093518367907146,-0.011274048049540852,0.0005799003096946228,median,Energy_intensive,Energy intensive,2,Professional specialty
16,-0.00038580461880196877,-0.009068209859571134,0.007414576204941159,-0.005478141021853536,0.003981871448914405,median,Energy_intensive,Energy intensive,2,Professional specialty
17,0.004892204492946093,-0.007275607697133233,0.01799600155385959,-0.003419054833448832,0.012520079391098577,median,Energy_intensive,Energy intensive,2,Professional specialty
18,0.005859157065613594,-0.003374656318141058,0.015949549054197806,6.589067155530863e-5,0.011825346368173617,median,Energy_intensive,Energy intensive,2,Professional specialty
19,4.38322410047423e-5,-0.008689886607123384,0.011277559679731977,-0.005403904300224802,0.00636535955266769,median,Energy_intensive,Energy intensive,2,Professional specialty
20,-0.00439473061216863,-0.014869961730427459,0.00554222464652765,-0.010865643213097229,0.0009701234504637937,median,Energy_intensive,Energy intensive,2,Professional specialty
21,0.009402447149316658,-0.0006037519955218885,0.01972880649430946,0.0038484299800254267,0.016645152546321387,median,Energy_intensive,Energy intensive,2,Professional specialty
22,0.011459007321622024,-0.002638041435523866,0.023007783037125123,0.003988824812789561,0.018757027477998792,median,Energy_intensive,Energy intensive,2,Professional specialty
23,-0.0072369403543145186,-0.017082923713207993,0.0015657762498663295,-0.01291359065512607,-0.0019429914315957832,median,Energy_intensive,Energy intensive,2,Professional specialty
24,-0.008950793666698185,-0.02042040996974994,0.000694269805787023,-0.014997590487945694,-0.0027696210075262087,median,Energy_intensive,Energy intensive,2,Professional specialty
25,-0.00914349125133116,-0.018442233614665446,-0.0003856694841832889,-0.014426846149940494,-0.004275645211431218,median,Energy_intensive,Energy intensive,2,Professional specialty
