occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
1,Managerial,0,-0.0007085067106233313,0.0007572156318227813,0.356,false
1,Managerial,1,-0.0008483223416991433,0.0007680103093980846,0.244,false
1,Managerial,2,-0.001545520048594881,0.0006583991692447367,0.016,false
1,Managerial,3,-0.0012550998074615152,0.0007580587860115615,0.112,false
1,Managerial,4,-0.001072056108490325,0.0007084892156925579,0.128,false
1,Managerial,5,0.0001188932557707813,0.0006750318701963663,0.82,false
1,Managerial,6,-0.0007534345830054361,0.0007730305916374582,0.32,false
1,Managerial,7,-0.0009477650738468151,0.0008200963821815998,0.196,false
1,Managerial,8,-0.0004527757814500482,0.0007617846883693997,0.468,false
1,Managerial,9,-9.074026092529217e-5,0.0007569950098234041,0.848,false
1,Managerial,10,-0.0011159492069614907,0.0008205231797121002,0.128,false
1,Managerial,11,-0.0016008888685978301,0.0006602873714697589,0.016,false
1,Managerial,12,-0.0006605339925485723,0.0007135803214406588,0.32,false
1,Managerial,13,-0.0011691650013119844,0.0008011368098354806,0.128,false
1,Managerial,14,-0.0009824633029553698,0.0007238395693138759,0.188,false
1,Managerial,15,-0.001144503000163745,0.000744415021920255,0.116,false
1,Managerial,16,-0.0014330708480075607,0.0008296473527788167,0.06,false
1,Managerial,17,-0.0011292608707293406,0.0009013001686502584,0.2,false
1,Managerial,18,-0.0007339328742962536,0.0007923568626823932,0.368,false
1,Managerial,19,-0.0008335214885926293,0.0007849087932928457,0.352,false
1,Managerial,20,-0.0003941874612306145,0.0008931710780125699,0.644,false
1,Managerial,21,-0.0007487655163465241,0.0007947518844805704,0.376,false
1,Managerial,22,-0.0002163214066190637,0.0009021727965707425,0.812,false
1,Managerial,23,-0.0009071295654399189,0.0007479518456208477,0.204,false
1,Managerial,24,-0.0008013911998799265,0.0008262374427813839,0.34,false
1,Managerial,25,-0.0010942331623682335,0.000732384333004385,0.104,false
1,Managerial,26,-0.0010270232237160706,0.0007862541941426841,0.2,false
1,Managerial,27,-0.00036848457462717313,0.0008400709683914717,0.664,false
1,Managerial,28,-0.0009743303684646754,0.0009058813823853134,0.224,false
1,Managerial,29,-0.0005384402928702318,0.0008288805619465258,0.5,false
1,Managerial,30,-0.0002685497906284655,0.0008057533243961942,0.764,false
1,Managerial,31,-0.0003883021983034738,0.0008288037979576933,0.596,false
1,Managerial,32,-0.00042312007791106044,0.0008084049224405124,0.58,false
1,Managerial,33,-0.0004520655041905377,0.000730779858257329,0.516,false
1,Managerial,34,-0.0006143139414722743,0.0007842113076804811,0.432,false
1,Managerial,35,-0.0011590506178625224,0.0008259300012554121,0.128,false
1,Managerial,36,-0.0009617956867049599,0.0009887055131433179,0.304,false
2,Professional_specialty,0,0.0020505931295495133,0.0008711061468349025,0.02,false
2,Professional_specialty,1,0.0022741216108861013,0.000973155526948515,0.016,false
2,Professional_specialty,2,0.002247707154378832,0.0010171307759147814,0.02,false
2,Professional_specialty,3,0.0012829245402018138,0.0009081768250287842,0.136,false
2,Professional_specialty,4,0.0020221198482165787,0.0009307984845367406,0.028,false
2,Professional_specialty,5,0.0029872443074572185,0.0009567640102301887,0.0,true
2,Professional_specialty,6,0.0024759274746321874,0.0009750188046573225,0.0,true
2,Professional_specialty,7,0.0033303671563047308,0.0009184541568227727,0.0,true
2,Professional_specialty,8,0.0009177143981829502,0.0009258092847836973,0.32,false
2,Professional_specialty,9,0.0009460153751337537,0.0008115542743022083,0.268,false
2,Professional_specialty,10,0.0011311178723043536,0.0008108173236499604,0.196,false
2,Professional_specialty,11,0.0013901102341123876,0.0006770245379398077,0.06,false
2,Professional_specialty,12,0.001961015582666881,0.0007235692155643203,0.004,false
2,Professional_specialty,13,0.0017285668176328648,0.0009245621818580863,0.092,false
2,Professional_specialty,14,0.0011218051152015027,0.0011381098236852476,0.34,false
2,Professional_specialty,15,0.0015358973666345357,0.0011692292123965718,0.168,false
2,Professional_specialty,16,0.001504389700264392,0.0009784901710190143,0.108,false
2,Professional_specialty,17,0.0029932304691320704,0.0010843944542421264,0.004,false
2,Professional_specialty,18,0.0006804905045111847,0.0009554726486593949,0.42,false
2,Professional_specialty,19,0.0022943482007264384,0.0010097871907742185,0.036,false
2,Professional_specialty,20,0.0016167352806145633,0.0009049999849411013,0.076,false
2,Professional_specialty,21,0.00125582688891579,0.0008926900793990577,0.184,false
2,Professional_specialty,22,0.0011156166124823067,0.000893223771579222,0.244,false
2,Professional_specialty,23,0.001458085012945243,0.0008526459608419835,0.1,false
2,Professional_specialty,24,0.0007005013710449597,0.0007879413070392473,0.384,false
2,Professional_specialty,25,0.0022241839957135006,0.0008560387152888593,0.004,false
2,Professional_specialty,26,0.0019941407072508995,0.001028024889006965,0.044,false
2,Professional_specialty,27,0.000878773747358584,0.0009742690099959491,0.38,false
2,Professional_specialty,28,0.0006029753546808301,0.0009522631314506782,0.596,false
2,Professional_specialty,29,0.0018738586845951292,0.0011559546343574568,0.08,false
2,Professional_specialty,30,0.0007449142832429324,0.0010392483570850226,0.456,false
2,Professional_specialty,31,0.0013411352118170444,0.0009264105610487933,0.116,false
2,Professional_specialty,32,0.001967496216620713,0.0009211703591685712,0.028,false
2,Professional_specialty,33,0.001297060898398591,0.0009123040659178413,0.184,false
2,Professional_specialty,34,0.0016494398164699972,0.0008371522685631617,0.052,false
2,Professional_specialty,35,0.0005521064410657091,0.0008672338027659828,0.48,false
2,Professional_specialty,36,0.0015409268091233393,0.000779034507289102,0.052,false
3,High_tech,0,-0.00023007436592574983,0.0002772716898817268,0.412,false
3,High_tech,1,0.00019204021627727025,0.00028641342890497334,0.548,false
3,High_tech,2,-2.040482926468579e-5,0.00032604672628125766,0.88,false
3,High_tech,3,0.00019660368159117814,0.0003021706781244435,0.508,false
3,High_tech,4,0.0002373600877168082,0.0003278921945308031,0.428,false
3,High_tech,5,-6.057682481417759e-6,0.00026583629198561356,1.0,false
3,High_tech,6,0.0003443036737495745,0.0002804553767398563,0.192,false
3,High_tech,7,0.0005061057722066688,0.0003061101026442585,0.088,false
3,High_tech,8,0.00017584669801342628,0.0003419354932982266,0.692,false
3,High_tech,9,0.00024911493181491303,0.0003232071400020245,0.408,false
3,High_tech,10,9.274857006189987e-5,0.00029434862698546555,0.82,false
3,High_tech,11,0.0003272893748796851,0.00023485662990697725,0.16,false
3,High_tech,12,-0.0002506756507855861,0.0003204717092638853,0.444,false
3,High_tech,13,0.0001906298940027936,0.00032302287009055745,0.508,false
3,High_tech,14,-5.137010463924262e-5,0.0003770453870721251,0.888,false
3,High_tech,15,0.00030599837817059557,0.00030207389499991536,0.292,false
3,High_tech,16,0.0003819001721994837,0.0002620276065894398,0.144,false
3,High_tech,17,0.00019016897554196549,0.0002939747461670634,0.512,false
3,High_tech,18,0.00045810748978623096,0.0003028619068349091,0.096,false
3,High_tech,19,0.0002653572542382636,0.0003042289122146423,0.364,false
3,High_tech,20,0.00013901445790735233,0.0003230109324630767,0.628,false
3,High_tech,21,0.000131416596452626,0.0003313020462197237,0.616,false
3,High_tech,22,0.00012136967514348158,0.00029640645554128154,0.696,false
3,High_tech,23,-0.00012169674641548062,0.00033046133065443037,0.752,false
3,High_tech,24,0.0003789423218170032,0.000339930956675642,0.2,false
3,High_tech,25,3.3269616315317896e-5,0.0003443199062055014,0.964,false
3,High_tech,26,0.0007663265741000243,0.0003220861707519544,0.004,false
3,High_tech,27,-5.991887463008278e-5,0.0003453123473406126,0.872,false
3,High_tech,28,0.00023841310220286743,0.00031830717090051107,0.424,false
3,High_tech,29,0.0002081014308433102,0.0003314679741302804,0.548,false
3,High_tech,30,0.00027471926535492015,0.0003097591629451204,0.392,false
3,High_tech,31,4.969892006920797e-5,0.0002930161635530702,0.86,false
3,High_tech,32,0.0003081970867378466,0.00026421852901512975,0.252,false
3,High_tech,33,-0.00011763371900010951,0.0002937031134358437,0.66,false
3,High_tech,34,0.00036211949948386783,0.000352343896238294,0.268,false
3,High_tech,35,0.0002620913622812218,0.0003188566040650565,0.388,false
3,High_tech,36,6.709574011238668e-5,0.0003111865947653093,0.844,false
4,Sales,0,-0.00044268056495465335,0.0003995241385710215,0.272,false
4,Sales,1,-0.0007578430831117669,0.0004109281552519177,0.084,false
4,Sales,2,-0.0006491053092887439,0.0004044902684245077,0.104,false
4,Sales,3,-0.0006232402504394697,0.0003937901146374788,0.128,false
4,Sales,4,-0.001157765573784425,0.0004399187122944543,0.0,true
4,Sales,5,-0.0012252530874376879,0.0003853251288679456,0.0,true
4,Sales,6,-0.0012683641644068901,0.00037673542251886425,0.0,true
4,Sales,7,-0.0013739181424446702,0.00041974507876576156,0.012,false
4,Sales,8,-0.0009837876897020518,0.00041485845982626365,0.008,false
4,Sales,9,-0.0012017129846655242,0.0003720295544483134,0.0,true
4,Sales,10,-0.0006051684793197694,0.00043753977386825054,0.168,false
4,Sales,11,-0.0006534243891834247,0.00044150656456450597,0.184,false
4,Sales,12,-0.000610455551334021,0.0004845025832461193,0.216,false
4,Sales,13,-0.0011301035252637395,0.00042398333385018427,0.0,true
4,Sales,14,-0.0006911141916815485,0.0004189432971031014,0.128,false
4,Sales,15,-0.0010096984896677272,0.0004730913576408845,0.016,false
4,Sales,16,-0.0005612806428688791,0.00048286656043752417,0.232,false
4,Sales,17,-0.0014924999069623765,0.00047871107035123617,0.0,true
4,Sales,18,-0.0007725780080349111,0.00047278698061447953,0.112,false
4,Sales,19,-0.0005759288901266919,0.0004741981977715863,0.264,false
4,Sales,20,-0.000505349337549527,0.0004236936166865735,0.296,false
4,Sales,21,-0.00026276647142258,0.0004443563933532324,0.616,false
4,Sales,22,-0.0008903558160269759,0.0005166471218259366,0.1,false
4,Sales,23,-0.00043794355206112706,0.00045042983467860577,0.384,false
4,Sales,24,-0.00032252373883748833,0.0004937531875500073,0.572,false
4,Sales,25,-0.001194478335479846,0.0005825129075016993,0.028,false
4,Sales,26,-0.000993996786739542,0.00048300303169198906,0.032,false
4,Sales,27,-0.0006376255303075266,0.00046040796937863143,0.184,false
4,Sales,28,-0.0006983078653410264,0.00044843951989489723,0.104,false
4,Sales,29,-0.0013022156727036534,0.0005166941343577648,0.008,false
4,Sales,30,-0.001304036067598153,0.0005428193472793578,0.0,true
4,Sales,31,-0.0009978207944718622,0.00045548106004879687,0.016,false
4,Sales,32,-0.0010394887491849123,0.00048563116368759786,0.032,false
4,Sales,33,-0.0007413792817774934,0.0005189468075710926,0.144,false
4,Sales,34,-0.0013462991063562363,0.00046353540509165114,0.0,true
4,Sales,35,-0.0006604521287382085,0.0005144142886597657,0.18,false
4,Sales,36,-0.000708954978440974,0.0005596625099150666,0.168,false
5,Administrative_support,0,-0.00024114152086175507,0.00044685556356807514,0.644,false
5,Administrative_support,1,1.6696402817814648e-5,0.0003976487448565719,0.988,false
5,Administrative_support,2,1.3055656525836325e-5,0.00048220135444689303,0.996,false
5,Administrative_support,3,0.0003867691473219362,0.0004346861978006172,0.352,false
5,Administrative_support,4,2.3153348090595417e-5,0.0005279472355699212,0.956,false
