ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,36.08752690318897,37,0.496,17.74658055823213,12,0.116,8.945435276892596,13,0.782,6,-0.019654037586632374,0.010426192716290857,false,false,false,Not_significant
2,Mining,false,22.022539992532494,37,0.976,6.837611258573283,12,0.858,5.532218153746851,13,0.962,13,0.030625851851198503,0.016930472188381757,false,false,false,Not_significant
3,Construction,false,70.93818176639762,37,0.0,12.849539262431781,12,0.392,33.46141443162732,13,0.004,33,0.018409925605780385,0.007029367914504162,true,false,true,Delayed_persistent
4,Manufacturing_nondurable,false,23.127979559267054,37,0.956,9.452625445113267,12,0.664,9.24428149563654,13,0.762,32,0.014539326114360955,0.008023630816575663,false,false,false,Not_significant
5,Manufacturing_durable,false,18.332010958913674,37,0.998,6.030659257586195,12,0.93,8.182427880451202,13,0.802,14,0.008623125522350063,0.006217255467897528,false,false,false,Not_significant
6,Transportation_utilities,false,41.24228939031733,37,0.306,18.826516561236186,12,0.086,7.628748622162444,13,0.846,3,-0.01349909162598274,0.004266587617160877,false,false,false,Not_significant
7,Wholesale_trade,false,19.836029976278752,37,0.992,8.594830622660481,12,0.716,7.356130807529569,13,0.874,35,-0.017565212869935884,0.009149379947077365,false,false,false,Not_significant
8,Retail_trade,false,50.58749005354844,37,0.076,5.465883851717986,12,0.954,27.19606672620864,13,0.018,34,0.014266222259031161,0.005810408607794386,false,false,false,Not_significant
9,Finance_insurance_realestate,false,19.22081090920415,37,0.992,7.583296665937665,12,0.838,3.7178871758866263,13,0.994,23,-0.009009711989079761,0.007812362991150316,false,false,false,Not_significant
10,Business_repair_services,false,23.392803411517285,37,0.968,8.795611341086751,12,0.73,7.14157627498314,13,0.89,3,-0.012903955118520724,0.006206064087714622,false,false,false,Not_significant
11,Personal_entertainment_services,false,46.49036924296925,37,0.12,20.63392539337643,12,0.056,17.030429542188692,13,0.184,4,-0.026994596696501855,0.009431944389208446,false,false,false,Not_significant
12,Professional_related_services,false,30.206255743806906,37,0.8,6.835293959061583,12,0.878,12.896719673409685,13,0.484,19,0.007860195135525223,0.004409034808302083,false,false,false,Not_significant
13,Public_administration,false,38.89113903196324,37,0.388,9.60881139301013,12,0.666,10.04201335967281,13,0.686,17,0.009649957289176154,0.004569396738912904,false,false,false,Not_significant
