ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,37.93415390585804,37,0.414,18.62989374188365,12,0.094,9.377366259376267,13,0.742,6,-0.01934323169870984,0.010393614925325402,false,false,false,Not_significant
2,Mining,22.509889397242905,37,0.978,6.813136379103375,12,0.86,5.805989667950069,13,0.96,13,0.02944614524285058,0.016851814346596695,false,false,false,Not_significant
3,Construction,63.46089531684049,37,0.004,12.697695815241884,12,0.414,28.039686607451202,13,0.016,33,0.01795510111387778,0.006971309547132281,true,false,false,Not_significant
4,Manufacturing_nondurable,21.915340723446846,37,0.976,9.277998703394731,12,0.676,8.087178244601168,13,0.84,32,0.014083829389234435,0.007988052965890925,false,false,false,Not_significant
5,Manufacturing_durable,15.893858901989516,37,1.0,5.901767478243208,12,0.932,6.13293146652434,13,0.94,14,0.008152231607692722,0.0062329547868378386,false,false,false,Not_significant
6,Transportation_utilities,48.323688265795326,37,0.11,19.18946733208254,12,0.08,12.293572214875857,13,0.504,3,-0.01350357786633893,0.004250648956788582,false,false,false,Not_significant
7,Wholesale_trade,22.645004594446387,37,0.976,8.723499923048019,12,0.714,9.679749523532855,13,0.734,35,-0.019352336433298204,0.00926687364733128,false,false,false,Not_significant
8,Retail_trade,42.63237290045277,37,0.252,5.13572404951151,12,0.962,21.072166853087605,13,0.094,20,0.013329478419060615,0.006084596899279727,false,false,false,Not_significant
9,Finance_insurance_realestate,20.65379206440671,37,0.982,7.718193311752985,12,0.834,4.206674157038554,13,0.988,23,-0.00971660921645376,0.0078120144183439185,false,false,false,Not_significant
10,Business_repair_services,27.711567195923763,37,0.878,8.991744936536936,12,0.71,9.968217073373726,13,0.674,3,-0.01287443568870982,0.006231711827897361,false,false,false,Not_significant
11,Personal_entertainment_services,49.23921669723762,37,0.072,21.302345891107134,12,0.044,19.32692973854111,13,0.122,4,-0.027101021168508002,0.00949473130486595,false,false,false,Not_significant
12,Professional_related_services,26.36506335101813,37,0.928,6.511990760845536,12,0.896,8.94986683070298,13,0.778,19,0.007166140102514353,0.004421532155871096,false,false,false,Not_significant
13,Public_administration,36.81114994459428,37,0.482,9.196343869067288,12,0.7,8.742446758030797,13,0.792,17,0.009468944144909945,0.004515573740589906,false,false,false,Not_significant
