occ_group,occ_name,ind_group,ind_name,share,n_obs
1,Managerial,1,Agriculture_forestry_fishing,0.0038231066,230
1,Managerial,2,Mining,0.0060990187,371
1,Managerial,3,Construction,0.04106765,2304
1,Managerial,4,Manufacturing_nondurable,0.061731707,3644
1,Managerial,5,Manufacturing_durable,0.10734846,5952
1,Managerial,6,Transportation_utilities,0.07234765,4209
1,Managerial,7,Wholesale_trade,0.03384435,1928
1,Managerial,8,Retail_trade,0.096532315,5447
1,Managerial,9,Finance_insurance_realestate,0.14360571,8338
1,Managerial,10,Business_repair_services,0.064078696,3470
1,Managerial,11,Personal_entertainment_services,0.0451725,2611
1,Managerial,12,Professional_related_services,0.23062657,13694
1,Managerial,13,Public_administration,0.09371937,5769
2,Professional_specialty,1,Agriculture_forestry_fishing,0.0038276776,306
2,Professional_specialty,2,Mining,0.0035414617,254
2,Professional_specialty,3,Construction,0.008631409,555
2,Professional_specialty,4,Manufacturing_nondurable,0.037701067,2516
2,Professional_specialty,5,Manufacturing_durable,0.0764762,4693
2,Professional_specialty,6,Transportation_utilities,0.031561907,2051
2,Professional_specialty,7,Wholesale_trade,0.0059566842,372
2,Professional_specialty,8,Retail_trade,0.021623317,1418
2,Professional_specialty,9,Finance_insurance_realestate,0.016306031,1106
2,Professional_specialty,10,Business_repair_services,0.037389394,2306
2,Professional_specialty,11,Personal_entertainment_services,0.023732496,1495
2,Professional_specialty,12,Professional_related_services,0.6734867,45786
2,Professional_specialty,13,Public_administration,0.05976746,4025
3,High_tech,1,Agriculture_forestry_fishing,0.01140242,201
3,High_tech,2,Mining,0.0051764287,98
3,High_tech,3,Construction,0.013187163,223
3,High_tech,4,Manufacturing_nondurable,0.050818343,824
3,High_tech,5,Manufacturing_durable,0.11394334,1729
3,High_tech,6,Transportation_utilities,0.074784845,1193
3,High_tech,7,Wholesale_trade,0.011801553,171
3,High_tech,8,Retail_trade,0.032192994,531
3,High_tech,9,Finance_insurance_realestate,0.040475685,643
3,High_tech,10,Business_repair_services,0.06798398,1005
3,High_tech,11,Personal_entertainment_services,0.0063896896,101
3,High_tech,12,Professional_related_services,0.5107866,8344
3,High_tech,13,Public_administration,0.061054718,1055
4,Sales,1,Agriculture_forestry_fishing,0.000928296,43
4,Sales,2,Mining,0.0006452619,37
4,Sales,3,Construction,0.0038677622,186
4,Sales,4,Manufacturing_nondurable,0.033106305,1620
4,Sales,5,Manufacturing_durable,0.026321974,1240
4,Sales,6,Transportation_utilities,0.021164613,1008
4,Sales,7,Wholesale_trade,0.121718846,5975
4,Sales,8,Retail_trade,0.6012978,29558
4,Sales,9,Finance_insurance_realestate,0.10893163,5308
4,Sales,10,Business_repair_services,0.031408597,1508
4,Sales,11,Personal_entertainment_services,0.032527417,1604
4,Sales,12,Professional_related_services,0.015870523,768
4,Sales,13,Public_administration,0.002212249,110
5,Administrative_support,1,Agriculture_forestry_fishing,0.004627797,399
5,Administrative_support,2,Mining,0.0031563044,269
5,Administrative_support,3,Construction,0.017821735,1339
5,Administrative_support,4,Manufacturing_nondurable,0.049549725,3704
5,Administrative_support,5,Manufacturing_durable,0.064535,4720
5,Administrative_support,6,Transportation_utilities,0.1261135,9409
5,Administrative_support,7,Wholesale_trade,0.039844953,2970
5,Administrative_support,8,Retail_trade,0.079120114,5997
5,Administrative_support,9,Finance_insurance_realestate,0.15499529,11802
5,Administrative_support,10,Business_repair_services,0.057181776,4211
5,Administrative_support,11,Personal_entertainment_services,0.026291776,2026
5,Administrative_support,12,Professional_related_services,0.29761314,23164
5,Administrative_support,13,Public_administration,0.07914395,6248
6,Service,1,Agriculture_forestry_fishing,0.0018665048,120
6,Service,2,Mining,0.00037738172,28
6,Service,3,Construction,0.0019693705,112
6,Service,4,Manufacturing_nondurable,0.008234449,507
6,Service,5,Manufacturing_durable,0.010673506,618
6,Service,6,Transportation_utilities,0.014998641,901
6,Service,7,Wholesale_trade,0.0024432812,141
6,Service,8,Retail_trade,0.3118527,18545
6,Service,9,Finance_insurance_realestate,0.017949175,1056
6,Service,10,Business_repair_services,0.06090723,3397
6,Service,11,Personal_entertainment_services,0.1684726,10450
6,Service,12,Professional_related_services,0.29004994,18115
6,Service,13,Public_administration,0.11020306,6486
7,Farming_forestry_construction,1,Agriculture_forestry_fishing,0.20337357,4321
7,Farming_forestry_construction,2,Mining,0.01959299,599
7,Farming_forestry_construction,3,Construction,0.49268225,10947
7,Farming_forestry_construction,4,Manufacturing_nondurable,0.016246857,367
7,Farming_forestry_construction,5,Manufacturing_durable,0.056473263,1229
7,Farming_forestry_construction,6,Transportation_utilities,0.04763856,1078
7,Farming_forestry_construction,7,Wholesale_trade,0.014855524,293
7,Farming_forestry_construction,8,Retail_trade,0.019243306,425
7,Farming_forestry_construction,9,Finance_insurance_realestate,0.023617676,473
7,Farming_forestry_construction,10,Business_repair_services,0.01364864,278
7,Farming_forestry_construction,11,Personal_entertainment_services,0.039666932,887
7,Farming_forestry_construction,12,Professional_related_services,0.03990112,920
7,Farming_forestry_construction,13,Public_administration,0.013054103,325
8,Precision_production_repair,1,Agriculture_forestry_fishing,0.0035441052,106
8,Precision_production_repair,2,Mining,0.014193421,576
8,Precision_production_repair,3,Construction,0.04553361,1337
8,Precision_production_repair,4,Manufacturing_nondurable,0.13728997,4080
8,Precision_production_repair,5,Manufacturing_durable,0.28985476,8478
8,Precision_production_repair,6,Transportation_utilities,0.13240938,4024
8,Precision_production_repair,7,Wholesale_trade,0.036618523,1107
8,Precision_production_repair,8,Retail_trade,0.12961107,3897
8,Precision_production_repair,9,Finance_insurance_realestate,0.012898745,359
8,Precision_production_repair,10,Business_repair_services,0.1136598,3303
8,Precision_production_repair,11,Personal_entertainment_services,0.016756427,500
8,Precision_production_repair,12,Professional_related_services,0.043709967,1317
8,Precision_production_repair,13,Public_administration,0.023917967,721
9,Machine_operators_transport,1,Agriculture_forestry_fishing,0.0034526726,236
9,Machine_operators_transport,2,Mining,0.008037701,721
