occ_group,occ_name,cum_resp,cum_se,occ_name_1,predicted_response,pred_se,residual,residual_se,R2
1,Managerial,-0.01582613837141096,0.01296020802584434,Managerial,-0.023983894444992035,0.004840000592876978,0.008157756073581074,0.013834471360055993,-0.011453523946698851
2,Professional_specialty,-0.019894282228676164,0.010656240510737096,Professional_specialty,-0.0162938278009958,0.007669627669102336,-0.003600454427680363,0.013129305023699257,-0.011453523946698851
3,High_tech,-0.048664180157966946,0.01813093407929917,High_tech,-0.02056981944172958,0.006325598230781286,-0.028094360716237367,0.01920270719365255,-0.011453523946698851
4,Sales,-0.027917740594444497,0.019982381886128817,Sales,-0.03434432667814513,0.007975960405049052,0.006426586083700635,0.021515378923597867,-0.011453523946698851
5,Administrative_support,-0.049843602440499735,0.010444894384162573,Administrative_support,-0.02574392948698983,0.005148236942079423,-0.024099672953509906,0.011644748271564403,-0.011453523946698851
6,Service,-0.0006799780423256585,0.011103646862951556,Service,-0.01966085168231419,0.006371191221701148,0.018980873639988533,0.012801681578629258,-0.011453523946698851
7,Farming_forestry_construction,-0.0464416162006341,0.018166962640586867,Farming_forestry_construction,-0.02895776865180384,0.01014085658093677,-0.01748384754883026,0.020805660378358758,-0.011453523946698851
8,Precision_production_repair,-0.13739149153500452,0.014870242344353255,Precision_production_repair,-0.017099199222319054,0.006175459355945502,-0.12029229231268546,0.016101565316351433,-0.011453523946698851
9,Machine_operators_transport,0.010781845761840889,0.012827768422807423,Machine_operators_transport,-0.012132482976913344,0.006520022055733263,0.022914328738754233,0.01438966053513506,-0.011453523946698851
