occ_group,occ_name,ind_group,ind_name,share,n_obs
7,Farming_forestry_construction,13,Public_administration,0.010500586,265
8,Precision_production_repair,1,Agriculture_forestry_fishing,0.0035290767,105
8,Precision_production_repair,2,Mining,0.01255218,518
8,Precision_production_repair,3,Construction,0.05159893,1420
8,Precision_production_repair,4,Manufacturing_nondurable,0.12877038,3542
8,Precision_production_repair,5,Manufacturing_durable,0.28912213,7708
8,Precision_production_repair,6,Transportation_utilities,0.13672091,3841
8,Precision_production_repair,7,Wholesale_trade,0.038853068,1121
8,Precision_production_repair,8,Retail_trade,0.12668803,3622
8,Precision_production_repair,9,Finance_insurance_realestate,0.013597909,349
8,Precision_production_repair,10,Business_repair_services,0.11696,3216
8,Precision_production_repair,11,Personal_entertainment_services,0.019253233,541
8,Precision_production_repair,12,Professional_related_services,0.04299495,1222
8,Precision_production_repair,13,Public_administration,0.019358268,617
9,Machine_operators_transport,1,Agriculture_forestry_fishing,0.004355923,261
9,Machine_operators_transport,2,Mining,0.0077316184,693
9,Machine_operators_transport,3,Construction,0.0793691,5045
9,Machine_operators_transport,4,Manufacturing_nondurable,0.17464292,10704
9,Machine_operators_transport,5,Manufacturing_durable,0.3045291,18415
9,Machine_operators_transport,6,Transportation_utilities,0.1371118,8567
9,Machine_operators_transport,7,Wholesale_trade,0.0581074,3555
9,Machine_operators_transport,8,Retail_trade,0.1293093,8166
9,Machine_operators_transport,9,Finance_insurance_realestate,0.002215236,145
9,Machine_operators_transport,10,Business_repair_services,0.04771009,2824
9,Machine_operators_transport,11,Personal_entertainment_services,0.01930467,1232
9,Machine_operators_transport,12,Professional_related_services,0.029430877,1950
9,Machine_operators_transport,13,Public_administration,0.0061807237,422
