occ_group,occ_name,ind_group,ind_name,share,n_obs
1,Managerial,1,Agriculture_forestry_fishing,0.0038172426,375
1,Managerial,2,Mining,0.005650468,595
1,Managerial,3,Construction,0.042542797,3961
1,Managerial,4,Manufacturing_nondurable,0.062452104,6018
1,Managerial,5,Manufacturing_durable,0.10632935,9744
1,Managerial,6,Transportation_utilities,0.07316068,7006
1,Managerial,7,Wholesale_trade,0.033783022,3176
1,Managerial,8,Retail_trade,0.09534808,8955
1,Managerial,9,Finance_insurance_realestate,0.14347288,13808
1,Managerial,10,Business_repair_services,0.068018466,6100
1,Managerial,11,Personal_entertainment_services,0.044335414,4281
1,Managerial,12,Professional_related_services,0.23173696,22962
1,Managerial,13,Public_administration,0.08935404,9220
2,Professional_specialty,1,Agriculture_forestry_fishing,0.0037742455,500
2,Professional_specialty,2,Mining,0.0033133829,405
2,Professional_specialty,3,Construction,0.008594383,917
2,Professional_specialty,4,Manufacturing_nondurable,0.036951426,4032
2,Professional_specialty,5,Manufacturing_durable,0.077174395,7757
2,Professional_specialty,6,Transportation_utilities,0.032144736,3389
2,Professional_specialty,7,Wholesale_trade,0.0062230956,631
2,Professional_specialty,8,Retail_trade,0.021567283,2334
2,Professional_specialty,9,Finance_insurance_realestate,0.01753402,1891
2,Professional_specialty,10,Business_repair_services,0.04192168,4197
2,Professional_specialty,11,Personal_entertainment_services,0.023664795,2471
2,Professional_specialty,12,Professional_related_services,0.66907114,74890
2,Professional_specialty,13,Public_administration,0.0580698,6488
3,High_tech,1,Agriculture_forestry_fishing,0.011664164,335
3,High_tech,2,Mining,0.0052659567,171
3,High_tech,3,Construction,0.012182192,340
3,High_tech,4,Manufacturing_nondurable,0.051757112,1364
3,High_tech,5,Manufacturing_durable,0.11212808,2805
3,High_tech,6,Transportation_utilities,0.073697686,1926
3,High_tech,7,Wholesale_trade,0.01176434,283
3,High_tech,8,Retail_trade,0.035147727,928
3,High_tech,9,Finance_insurance_realestate,0.03898648,1038
3,High_tech,10,Business_repair_services,0.071781844,1762
3,High_tech,11,Personal_entertainment_services,0.006299903,158
3,High_tech,12,Professional_related_services,0.5106886,13656
3,High_tech,13,Public_administration,0.058635533,1704
4,Sales,1,Agriculture_forestry_fishing,0.001107638,83
4,Sales,2,Mining,0.00070808106,60
4,Sales,3,Construction,0.0039801192,306
4,Sales,4,Manufacturing_nondurable,0.03247189,2598
4,Sales,5,Manufacturing_durable,0.02560177,2001
4,Sales,6,Transportation_utilities,0.021295324,1665
4,Sales,7,Wholesale_trade,0.12064792,9746
4,Sales,8,Retail_trade,0.5992856,48406
4,Sales,9,Finance_insurance_realestate,0.11037769,8803
4,Sales,10,Business_repair_services,0.033243306,2603
4,Sales,11,Personal_entertainment_services,0.03294482,2667
4,Sales,12,Professional_related_services,0.016155777,1289
4,Sales,13,Public_administration,0.0021869966,180
5,Administrative_support,1,Agriculture_forestry_fishing,0.00478939,641
5,Administrative_support,2,Mining,0.0031705804,435
5,Administrative_support,3,Construction,0.017653704,2144
5,Administrative_support,4,Manufacturing_nondurable,0.04733725,5646
5,Administrative_support,5,Manufacturing_durable,0.06446798,7497
5,Administrative_support,6,Transportation_utilities,0.12584685,15051
5,Administrative_support,7,Wholesale_trade,0.039562743,4690
5,Administrative_support,8,Retail_trade,0.07677677,9420
5,Administrative_support,9,Finance_insurance_realestate,0.15480034,18929
5,Administrative_support,10,Business_repair_services,0.06117508,7166
5,Administrative_support,11,Personal_entertainment_services,0.027245825,3394
5,Administrative_support,12,Professional_related_services,0.3000877,37425
5,Administrative_support,13,Public_administration,0.077084005,9863
6,Service,1,Agriculture_forestry_fishing,0.0018481646,206
6,Service,2,Mining,0.00038962078,52
6,Service,3,Construction,0.0019274318,191
6,Service,4,Manufacturing_nondurable,0.007960455,786
6,Service,5,Manufacturing_durable,0.010322305,957
6,Service,6,Transportation_utilities,0.016127385,1547
6,Service,7,Wholesale_trade,0.0027441555,262
6,Service,8,Retail_trade,0.31161708,30069
6,Service,9,Finance_insurance_realestate,0.01861729,1760
6,Service,10,Business_repair_services,0.06079055,5572
6,Service,11,Personal_entertainment_services,0.1676708,16858
6,Service,12,Professional_related_services,0.2887569,29224
6,Service,13,Public_administration,0.11123081,10577
7,Farming_forestry_construction,1,Agriculture_forestry_fishing,0.20339519,7195
7,Farming_forestry_construction,2,Mining,0.019201215,1016
7,Farming_forestry_construction,3,Construction,0.50338376,18328
7,Farming_forestry_construction,4,Manufacturing_nondurable,0.014524781,536
7,Farming_forestry_construction,5,Manufacturing_durable,0.055524625,1988
7,Farming_forestry_construction,6,Transportation_utilities,0.04611435,1733
7,Farming_forestry_construction,7,Wholesale_trade,0.015289968,511
7,Farming_forestry_construction,8,Retail_trade,0.020425962,737
7,Farming_forestry_construction,9,Finance_insurance_realestate,0.020933684,727
7,Farming_forestry_construction,10,Business_repair_services,0.013303976,458
7,Farming_forestry_construction,11,Personal_entertainment_services,0.038476154,1426
