occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
2,Professional_specialty,19.786653136099446,37,0.994,4.558198292401699,12,0.974,8.5104250939956,13,0.81,26,0.008265901624751222,0.004758793424750663,false,false,false,Not_significant
3,High_tech,56.202989241374794,37,0.02,15.140549009598093,12,0.23,27.1446024586093,13,0.01,33,-0.01393579142640879,0.005925432344471172,true,false,true,Delayed_persistent
4,Sales,99.37727892240508,37,0.0,24.915724653708367,12,0.016,43.48651236802461,13,0.0,32,-0.016887278062807057,0.006707015025654455,true,true,true,Persistent
5,Administrative_support,19.95026286573148,37,0.994,6.2664157968502066,12,0.898,7.385631183189976,13,0.89,36,-0.006447189805824945,0.004178601472584554,false,false,false,Not_significant
6,Service,23.547740430701133,37,0.968,7.128852702000418,12,0.856,11.723537824606979,13,0.55,36,-0.00860349628609027,0.0045222723419900334,false,false,false,Not_significant
7,Farming_forestry_construction,32.09545631216101,37,0.672,10.002421713147394,12,0.618,11.34243341918838,13,0.562,25,-0.014595177939799414,0.006388514221620772,false,false,false,Not_significant
8,Precision_production_repair,156.28376158585613,37,0.0,33.86118284587878,12,0.0,64.59725685089509,13,0.0,33,-0.017100563614079693,0.005862353177271716,true,true,true,Persistent
9,Machine_operators_transport,33.22409619212617,37,0.658,12.17168996097551,12,0.444,7.2116869251372195,13,0.888,15,0.008934643330226966,0.004312298913368776,false,false,false,Not_significant
