horizon,beta,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0036463651152584494,0.0011561583987109638,-0.006028248717806281,-0.0018312467249533,-0.005666640023272341,-0.0019514012312409333,-0.004871055029054149,-0.0024401192544586726
1,-0.0006714303570782144,0.0012812822845965227,-0.002680965734635646,0.0018885243769979322,-0.0025076558109696618,0.0015570001032355746,-0.0018923747615502756,0.0005813084317611502
2,0.0003650062606628127,0.001666979133351208,-0.0025018320214169267,0.003919645893500549,-0.0020954162328875943,0.0032737365834429664,-0.0012541166455869242,0.0019109034343092767
3,-0.001398972528134979,0.0016110114627176765,-0.004838450103186491,0.001393188304770919,-0.004012404384387837,0.0010645926955032989,-0.0030165041626889345,0.0001895302778084273
4,-0.0027043719974458582,0.0020287479452114703,-0.006707253786613795,0.0009772000581840382,-0.00585535541783464,0.0005725715630249187,-0.004709954425555102,-0.000757990833623931
5,-0.0025970945389820416,0.0022172697758625474,-0.0072422890857343734,0.0014330657194091022,-0.006441241042022801,0.000877159994932427,-0.004586528176874388,-0.0003499066546049307
6,-0.0032746839171488165,0.0024263864417418853,-0.008957449496239228,0.0009967597817412235,-0.007751381703728549,0.0003353506013679966,-0.005686358265256241,-0.0011870997165812206
7,-0.0035508718424070796,0.0027159521592659457,-0.00934314624484409,0.0012808443779540758,-0.00836258947884503,0.0006176079033254978,-0.006286971200413582,-0.0009590403186190838
8,-0.003419209241506753,0.002707777585454417,-0.00905320560130652,0.0015628454148847695,-0.007918362447180438,0.0010022333355194399,-0.006017162257934137,-0.0007673652835364368
9,-0.004314686580003944,0.0030985649859587147,-0.010544660172183579,0.0011990248928142847,-0.010176238338656862,0.00036201173726839865,-0.00750599451692877,-0.0011921558033712904
10,-0.004945942727878555,0.0032702303162440547,-0.01120074059161289,0.0013538457810328827,-0.009966035509786898,0.0007708373484151981,-0.008023977775316389,-0.001438841255561243
11,-0.0036753944571050164,0.00400185584777175,-0.011243611976798535,0.0038460822731574006,-0.00995637289440332,0.0027398825420872053,-0.007742177179349626,0.0005891660859376482
12,-0.004986181555522876,0.0041019367667634995,-0.01247557262227794,0.0025524675956902984,-0.011754795806677503,0.0015131701261281267,-0.008788827753690654,-0.0006545802045168631
13,-0.005604640963535286,0.003942022529387934,-0.012975001554102826,0.00236872543359667,-0.011753952327458848,0.001136407584744263,-0.009230380964971566,-0.0010345372487663214
14,-0.005853090573392877,0.004103674644413645,-0.013406240283528846,0.001545798036660692,-0.012680926951938915,0.0007355696171259942,-0.0098749399878124,-0.0012674253855888497
15,-0.007176402294263707,0.003977681678243333,-0.013894798526743902,0.0005851649667022916,-0.012936332676048677,-0.0001391334095031617,-0.010661820529943756,-0.0024812601132022114
16,-0.006655211575558883,0.004118330328804888,-0.013837638353752423,0.0013116274081752099,-0.012933964669911164,0.0005428462403376754,-0.01041672061735569,-0.001978405026959111
17,-0.006036598476391866,0.004411310717874534,-0.014478300484031762,0.003481464095928041,-0.013864581956957297,0.0013118042598668882,-0.010110291540251615,-0.001484789534368474
18,-0.007013385489434074,0.004262815993371289,-0.01536931282113595,0.0012008143396227955,-0.013968326726236947,0.00031281133729768286,-0.01067809770350664,-0.0025185541752299474
19,-0.00770219674044917,0.00415817002045367,-0.015632639566973784,0.0005587359996101508,-0.014057523088776924,-0.0007217844405211777,-0.011359307984638727,-0.00325838204068999
20,-0.007783676713105856,0.0038930721964319827,-0.014470605486326966,0.00014797414804699653,-0.01318425225780798,-0.0005862012404223312,-0.011010481277901807,-0.003107123743572091
21,-0.008320249296383404,0.0037550048712854524,-0.015281276794673027,-0.0005186814551829707,-0.014470630751522759,-0.0018020338030611926,-0.011613634900354997,-0.003812258581984475
22,-0.0071254863368538975,0.0038372421854276704,-0.013973690197109083,0.0006043318051057928,-0.012883803184991854,-0.00032265795711269624,-0.010501768023655648,-0.0029367145349351092
23,-0.007254292036756052,0.003492466753847008,-0.013765776084190265,0.0002306375860558956,-0.012728158964935144,-0.0013624471338052652,-0.01004869433984546,-0.0033982918983514526
