ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,33.22956153370466,37,0.67,15.439294896642645,12,0.23,8.278409803079311,13,0.842,2,-0.009970584464882228,0.00483666777281526,false,false,false,Not_significant
2,Mining,59.60711682111197,37,0.004,40.61007137137735,12,0.0,7.537845317287821,13,0.854,8,-0.009430532659318059,0.004056092273893579,true,true,false,Temporary
3,Construction,20.569209632609393,37,0.99,10.73900465537704,12,0.574,2.7187469190825126,13,0.998,2,-0.006494902289301846,0.0030165855943106905,false,false,false,Not_significant
4,Manufacturing_nondurable,31.44860187314832,37,0.736,5.5320101514131075,12,0.958,9.539587458492942,13,0.726,21,0.0036645640977807504,0.0021623565896798256,false,false,false,Not_significant
5,Manufacturing_durable,37.24637526801749,37,0.476,7.534898797345094,12,0.838,7.722717141189442,13,0.866,21,0.004676232269643289,0.0027246814068597057,false,false,false,Not_significant
6,Transportation_utilities,96.46741391723253,37,0.0,15.844633835873248,12,0.188,34.027586435996234,13,0.0,22,0.005051942692090416,0.0017903914283576114,true,false,true,Delayed_persistent
7,Wholesale_trade,45.07985771228482,37,0.17,10.334687423734858,12,0.594,12.792506145767211,13,0.49,22,0.0031013282614641056,0.0016461352194342765,false,false,false,Not_significant
8,Retail_trade,50.011023222023695,37,0.06,10.981289230373518,12,0.518,20.9909075982596,13,0.068,24,0.005414184280097182,0.002648431748975969,false,false,false,Not_significant
9,Finance_insurance_realestate,44.0486527982794,37,0.198,12.600752481928506,12,0.398,9.246023269463496,13,0.762,21,0.00358968660780972,0.0016104546110895417,false,false,false,Not_significant
10,Business_repair_services,83.57038457572202,37,0.0,15.595327550571508,12,0.216,28.308981479315992,13,0.002,23,0.005988288496027892,0.0024640868726690983,true,false,true,Delayed_persistent
11,Personal_entertainment_services,79.26133379714413,37,0.0,17.736183902788458,12,0.12,35.36600303837158,13,0.0,21,0.00945281260316472,0.004775573737919214,true,false,true,Delayed_persistent
12,Professional_related_services,38.05380925363737,37,0.424,8.402358205376975,12,0.762,11.698278113560308,13,0.542,28,0.0033840285348258384,0.002170647379645155,false,false,false,Not_significant
13,Public_administration,33.79062800419879,37,0.628,7.512695231815612,12,0.83,8.951370331325538,13,0.782,31,0.0028500099022618565,0.0021847094773038587,false,false,false,Not_significant
