ind_group,ind_label,horizon,beta_abs,boot_se,p_value,bh_reject
1,Agriculture_forestry_fishing,0,-0.0010348040468679996,0.0022134978518626963,0.572,false
1,Agriculture_forestry_fishing,1,-0.007028577967135474,0.003328003141048844,0.036,false
1,Agriculture_forestry_fishing,2,-0.009970584464882228,0.00483666777281526,0.024,false
1,Agriculture_forestry_fishing,3,-0.009744703466005004,0.005773637003069698,0.104,false
1,Agriculture_forestry_fishing,4,-0.009612993735681632,0.006073290759106454,0.14,false
1,Agriculture_forestry_fishing,5,-0.004956303201382309,0.005838779019837584,0.38,false
1,Agriculture_forestry_fishing,6,-0.0014324606936613766,0.005283057761261077,0.764,false
1,Agriculture_forestry_fishing,7,0.0003447863900116605,0.0051472368588936866,0.952,false
1,Agriculture_forestry_fishing,8,0.0015528137041546243,0.004825990155244653,0.804,false
1,Agriculture_forestry_fishing,9,0.0027025938916818686,0.004347007003888584,0.512,false
1,Agriculture_forestry_fishing,10,0.0032453273070568557,0.003459950559842623,0.4,false
1,Agriculture_forestry_fishing,11,0.0013659074855605275,0.002453506669886742,0.604,false
1,Agriculture_forestry_fishing,12,0.0006667242883560503,0.0032852261456816725,0.852,false
1,Agriculture_forestry_fishing,13,-0.003062122685494816,0.004071178608590808,0.4,false
1,Agriculture_forestry_fishing,14,-0.00626324131956887,0.004921125220130796,0.204,false
1,Agriculture_forestry_fishing,15,-0.006859805660492373,0.0059411104259425125,0.268,false
1,Agriculture_forestry_fishing,16,-0.004400255059823935,0.006337625333552903,0.5,false
1,Agriculture_forestry_fishing,17,-0.001683722685423871,0.006352174421324469,0.816,false
1,Agriculture_forestry_fishing,18,0.004277166478530538,0.005626841409665638,0.388,false
1,Agriculture_forestry_fishing,19,0.0024793961953600728,0.004962286939231434,0.572,false
1,Agriculture_forestry_fishing,20,0.0036669360331801383,0.00522238959386912,0.5,false
1,Agriculture_forestry_fishing,21,0.004466188526793526,0.0045127217488127565,0.3,false
1,Agriculture_forestry_fishing,22,0.002825867773068198,0.0035810228610063132,0.46,false
1,Agriculture_forestry_fishing,23,0.0036431999167243724,0.0029448808186588417,0.216,false
1,Agriculture_forestry_fishing,24,-0.0006775357033728057,0.00313907743039222,0.868,false
1,Agriculture_forestry_fishing,25,-0.006652264660583247,0.004106982562142571,0.076,false
1,Agriculture_forestry_fishing,26,-0.008197412527929672,0.00519926528424364,0.104,false
1,Agriculture_forestry_fishing,27,-0.007558351837746973,0.005802848879888221,0.148,false
1,Agriculture_forestry_fishing,28,-0.004792065437228344,0.00622281535987221,0.464,false
1,Agriculture_forestry_fishing,29,-0.0011260087923806858,0.006033246505739796,0.848,false
1,Agriculture_forestry_fishing,30,0.002720987453089199,0.005402706894511938,0.62,false
1,Agriculture_forestry_fishing,31,-5.3509541093213454e-5,0.005145162468099397,0.888,false
1,Agriculture_forestry_fishing,32,0.0005148690387168596,0.004706291399986678,0.956,false
1,Agriculture_forestry_fishing,33,0.00031365412605584037,0.004512542487939142,0.952,false
1,Agriculture_forestry_fishing,34,0.0002162606090665361,0.0034397312457058377,0.992,false
1,Agriculture_forestry_fishing,35,0.001916037165472882,0.0028943944812278993,0.524,false
1,Agriculture_forestry_fishing,36,-0.0020871421948561934,0.00317917039008649,0.472,false
2,Mining,0,-0.0009568907510715924,0.0017877704717438265,0.54,false
2,Mining,1,-0.003207250173089574,0.0021892206150311974,0.116,false
2,Mining,2,-0.004129617008754348,0.0028352951554496773,0.128,false
2,Mining,3,-0.0068362672328217645,0.0031751742700826184,0.032,false
2,Mining,4,-0.007157691055696503,0.0031669532624367344,0.016,false
2,Mining,5,-0.009185986782873816,0.0036566967961287793,0.016,false
2,Mining,6,-0.00912443540665494,0.003940890177122497,0.016,false
2,Mining,7,-0.009253276756135265,0.003840058770579434,0.024,false
2,Mining,8,-0.009430532659318059,0.004056092273893579,0.028,false
2,Mining,9,-0.0050443095207316655,0.00427335853185354,0.248,false
2,Mining,10,-0.00249474606101501,0.004872117672454081,0.592,false
2,Mining,11,-0.0035472759464480652,0.00470730685926657,0.472,false
2,Mining,12,-0.0038564806668606694,0.004417835547068718,0.368,false
2,Mining,13,-0.0027008655150643794,0.00509144642698477,0.568,false
2,Mining,14,-0.000603199783994558,0.0046477770589742565,0.844,false
2,Mining,15,-0.0017862075395834078,0.004071589749006405,0.668,false
2,Mining,16,-0.002441815220501966,0.004117387489184078,0.504,false
2,Mining,17,-0.001143275374224286,0.0038471216656872746,0.668,false
2,Mining,18,-0.002733162977280213,0.003910438774313907,0.412,false
2,Mining,19,-0.0010587963530976432,0.004171169536211922,0.74,false
2,Mining,20,-0.005990290981467521,0.00409312613917316,0.144,false
2,Mining,21,-0.0001800855709509266,0.004260883186583334,0.952,false
2,Mining,22,-0.0034481936022954917,0.0038367445462663676,0.36,false
2,Mining,23,0.00035642378810570415,0.0036226646524322942,0.976,false
2,Mining,24,-2.770984166504568e-5,0.003793723915355222,0.928,false
2,Mining,25,0.001690479842118737,0.0035911198461412125,0.708,false
2,Mining,26,-0.00395957837837117,0.0034040913495763468,0.224,false
2,Mining,27,-0.0021199815686421546,0.003321751904722723,0.532,false
2,Mining,28,0.00041880639768430994,0.00307564759914226,1.0,false
2,Mining,29,0.0012360219990282183,0.003387761175203473,0.724,false
2,Mining,30,-0.00014071952429831346,0.003140307136584653,0.868,false
2,Mining,31,-0.0010949194860165603,0.003254388380527551,0.7,false
2,Mining,32,-0.005875290275868514,0.003317492209137712,0.06,false
2,Mining,33,-0.0027092834363850746,0.003365496628242071,0.388,false
2,Mining,34,0.0010467241375676074,0.003475760676827721,0.784,false
2,Mining,35,-0.0008759614086974554,0.0031279461405191644,0.704,false
2,Mining,36,-0.003520090363061128,0.003306438157384979,0.3,false
3,Construction,0,0.001383812209508376,0.0018101844384134484,0.496,false
3,Construction,1,-0.0035992217069864382,0.002505403057957347,0.152,false
3,Construction,2,-0.006494902289301846,0.0030165855943106905,0.024,false
3,Construction,3,-0.005350508040139877,0.003505844364606012,0.124,false
3,Construction,4,-0.0031430733235610843,0.004228276852336367,0.484,false
