horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68,outcome,industry,industry_label,occ_group,occupation
0,0.0004651510111508665,-0.006600271596403806,0.00890966893983431,-0.0041990041189220876,0.004873606973603453,income,Energy_intensive,Energy intensive,1,Managerial
1,0.008497435647975197,6.719966958505623e-5,0.01542243292515174,0.00347915347235831,0.012738801847702645,income,Energy_intensive,Energy intensive,1,Managerial
2,0.009256057292838377,0.003939659537239619,0.015869266561948026,0.005829238517609478,0.013002408517379944,income,Energy_intensive,Energy intensive,1,Managerial
3,-0.0035700716973748464,-0.010330674482769593,0.002305891506596605,-0.007311997606724243,0.00031010513469507993,income,Energy_intensive,Energy intensive,1,Managerial
4,-0.009450666631815343,-0.01596354239172864,-0.002254873646743514,-0.013180373155936162,-0.004619292028590025,income,Energy_intensive,Energy intensive,1,Managerial
5,4.772794587957471e-5,-0.008084810603428097,0.007055814078960109,-0.0051497595346383755,0.0042367593250455865,income,Energy_intensive,Energy intensive,1,Managerial
6,-0.0021051317704895004,-0.010586069459563429,0.004492334383712682,-0.006343030810122958,0.001827061037915296,income,Energy_intensive,Energy intensive,1,Managerial
7,-0.0010971106367516931,-0.008287664179933287,0.004968055685293332,-0.005091315716000216,0.002566756961144472,income,Energy_intensive,Energy intensive,1,Managerial
8,0.002386555213585438,-0.0041166868114340255,0.00978392161421638,-0.0014770735274933964,0.006801141666447789,income,Energy_intensive,Energy intensive,1,Managerial
9,-0.001553758806363078,-0.011067306973604026,0.006822606396906511,-0.008024092131138229,0.003860943037005823,income,Energy_intensive,Energy intensive,1,Managerial
10,0.001724655171027781,-0.00562707764818555,0.008314000463329146,-0.0026815106728216073,0.005698745394945047,income,Energy_intensive,Energy intensive,1,Managerial
11,-0.004761587210461073,-0.012058165177501301,0.002335147820092238,-0.008633291938924774,-0.0004249937382169262,income,Energy_intensive,Energy intensive,1,Managerial
12,0.0071757805343668464,0.001742344213552227,0.013148031215036923,0.0038589363744154104,0.011058606378641254,income,Energy_intensive,Energy intensive,1,Managerial
13,-0.002202256988116587,-0.0076950451857312075,0.003619100498426795,-0.005340472565387748,0.001580701570290452,income,Energy_intensive,Energy intensive,1,Managerial
