outcome,horizon,group1_Managerial,group2_Professional_specialty,group3_High_tech,group4_Sales,group5_Administrative_support,group6_Service,group7_Farming_forestry_construction,group8_Precision_production_repair,group9_Machine_operators_transport
employment,0,-0.0024034976712600893,0.001568994962446655,0.0002589812968877267,-0.00575987342543504,-0.0011735905889711826,-0.005969663052063605,-0.001969941235345337,-0.0017177356141449957,-0.004511060619929197
employment,1,-0.002936127066823409,0.003931493672692149,0.003950989684379082,-0.004228676375410529,0.001125589793306139,0.0008834565513448732,0.004572897765567012,0.0008922376584168676,0.00036896649667748747
employment,2,-0.0018250301115067056,0.005384584109079531,0.003938625018793365,-0.0015181467230244738,0.0019546174423907578,0.004715702720220412,0.005289564471051368,-8.379408697371919e-5,0.0023686187768289305
employment,3,-0.00041216352687123203,0.002027021119609791,0.001884036455951589,-0.0031441952595283483,0.00012273440430997834,0.0007445347087891873,0.0053415117766814684,-0.002106494479185347,-0.0007665207718293947
employment,4,-0.0015909414008109248,0.0012880054864421561,0.0035725411383486197,-0.006930542615393675,-0.00128868153689246,-0.0014445483781653369,0.003405994308492869,-0.003085681534048157,-0.004788441437038685
employment,5,-0.0010674545561255935,0.0014175052946274322,0.0042797251476806505,-0.006739128822219855,-0.0018444442573398129,-0.0022294155015468247,0.0025917436780853623,-0.003382033333268831,-0.006691973640161906
employment,6,-0.002259686128752396,0.0021102201161627885,0.007071943369580894,-0.007876402675695298,0.0010780462391226525,-0.002427985534595343,0.0018633544499315775,-0.0035114572094925196,-0.0074984127106297515
employment,7,-0.003335707030138357,0.002145218840130821,0.006959889896586681,-0.007805417373510296,0.0005450648885026132,-0.006598509943554559,-0.0007194529110716147,-0.005767812079664081,-0.008602243371702779
employment,8,-0.00465245674357123,0.002464954539429588,0.003708668620600101,-0.006805663167700658,-0.00036821458014914466,-0.0059977506578265454,-0.0022709844989925575,-0.006485940761405832,-0.006968124503838381
employment,9,-0.0051441826830845,0.0026758228739327057,0.0018445651317185853,-0.005039544057462017,0.00017086881862459456,-0.002645749938383059,0.00016134649951579175,-0.008760323624860405,-0.007893146141676056
employment,10,-0.005589696179623873,0.00041225604149356195,0.0016511315520156577,-0.0026920488185333048,0.0010795322807225344,0.0012251373790582254,0.0027281192612685495,-0.00564696423308646,-0.00476738883187712
employment,11,-0.005700157331309273,0.0003651190640383308,0.0021604758357016323,-0.0035687118107124746,0.00255321427601839,0.0027548917138923838,0.0024138103710635212,-0.003059267601772417,-0.004440313740869664
employment,12,-0.006347861015701608,-0.0005699271975856303,5.4589518340632225e-5,-0.006029830401365248,0.0006523218200677596,2.6253458959292372e-5,7.888978730997074e-5,-0.0011985511489159906,-0.005314379959196985
employment,13,-0.005720673875703025,0.00033019728788846443,0.002216075199033794,-0.006843508608128057,0.0006629680617413828,0.00016205963287175878,0.004791173849100209,-0.001888427420297687,-0.0046089993203130486
employment,14,-0.005542384854105751,-0.00027541886917837265,0.002914849080311565,-0.005555370058588928,-0.000682208915880081,0.0005567985395075136,0.004326630641866182,0.00023961877391213244,-0.004394416929495731
employment,15,-0.003886054303100503,-0.003419055959571101,0.0018764534196536783,-0.00498658391583036,-0.0016125062603808819,0.0012412516673572503,0.003281404551323142,-0.0015793206499553054,-0.004785261762038887
employment,16,-0.004748554424212676,-0.002101099890604747,0.0009560254959908811,-0.006176366758731675,-0.0025246366580425187,-0.0008223259569901378,-0.00022423897810324215,-0.0027689636399266773,-0.006258852676762682
employment,17,-0.004062673270173732,-0.0012639345676655458,0.0036941411076075294,-0.0064522076034996155,-0.0007963848878103281,0.002431174336478792,-0.0012760480856057559,-0.0038931651448220056,-0.006043380252180528
employment,18,-0.00607963617070985,-0.001591132924889335,0.0032769163716225786,-0.005241057994862915,-0.0013017940651750704,-0.00048246308445547043,-0.006812894139537888,-0.005330335030138177,-0.00677688863873823
employment,19,-0.005969784479639578,-0.0011016033509050332,0.000442441954967465,-0.007249257166236866,-0.003175618600860142,-0.005515622764715316,-0.010048642901049412,-0.0058909591626859345,-0.010569946557038364
employment,20,-0.007056967415990495,0.0012992228531974374,-8.418828751199573e-5,-0.004878473401370704,-0.00393864533557,-0.0064159429225130946,-0.008778698816458258,-0.0049928194786066984,-0.010651068390561735
employment,21,-0.007062854556380968,-0.0014696857265558867,0.001158719228362994,-0.0026977102677653124,-0.004972376253440212,-0.004643340867358784,-0.005996342220588188,-0.0028695164666466652,-0.011104108640746076
employment,22,-0.0067609732096533225,-0.0032069719699145726,0.0030669365088582677,-0.0030166054701289587,-0.0030015740000308333,-0.0012543166788301467,-0.0037189851244724876,-0.003866081674659251,-0.009540825268150276
employment,23,-0.007872074994570618,-0.003821043545839809,0.0020563594924101246,-0.006601655344460469,-0.0050492827117211946,-0.0028714391140945658,-0.0009929654029814637,-0.005188178189000783,-0.008880631166045436
