ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Energy_intensive,37.53719662455037,37,0.462,18.400926747077076,12,0.112,13.497165160602483,13,0.43,8,-0.0032858082833818088,0.0010539566360795592,false,false,false,Not_significant
2,Manufacturing_Construction,57.20179986738854,37,0.024,13.576441069628764,12,0.32,21.683253481204417,13,0.072,21,-0.002861209510361328,0.0008482800708901155,true,false,true,Delayed_persistent
3,Trade,65.42879484796946,37,0.004,16.66341670911238,12,0.18,22.11493601267123,13,0.054,20,-0.0049210616457425185,0.0017033241087674304,true,false,false,Not_significant
4,Services,69.723220183053,37,0.002,20.986123502346835,12,0.06,26.713829814207802,13,0.028,32,-0.004418671715858572,0.0013803469080042314,true,false,false,Not_significant
