ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,61.707293497773605,37,0.004,10.704380792393632,12,0.568,24.914814045994934,13,0.018,24,-0.012138472586546864,0.004579656049732937,true,false,true,Delayed_persistent
2,Mining,22.083570259092433,37,0.984,5.057950578497563,12,0.974,6.463819703925317,13,0.924,17,-0.009479522207580365,0.005323520979009948,false,false,false,Not_significant
3,Construction,28.119843696522672,37,0.84,15.630598252202178,12,0.212,7.341199068076893,13,0.88,2,0.003271379199164214,0.001540076827848898,false,false,false,Not_significant
4,Manufacturing_nondurable,19.12242252678286,37,0.992,5.940502822703181,12,0.904,4.4577322753320745,13,0.978,21,-0.0028147446275417704,0.001428945672577175,false,false,false,Not_significant
5,Manufacturing_durable,31.174540019305077,37,0.746,9.45117579406919,12,0.66,7.930227582640769,13,0.854,17,-0.002230728433134606,0.0010043876522057606,false,false,false,Not_significant
6,Transportation_utilities,29.243941276398715,37,0.826,10.471043126112182,12,0.592,11.730910084390288,13,0.564,8,-0.0026611036010427214,0.0011621366205408542,false,false,false,Not_significant
7,Wholesale_trade,35.387348739322505,37,0.538,17.096084114496165,12,0.146,7.461101463484954,13,0.866,11,0.004586190732223186,0.001900043692296702,false,false,false,Not_significant
8,Retail_trade,141.26757119304523,37,0.0,23.2270689666392,12,0.03,47.681298101987885,13,0.0,20,-0.00718758563641511,0.0022764500354633577,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,42.57201600000056,37,0.242,13.486459651485779,12,0.328,12.004563754948718,13,0.524,30,-0.0027872236077392865,0.0014190347044179157,false,false,false,Not_significant
10,Business_repair_services,123.92729827671431,37,0.0,25.165853535341242,12,0.014,57.76652285456407,13,0.0,32,-0.005760650533649552,0.00193656749848775,true,false,true,Delayed_persistent
11,Personal_entertainment_services,29.759921756857633,37,0.808,6.265778906460538,12,0.91,10.177647525596107,13,0.684,20,-0.006913004082147712,0.0038368317435999925,false,false,false,Not_significant
12,Professional_related_services,41.43479689736443,37,0.292,7.3979874549132205,12,0.832,14.590502238397475,13,0.34,21,-0.004232311767745463,0.0013519439748313875,false,false,false,Not_significant
13,Public_administration,19.197918920223323,37,1.0,3.7801545212758354,12,0.99,10.47575554476767,13,0.648,27,-0.002898150512107478,0.0016243126326418206,false,false,false,Not_significant
