horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.00037283366641739586,0.001493575346881676,-0.003212472678360828,0.0029706999197911684,-0.0025391880244850914,0.0020667241914208356,-0.001889870997977681,0.0009565594488368542
1,-0.003935832584081947,0.0018360331563433091,-0.007494752008899139,-0.0004219038193149415,-0.00696564183057218,-0.0009540744073706765,-0.005716802277144131,-0.0021307446165594658
2,0.00041880196294679923,0.0016950972910421238,-0.0027449609002736103,0.003864174044396327,-0.0022971157382519476,0.003295237627235419,-0.001122932171223969,0.00224505358826915
3,-0.0032848903248077006,0.0018255400568782936,-0.006850944552625408,0.0002081336490162986,-0.006368999341047157,-0.0004754843150064639,-0.005124183421888101,-0.0015584921057351414
4,0.0007985292276499179,0.002044104303236376,-0.0029955195974357353,0.004594836580979939,-0.0022429063269528565,0.004217568103699359,-0.0010265529693032974,0.0030314828055721514
5,-0.002585517928331477,0.0019928384861503897,-0.006273667972921209,0.0012752166417484352,-0.005642830030197755,0.0007170513605081668,-0.004476804830021592,-0.0004947029913166483
6,4.488455306632928e-5,0.001978832247910742,-0.0037757797036751155,0.004042214133576877,-0.0031602643644638327,0.0031473609776396095,-0.0018241885343382152,0.0019724667667524697
7,0.00010772353901040152,0.00206676365697162,-0.0036964406796922474,0.0043826136846132485,-0.0032478410972063493,0.0035748273115776726,-0.0019437218969336348,0.002227370314327368
8,-0.0013004139217628159,0.0021692144678980077,-0.005241289880188103,0.0026456943221174253,-0.004732907709490225,0.002106896763192253,-0.003441894575059782,0.0009536229412959545
9,-0.000367062972423156,0.001718024095551812,-0.003775898632063803,0.0030115366394567215,-0.0031200517215760394,0.002519146175622716,-0.0019453862982095086,0.0013848773874073268
10,-0.0001519832681593115,0.0018017027695775198,-0.003565742578332712,0.0032541153311499153,-0.003176534771966954,0.0028138229281365287,-0.002096805138454348,0.0015430739429526832
11,0.004586190732223186,0.001900043692296702,0.0010507123095433134,0.00834864231958374,0.0015362386341280147,0.007819083327288109,0.0029867451378630446,0.00671082918010667
12,0.0010718451816921998,0.00201416244241741,-0.0029331264698486403,0.005107244504393021,-0.002115162147899992,0.00446460574108307,-0.0009234967721561669,0.0029912021074572047
13,-0.0009639651970684505,0.0015765243533047214,-0.0040471516908873245,0.002151264468205176,-0.0035354171789306766,0.0018646064676718505,-0.0024473372169338202,0.0007324663531036586
14,0.0014792133646340576,0.0018258443070471363,-0.0018647209496625886,0.005435189618083508,-0.0014115550367735138,0.004793669043253919,-0.0002819907420357065,0.003369553007462495
15,0.002387035531449737,0.002063064884476261,-0.0017066807457541125,0.006587040884865423,-0.0006408620030855543,0.005810464956291023,0.00042051684081150745,0.004489550942015107
16,-0.002442821596313031,0.0019239523543513888,-0.005927875756884184,0.0014508886640979967,-0.005360447301581425,0.0009313310421388618,-0.004326900389242402,-0.0003573064882906675
17,-0.001154485892939789,0.00211543494626053,-0.0054053489563721325,0.0029056691882052166,-0.0044446984763488705,0.0022801120299467867,-0.0030174191670278394,0.0012372688610354863
18,0.0010810331740581645,0.00200341623899519,-0.0026803317475244262,0.005032497293487418,-0.0021990897572263008,0.004405158573215497,-0.0010606438854832414,0.0031310518957093783
