horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.003741660689524761,0.0048046463950607325,-0.012717853232797272,0.006041574657484301,-0.011515451282716697,0.0033929552984238885,-0.008899285005086714,0.0004101916509380919
1,0.01050125799227219,0.006871517195642452,-0.002262673128996224,0.024006832712589937,-0.0009841963277086897,0.02259391494749932,0.004124967548070208,0.017565120675417625
2,0.013314175059903286,0.008211225404788578,-0.0009676628415314999,0.030752762634571926,0.0010114246900546533,0.02760382934340451,0.00536241277581471,0.021822433802472525
3,0.020672229899888945,0.009831318678578097,0.0007896603079432527,0.0389816964500585,0.00381717233780155,0.03698922086502656,0.011312624373347957,0.030974604637096354
4,0.01754557582679437,0.01114255823051803,-0.004759717488907715,0.03786008142783552,-0.0003862693196929913,0.035446450737065,0.006691194172321934,0.02951315371852209
5,0.01963240392188347,0.011024816574987556,-0.00385883290848556,0.03924766179853845,0.0008627742853020772,0.03680015573457132,0.008363151516723804,0.029691698533331576
6,0.022811680781871034,0.01278755688581979,-0.0021249300793531167,0.048989650427012366,0.0013426442708091358,0.04530838144988931,0.010377195215266453,0.03573100912067719
7,0.025062215121712333,0.013763731307674543,-0.0011470290459241767,0.05139268696364148,0.0024137670017112312,0.04645467416630976,0.010760506529645766,0.037319138010630463
8,0.027982063315140138,0.013849503635920269,0.0001210631024975098,0.054934934405581004,0.005951574592689497,0.04967893883377236,0.013443461404301341,0.041062228345661825
9,0.019158013481796576,0.013095624357947823,-0.00583942674318467,0.044540333191699165,-0.002406715287359847,0.03999910316108871,0.005228619312491193,0.03153423104310229
10,0.014706072275658288,0.01391234888373795,-0.012267159550485924,0.04190205981128073,-0.008445872596953945,0.03588385042014536,0.0005225802319663103,0.02795523261408122
11,0.01841979471561213,0.0145313979049188,-0.010448535938201615,0.04459008252781872,-0.005571322417992112,0.04150980021005987,0.0030735908589631035,0.032439584520999654
12,0.012416730668066514,0.015125897430240308,-0.01584040809613905,0.04004149330138386,-0.011851311188125067,0.037795296441891404,-0.0009444809661689512,0.028379455562395187
13,0.010690874262640785,0.014239325305193246,-0.01535985587095444,0.04132873218661905,-0.011699304546378957,0.03463595083311422,-0.0028173132214069823,0.02445684651585598
14,0.02506418290532848,0.014214040582135622,-0.002873363551642909,0.05204649758581363,0.0011761375897391283,0.04764871006800228,0.010795122919424291,0.038910030678651265
15,0.024591187623479373,0.014679580541627131,-0.004054827138568189,0.053686231242050214,0.0015438663470048357,0.04884344866256293,0.010172527618353652,0.03906388956906508
16,0.017461635920203496,0.01578486580565666,-0.011518216310491068,0.04653841498103347,-0.00796576036156984,0.04132850305363409,0.000767085013738207,0.032639660702307796
17,0.026718689838704814,0.014984716864095662,-0.0018122188144712443,0.054710062975392895,0.0022198292240842945,0.04952812963110789,0.010900182978001046,0.04137940937992826
18,0.024743950902466415,0.014963301865278021,-0.006431999095016266,0.052638127651841754,-0.0019093680786909518,0.04820730567443272,0.008912620139748662,0.03877602497870795
19,0.029627415994335726,0.01539171374159685,-0.002941815407786424,0.057798897683170106,0.003515834739658132,0.05350376629000262,0.014445131296582304,0.044802299482146715
20,0.029411326298329123,0.016085982953138227,-0.00301929009748812,0.05952130600860401,0.003933037935712304,0.05564742150962851,0.013272282206588598,0.04582794081295763
21,0.020917496593113347,0.01637559691818844,-0.013363320505293638,0.052549176639904105,-0.008101573567525746,0.0457193894276949,0.004630591571658849,0.036923290548312324
22,0.018420680206286327,0.01737918377491165,-0.012474053913017709,0.05474616896818043,-0.008343145191085104,0.0469830408011916,0.0002528293117407552,0.03530465059696629
23,0.01687112881999153,0.018638139570922172,-0.01826741122479939,0.05426911727182489,-0.012291003826801252,0.04752768606685385,0.00030633061503283255,0.03587898724386723
24,0.01744233386485499,0.01998984298872842,-0.018411280739164648,0.057493656017601855,-0.012997320885481434,0.051311993814688484,-0.0007291929328071409,0.03536445400203916
25,0.026416152471429543,0.019104831591956247,-0.008431114052813903,0.06620526510012366,-0.003185817423904312,0.059537048339792654,0.008073572857586425,0.045720384708663096
26,0.030544707545066753,0.01858279197325981,-0.006235398578520777,0.06748523524196674,0.0009627867286283879,0.06278907697930357,0.012281707529727582,0.04814646917631622
27,0.028871369406144133,0.018696564185599264,-0.005408039693441032,0.06689153071142276,-0.0014557813922172504,0.06039671954905683,0.011149351558085089,0.0470023804353369
28,0.026301152268475864,0.017016249413349983,-0.0066264491388356985,0.05926368342442016,-0.0024230528853026465,0.055171658673206045,0.00960768823351916,0.04349311502930338
29,0.027331156560818963,0.016623281532749567,-0.004670169791801333,0.0583860774090585,-0.0003288211617782458,0.05341362614904567,0.010801583899346212,0.0430030442918236
