ind_group,ind_label,horizon,beta_abs,boot_se,p_value,bh_reject
1,Agriculture_forestry_fishing,0,0.007280790463411117,0.005952505499816771,0.212,false
1,Agriculture_forestry_fishing,1,0.01962669272317164,0.009217869111858273,0.032,false
1,Agriculture_forestry_fishing,2,0.024417195109918154,0.0108944687393144,0.036,false
1,Agriculture_forestry_fishing,3,0.03000795156058573,0.01369819213321021,0.044,false
1,Agriculture_forestry_fishing,4,0.02794606233562929,0.014746305081478483,0.072,false
1,Agriculture_forestry_fishing,5,0.020572570190505377,0.015508410289823183,0.176,false
1,Agriculture_forestry_fishing,6,0.011017376210139708,0.014801728430978246,0.46,false
1,Agriculture_forestry_fishing,7,0.0012963667923997196,0.012663573744229745,0.936,false
1,Agriculture_forestry_fishing,8,-0.0005635018273363283,0.011402458427537105,1.0,false
1,Agriculture_forestry_fishing,9,-0.0028652118015909294,0.00932781177364725,0.764,false
1,Agriculture_forestry_fishing,10,0.00601179863930034,0.006618854180431868,0.292,false
1,Agriculture_forestry_fishing,11,0.010317214966358306,0.005031654587554153,0.044,false
1,Agriculture_forestry_fishing,12,0.015189498853527448,0.006809012434508516,0.02,false
1,Agriculture_forestry_fishing,13,0.02394442014152607,0.009575189761819416,0.024,false
1,Agriculture_forestry_fishing,14,0.023897895727763498,0.011822317644262354,0.04,false
1,Agriculture_forestry_fishing,15,0.025486768414193905,0.013613389426921713,0.064,false
1,Agriculture_forestry_fishing,16,0.01798703629644735,0.015064171374031068,0.232,false
1,Agriculture_forestry_fishing,17,0.011464189722389712,0.015702973698831505,0.452,false
1,Agriculture_forestry_fishing,18,0.0014560935223994582,0.014545871467924487,0.948,false
1,Agriculture_forestry_fishing,19,-0.0037080536263087755,0.013400531996739738,0.748,false
1,Agriculture_forestry_fishing,20,-0.004449413990421001,0.011666024304254986,0.708,false
1,Agriculture_forestry_fishing,21,-0.002762778359937253,0.009236350433010573,0.836,false
1,Agriculture_forestry_fishing,22,0.0013356670818657878,0.0062221427857801,0.78,false
