horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0027677780823394203,0.002289263420975775,-0.0074383521693192935,0.0017993891265755896,-0.0066041153605038375,0.0008856798270427367,-0.004890180326943924,-0.0006501969790769519
1,0.0003938509485817282,0.0027266860640400258,-0.004599331988797572,0.005828955421708337,-0.003909745905588472,0.005101292905375277,-0.002118600521301069,0.0034227267125309917
2,0.0033005130474961716,0.0035323020023075254,-0.0039208314798405775,0.010080382278334233,-0.0024348406788414663,0.009200789890816621,-0.00011599651493690615,0.006707962848553945
3,-0.0006463711842779927,0.004088823237845619,-0.007937341934874444,0.007134284350336339,-0.00683915769995859,0.006468066764870764,-0.004642244796374449,0.0036534259555761105
4,-0.0037839307255362062,0.004448096742413999,-0.012417267798433775,0.004870355633099069,-0.011099945073875826,0.003748210908591021,-0.008489506062126447,0.00045842987670297194
5,-0.0029068349811605366,0.004331691336343275,-0.011133210686488197,0.005748573083258194,-0.009565845031538426,0.0043614270589968345,-0.0070967854481445046,0.001676344531544242
6,-0.003195028898772751,0.004984031772542774,-0.012304780919921016,0.007396795658074505,-0.010883820732390373,0.0053772571339410795,-0.008130644924999994,0.001753746444272146
7,-0.004218640838227137,0.005044362640692403,-0.014469031643361926,0.005569130816326217,-0.012367471811510973,0.004142221000603283,-0.009294854902333666,0.0012058505724564148
8,-0.004669945366750056,0.004897652509192644,-0.014660594930628726,0.004345228613824297,-0.012778417946668903,0.0028302045856027584,-0.009648532658501102,4.2657544925802034e-5
9,-0.0058431656702320174,0.004655542967689162,-0.01575001462207529,0.002651886347277871,-0.01392404222848593,0.0009166154348222933,-0.010668901662197968,-0.001383791460712888
10,-0.004485708216797346,0.004607534624929124,-0.01371673070161394,0.00416784736279619,-0.012388686024334288,0.0030973345911364096,-0.008792188584092623,-6.838385985799928e-5
11,-0.003715484657903775,0.005019210959299589,-0.014220228984420782,0.005052665249166148,-0.01187963813069121,0.00409435674801152,-0.008784378208919365,0.0013471126372960427
12,-0.006946744252114035,0.004923589914735701,-0.017942688567958488,0.002116360892835945,-0.01508542607677358,0.0009113381675371681,-0.011715274276911996,-0.002015550435424252
13,-0.0027851183498058597,0.005252935406604827,-0.012070692864639184,0.007929022172265624,-0.011247834297285545,0.006082698813521963,-0.008252550322404862,0.0024605237600213003
14,-0.0036457236510578617,0.0053498501252539285,-0.014424159747836736,0.006550396576853532,-0.012467986762125632,0.00519607070540922,-0.009161173956542566,0.0015008934194875414
15,-0.004092925480491385,0.005851490060306307,-0.016090807988450577,0.007564302139561526,-0.01422365533093563,0.0062063584898855205,-0.010195730283647675,0.0012115898357778054
16,-0.00845597168456324,0.006223930546983406,-0.021779490273167335,0.0026111849819781545,-0.019494569455828357,0.001300292428370024,-0.014966640951989988,-0.003157119712101958
17,-0.007363576517968407,0.006284380013678616,-0.020104139183084346,0.004701361544979245,-0.01763730282948046,0.002754978649462033,-0.013549066268514194,-0.001172647714438245
18,-0.007853929970694538,0.006324337988863693,-0.021312364887464005,0.0027907896195859963,-0.019381680336753606,0.0013430336467872175,-0.014461695811841537,-0.0021674949777397974
19,-0.009895618045680342,0.006375348627135604,-0.024082490612758092,0.0009758151891864608,-0.02194294678133485,-0.000637105778361999,-0.01671129067776391,-0.0039788130063747925
20,-0.00954242264929554,0.006049160309486798,-0.02050202153384894,0.003063926311002224,-0.018819477288283825,0.0006877267173154783,-0.014939103467215428,-0.0036906527645085706
21,-0.010477904827918114,0.005698642462055753,-0.02162714138427901,-7.020944733186115e-6,-0.02008583050800823,-0.0013886304045840339,-0.01606425793565608,-0.0044232402728804675
22,-0.012847911270253065,0.005617067673511609,-0.02370345506608077,-0.0027829227422717304,-0.022226653265244516,-0.0041394979493795635,-0.018465811412612283,-0.006817691253784144
23,-0.015504335734604968,0.005714350729135007,-0.02598763477983529,-0.004456026439095982,-0.025108964521182487,-0.0057528886925365275,-0.020742325156003397,-0.009560836760130961
24,-0.015102420476873936,0.00589802559709891,-0.02619042474459704,-0.004108455067413585,-0.024466990534262427,-0.00524522816955544,-0.02110556163933979,-0.008832064055203167
25,-0.014269598525104624,0.006230583857505387,-0.026640852733990972,-0.002961010414249714,-0.02471860393717422,-0.004538635901164463,-0.020171102667263918,-0.007512896793308906
