group_id,cum_irf,oil_intensity,fitted,residual,alpha,delta,r_squared,var_share
1,-0.1766602399060712,0.6266343451119423,-0.1810479070327189,0.004387667126647704,-0.12554839426328693,-0.08856762033928653,0.4096865581178418,0.40968655811784266
2,-0.1676439087457774,0.11084487521208565,-0.13536566108762652,-0.03227824765815088,-0.12554839426328693,-0.08856762033928653,0.4096865581178418,0.40968655811784266
3,-0.13931738688705866,0.006227707021533097,-0.12609996745435437,-0.013217419432704297,-0.12554839426328693,-0.08856762033928653,0.4096865581178418,0.40968655811784266
4,-0.08640257091782012,0.022154559546974803,-0.1275105708820275,0.04110799996420737,-0.12554839426328693,-0.08856762033928653,0.4096865581178418,0.40968655811784266
