occ_group,occ_name,task_abstract,task_routine,task_manual,total_employment,task_sum,task_abstract_norm,task_routine_norm,task_manual_norm
1,Managerial,6.823430078029199,2.4879594804603498,0.35871913782507364,4.134206714047001e8,9.670108696314621,0.7056208251960683,0.25728350720696,0.03709566759697181
2,Professional_specialty,5.136141058026823,3.640628729967032,1.3292120200180946,5.106579168403001e8,10.105981808011949,0.5082278155255462,0.36024493207387015,0.1315272524005837
3,High_tech,3.746367867178566,6.168426490877195,1.2138024726948116,1.1648113807399997e8,11.128596830750574,0.3366433274702333,0.55428609596428,0.10907057656548656
4,Sales,3.430707160149116,3.0149175793586545,0.26048848558640103,3.9795230279000115e8,6.706113225094172,0.511579068977163,0.4495774941700775,0.03884343685275953
5,Administrative_support,2.0817525596652002,5.597377827015731,0.16691653848388308,5.924002926565005e8,7.846046925164814,0.26532502029631577,0.7134010133259753,0.021273966377708967
6,Service,1.3697762042717934,2.8823795354902897,1.617525197207887,4.288778584109003e8,5.86968093696997,0.23336467841792016,0.4910623876224222,0.27557293395965765
7,Farming_forestry_construction,2.3417839434623313,6.135614715292298,2.946664478671684,1.5570771556379995e8,11.424063137426312,0.20498695738037595,0.5370781517472049,0.2579348908724193
8,Precision_production_repair,2.9154851253767657,6.567003798616619,1.4321095015945844,2.3905446508839992e8,10.91459842558797,0.26711794714698434,0.6016715908870329,0.13121046196598266
9,Machine_operators_transport,0.922822582080629,4.308221238427659,2.3470572566856824,4.7245477138979995e8,7.5781010771939705,0.12177491071712294,0.5685093395485445,0.30971574973433236
