occ_group,occ_name,hours,income_share,ratio_75_25,median_income,mean_income,hourly_wage,unemp_rate,emp_number
1,Managerial,0.006190411277220318,-0.005947151100848902,-0.03660614121994068,-0.01582613837141096,-0.01827349991951685,-0.025078730033334558,0.005948089522670519,-0.04138840723746754
2,Professional_specialty,-0.005836003426939142,0.01702820852621518,0.008187166743299468,-0.019894282228676164,-0.013773062973236999,-0.006821429867543881,0.01031273973411004,0.013772865172266207
3,High_tech,-0.0035016616176593808,0.001520270895903391,-0.05352463675195898,-0.048664180157966946,-0.06801617662211876,-0.06592139231157153,0.017112424295004286,0.045083066412902946
4,Sales,-0.03876884424674712,-0.014093796893866471,-0.08133346790794384,-0.027917740594444497,-0.09385169560288896,-0.05460749345497599,0.026109513152458932,-0.07768492497150517
5,Administrative_support,-0.00891554414209989,-0.001245563862953311,0.028304166060877763,-0.049843602440499735,-0.038761933773623594,-0.030523552561267403,0.008002792877707759,-0.014660413340252948
6,Service,-0.0002475083612433983,-0.0006418050050307907,0.07300986310937195,-0.0006799780423256585,-0.008050515189607298,-0.007916597006850067,0.0269217026201464,-0.02299768328461388
7,Farming_forestry_construction,-0.01632992316963253,0.0015134947763724028,0.046924305608857866,-0.0464416162006341,-0.03045556636943702,-0.012271411528988623,-0.010636878422752754,0.046254252982567454
8,Precision_production_repair,-0.0060612863744156364,-0.0007606853253540261,-0.05673600802430819,-0.13739149153500452,-0.11074326620520755,-0.10428229494789226,0.013492503496756198,-0.03427894129934424
9,Machine_operators_transport,0.011652778374204616,-0.00021567829313267722,0.07450328393016548,0.010781845761840889,0.013389012284995398,0.0014820668592174751,0.0194774222789209,-0.06291414242975785
