outcome,horizon,1,2,3,4
employment,0,-0.002185929669746544,-0.001490269216342478,-0.0055227962510896,-0.001913337662846623
employment,1,-0.0005921055761715255,0.0011446470199148202,-0.001636756575145138,0.001910454163704781
employment,2,0.00013607851570670692,0.0020390207185302382,0.0024532773942779846,0.0030782706791296272
employment,3,-0.0017547042732384594,0.0008817167117687468,0.0001333686584488023,0.000715531580444642
employment,4,-0.0028594175028493446,-0.0011802107199068706,-0.003722056533659031,-0.000524589425107458
employment,5,-0.0038390234155008048,-0.0009378978859512754,-0.004071263636402289,-0.0009320106104978931
employment,6,-0.004944456588640477,-0.0009651679174911488,-0.0039023001310795765,-0.00089674804778841
employment,7,-0.004790046555335881,-0.004553508685685734,-0.00592190909466917,-0.0011885930463287054
employment,8,-0.004116505542344796,-0.0041568867743395676,-0.006005520151329667,-0.0016238273400841347
employment,9,-0.00460299469710667,-0.004400432821788369,-0.0040052961430405475,-0.001516701465432575
employment,10,-0.002775540595323543,-0.003341827217597953,-0.002016870383912595,-0.0005184362663546678
employment,11,-0.0026869028415256466,-0.001817374804059794,-0.0017618152330205062,-0.00038944486701204025
employment,12,-0.0018800463978504616,-0.003105096042943596,-0.004864710486583041,-0.0015699328321564223
employment,13,-0.004897861478568622,-0.0020408784136142816,-0.005336875754006933,-6.699271584452299e-5
employment,14,-0.0035023308442298324,-0.0023017215152951968,-0.003634800562606477,-0.0008136022354135289
employment,15,-0.0035871604743542263,-0.003519310674398317,-0.0023611297876974346,-0.0018426965038181268
employment,16,-0.005113741708897474,-0.004141190873012122,-0.004115878633185849,-0.0022334760156218253
employment,17,-0.002511559791587903,-0.003387892872967079,-0.0024355006111392513,-0.0016816571782098813
employment,18,-0.005778821860791442,-0.005442641911395041,-0.0026677683717277402,-0.0027340309670292108
employment,19,-0.006832049123951171,-0.008684622127658524,-0.005456935358504939,-0.00400901190057318
employment,20,-0.005887348268500457,-0.009207690134812267,-0.004508397444057559,-0.0037854023098311514
employment,21,-0.006163747995390983,-0.009922029893202313,-0.0026708762068666783,-0.004285352800024532
employment,22,-0.008002219786904111,-0.0075228914090029195,-0.0018472333374834778,-0.0038266782526832598
employment,23,-0.006592163959299138,-0.007411609887497437,-0.005564350463220018,-0.004948986160309434
employment,24,-0.006325427887884562,-0.008059467613574624,-0.008253341961501624,-0.0049970167460574085
employment,25,-0.0060680707040656956,-0.004691436795165051,-0.007124781614554721,-0.004688400926761009
employment,26,-0.0022792877170605104,-0.0029070962900020693,-0.0034914362317836336,-0.003753146269993659
employment,27,-0.0038501094187143687,-0.004156903109875355,-0.0036167653996271496,-0.004862123005344827
employment,28,-0.006917810771850102,-0.006272746023014831,-0.004011061389349216,-0.005218788639035426
employment,29,-0.005977961618887305,-0.007719487432856435,-0.005389875543154176,-0.005361418715735168
employment,30,-0.008416296572284635,-0.007896309176733224,-0.006343880021914814,-0.004990911437572524
employment,31,-0.010156287660232806,-0.007866575637627398,-0.007195321721659607,-0.004492929899216151
employment,32,-0.009009521817636961,-0.009169557148906929,-0.006513320591000778,-0.003626345628868206
employment,33,-0.009611784523075716,-0.007021842456524356,-0.004002332839725793,-0.003416953560562618
employment,34,-0.007240964190015917,-0.006567929169482505,-0.002258968698698068,-0.003126341568259708
employment,35,-0.002891874876125473,-0.005698716853923244,-0.0018136947844687946,-0.002261009678162565
employment,36,-0.004340171385580881,-0.0056403429056853934,-0.003381007243009122,-0.0019232703254089415
hourly_rate,0,-6.360780662749306e-5,-0.0019108353983927793,0.0012817673079051938,0.0001839168495003348
hourly_rate,1,0.00040213685922165095,-0.0024499178838177423,-0.003640470944836855,-0.0008617398684289177
hourly_rate,2,-0.003037232076941367,-0.0024424508497019894,-0.002559766002339358,-0.0038515762247965306
hourly_rate,3,-0.0024837100262686206,0.0017496685726710176,-0.0021711358625600987,8.634265210323532e-5
hourly_rate,4,-0.003989401347995915,-0.001020753286422967,-0.002063436495738678,0.0005808295511385953
hourly_rate,5,0.0007355394039154059,0.0002417788778354627,-0.002634789709667545,0.002141266626142748
hourly_rate,6,-0.0012767170931252392,0.002223990804888229,-0.0011189787803799886,0.00035777068258893826
hourly_rate,7,0.0013998747864743752,0.0012135205767424045,0.002320655714151727,0.0018996005445685426
hourly_rate,8,-0.0020075088663521943,-0.00043365468994387737,-0.002444773668645598,-0.0009017399189809775
hourly_rate,9,-0.0034802455722246937,-0.001403572764259269,-0.0024644787330634433,-0.0006701272481822256
hourly_rate,10,0.0007483953502333243,-0.0019764542443015494,-0.0035987541269578245,-0.0021412765759155216
hourly_rate,11,-0.0015339801574646486,-0.0010232349705739708,-0.003089294989737884,-0.0023698099524566835
hourly_rate,12,-0.0012722605560289788,-0.0022127349699889946,-0.003546417283284319,-0.001451890189605504
hourly_rate,13,0.0023392833107893835,-0.0021881423581929234,-0.0033502007566066877,-0.0007473483798442833
hourly_rate,14,0.00311290925795504,-0.0017668440224822871,-0.002665976752379212,-0.00215098723829629
hourly_rate,15,-0.0007048642736082938,-0.002031198756242599,-0.0013388560381639627,-0.0005986474607570973
hourly_rate,16,-0.0005754572550887971,-0.005219007779756714,-0.001982474097110315,0.0004367506609272253
hourly_rate,17,-0.0011857432690821664,-0.00361351754723165,-0.003638400302162908,-0.0005504712374713611
hourly_rate,18,0.001511528590001368,0.0012612246923070943,0.00046851585275780645,-0.0006492718033840266
hourly_rate,19,0.001353231752003877,-0.0007911067558641626,-0.0004575784440448587,-0.0004854695514718074
hourly_rate,20,0.0014850929449557345,3.712717015767098e-5,-0.001595644013827089,-0.0017785884306619258
hourly_rate,21,-0.0015840596409125846,-0.0029645193471467663,-0.0017605359683002752,-0.0017527634249478047
hourly_rate,22,0.0018061096010478796,2.6146459623070394e-5,-0.0053537951250037545,-0.0027713028316379527
hourly_rate,23,-0.00029197189078034166,-0.0011415747147069959,-0.005313336607957351,-0.0022066982986550117
hourly_rate,24,0.004898907312529942,0.00023414057003239656,0.00020893997653531775,0.0007432269104265921
hourly_rate,25,0.0024331124790425503,-0.0016262553159206003,-0.0023325906380895446,0.0014318860659349258
hourly_rate,26,0.0015414568971413507,-0.0038233695344397265,-0.004044580724389435,0.0006184253013875741
hourly_rate,27,-0.0007970237901884532,-0.0019185933187934466,-0.004518538813190455,-0.0009383196548188317
hourly_rate,28,-0.0008155102180880688,-0.004677090404099808,-0.0012873398240877052,-0.0013541905976835716
hourly_rate,29,0.0004253378997281753,-0.002883542288568615,-0.003042535891214115,0.0006138356140708991
hourly_rate,30,-0.003105821520478888,-0.003300030205361573,-0.002511138873838126,-0.001218181036347779
hourly_rate,31,0.000738142966193059,-0.0025596304456025434,-0.003558227103561789,-0.000621958801275999
hourly_rate,32,0.0002949687423639866,-0.00023266353760238706,-0.0034726300555387494,-0.0018027618298717925
hourly_rate,33,0.00039622760330962613,-0.0031922334809050736,-0.0016804290396600816,6.105107145744201e-5
hourly_rate,34,0.0026502713536655288,-0.0051019300433935415,-0.0038482527949854368,-0.0007539413064188907
hourly_rate,35,-0.004100839281139044,-0.006355057795338948,-0.00371818972664362,-0.003067089218593217
hourly_rate,36,-0.0014981159205200566,-0.003900416184982599,-0.0036959312390311976,-0.003146273400275747
hours,0,-0.0010247210556176955,0.00029840537479469394,-0.0005031132272049129,-0.0014167007941140585
hours,1,-0.0014286650317939919,-0.0002849894867031897,-0.0018363903662606544,-0.0012820785627096999
hours,2,-0.0006420739519748066,0.000789668865164214,-0.0017715753091837195,-0.001905725561377239
hours,3,-0.0005439569645183274,-0.0014112237699768705,-0.0016290484422435446,-0.0018547710548422842
hours,4,-0.001964970535910413,-0.0010748467883339554,0.0006307892429852422,0.00024998395668587007
hours,5,-0.0011100816271175835,-0.0011019301839499107,-0.000560194093454252,-0.0004904690539037836
hours,6,-0.002538517157971573,-0.0011332904217174185,-0.0023408972480287336,-0.0013832893811514177
hours,7,-0.002285076776467478,-0.0024425660700647268,-0.0034824323195419686,-0.0027572663238406014
hours,8,-0.0032858082833818088,-0.0003278201024771883,-0.004123720467014836,-0.00239130514152853
hours,9,-0.0019164786089257166,-0.001095639684193004,-0.0022625560691594097,-0.0024767420168065684
hours,10,-0.0020945026553392332,0.00023902309731144944,-0.002234672124626256,-0.0015383871782476256
hours,11,-0.0002311636513592807,-0.0004228531750715734,-0.0016273584565182995,-0.0023980737157042174
hours,12,-0.0004637861794385498,-0.0009436445003545892,-0.0027543646765130795,-0.0017989240340298119
