occ_group,oil_exposure
1,0.08464039734066114
2,0.05151996664560586
3,0.08967820794738451
4,0.03072860950507206
5,0.11406216596119327
6,0.030034394045579275
7,0.11358548501056064
8,0.14704999764488644
9,0.18198407155461982
