occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
2,Professional_specialty,28.2071060567244,37,0.868,8.477685673092259,12,0.72,7.2156875635823585,13,0.908,20,-0.003392801405582151,0.002052837462157526,false,false,false,Not_significant
3,High_tech,24.834308041916756,37,0.942,3.065246684303696,12,0.996,14.987997992573355,13,0.298,20,-0.005411981055543944,0.0024942538715294234,false,false,false,Not_significant
4,Sales,169.46114971988322,37,0.0,48.592314404160454,12,0.0,58.801723558789504,13,0.0,22,-0.008124851021850557,0.002214226210392601,true,true,true,Persistent
5,Administrative_support,40.911244955613796,37,0.292,15.171442220788899,12,0.258,13.35526006631304,13,0.416,20,-0.005132872929724627,0.0020742948958463892,false,false,false,Not_significant
6,Service,32.8191448698999,37,0.682,10.368029602338423,12,0.606,10.690057890239984,13,0.646,20,-0.005958516025951209,0.002786451515076047,false,false,false,Not_significant
7,Farming_forestry_construction,54.822355321930125,37,0.034,19.94965209061033,12,0.06,18.19993095740489,13,0.162,20,-0.005437395421153968,0.0022876184655542305,false,false,false,Not_significant
8,Precision_production_repair,45.307264737306724,37,0.17,14.400916258830836,12,0.26,12.879222436617724,13,0.444,11,-0.00427616725155788,0.00144816242248007,false,false,false,Not_significant
9,Machine_operators_transport,13.09033470800141,37,1.0,7.5961547233679045,12,0.806,2.4443430878708465,13,1.0,3,0.0027637008895445413,0.0015528679938997631,false,false,false,Not_significant
