ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,170.18706104076452,37,0.0,56.48762124183835,12,0.0,50.386681857008014,13,0.0,31,-0.027665406635530555,0.008094793073982087,true,true,true,Persistent
2,Mining,false,27.887320370658838,37,0.868,13.652834686769083,12,0.32,7.04189077452291,13,0.916,11,0.0242392506440886,0.009349202886595487,false,false,false,Not_significant
3,Construction,false,30.15639463972331,37,0.786,7.068912001997112,12,0.868,13.841167226044115,13,0.394,35,-0.009534660306808884,0.004202746218568018,false,false,false,Not_significant
4,Manufacturing_nondurable,false,44.37323339502729,37,0.194,12.215989582711925,12,0.432,15.903650526624935,13,0.246,10,-0.010759991188467589,0.00524032607201687,false,false,false,Not_significant
5,Manufacturing_durable,false,27.091888338111726,37,0.884,1.6316568170611478,12,0.996,16.80553743025507,13,0.228,36,-0.009010711500355295,0.003890434863841176,false,false,false,Not_significant
6,Transportation_utilities,false,16.037259117916964,37,1.0,4.387041618369034,12,0.982,6.3824047623574875,13,0.918,24,0.0057958495408461565,0.0040204441551084935,false,false,false,Not_significant
7,Wholesale_trade,false,30.12330513369845,37,0.79,10.935258008656723,12,0.526,10.000088961303938,13,0.702,31,-0.011045428408976083,0.006371796341447636,false,false,false,Not_significant
8,Retail_trade,false,99.51300988572922,37,0.0,29.949330487166748,12,0.002,32.2085643426219,13,0.0,22,-0.013012519659403143,0.004140726593967239,true,true,true,Persistent
9,Finance_insurance_realestate,false,97.67640424766974,37,0.0,29.47639204472356,12,0.0,29.062178870656297,13,0.006,35,-0.0123848088426377,0.004806140186862173,true,true,true,Persistent
10,Business_repair_services,false,195.42009165468946,37,0.0,54.532466067126634,12,0.0,73.39262789361815,13,0.0,32,-0.019727795341929054,0.00612518708160544,true,true,true,Persistent
11,Personal_entertainment_services,false,35.570374211896464,37,0.568,18.25510327698728,12,0.112,8.502745460231928,13,0.836,7,0.010894338280014432,0.005207335437256111,false,false,false,Not_significant
12,Professional_related_services,false,38.5638017707462,37,0.398,13.317965463856968,12,0.336,15.954548758543766,13,0.256,36,-0.007678515547016211,0.0034240003623903148,false,false,false,Not_significant
13,Public_administration,false,48.780291184528,37,0.086,18.66533202632887,12,0.104,12.21864938261724,13,0.532,17,-0.008079660263837036,0.003958985946091728,false,false,false,Not_significant
