ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,63.04612038318911,37,0.004,10.545676854575811,12,0.57,25.376897562172267,13,0.018,24,-0.012463762393213748,0.004627743763474288,true,false,true,Delayed_persistent
2,Mining,false,20.81044662524808,37,0.99,4.421726441627014,12,0.982,6.456040022949073,13,0.922,17,-0.008882608373550933,0.005310282787792402,false,false,false,Not_significant
3,Construction,false,25.970623510476354,37,0.916,15.304608702859689,12,0.228,5.917444572376229,13,0.942,1,0.003219398921469383,0.0014475178136299526,false,false,false,Not_significant
4,Manufacturing_nondurable,false,20.006205279287958,37,0.99,6.262864100482606,12,0.884,4.520987558665502,13,0.982,21,-0.002836905056882051,0.0014368507855568823,false,false,false,Not_significant
5,Manufacturing_durable,false,29.956000217317666,37,0.8,9.485494657809648,12,0.662,7.039771752457657,13,0.904,3,0.002251705930198263,0.0009140366119552332,false,false,false,Not_significant
6,Transportation_utilities,false,29.9572861450968,37,0.798,9.455720722151327,12,0.67,12.93839932346117,13,0.466,3,0.002615170944817832,0.001319569362417472,false,false,false,Not_significant
7,Wholesale_trade,false,34.268284210499246,37,0.594,16.90609910106957,12,0.176,7.068677943238256,13,0.89,11,0.0045937235482231015,0.00190180108585017,false,false,false,Not_significant
8,Retail_trade,false,146.4024089774446,37,0.0,22.849075803423837,12,0.034,51.738046236603445,13,0.0,20,-0.0074134989083517,0.0023618120965283205,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,false,39.95281876971066,37,0.358,13.42146143889824,12,0.35,10.194447003885205,13,0.684,5,-0.002499292575831987,0.001418518719694788,false,false,false,Not_significant
10,Business_repair_services,false,120.95150664177318,37,0.0,23.885652242906396,12,0.024,54.964614024512265,13,0.0,32,-0.00561060232866598,0.0019183539764900002,true,false,true,Delayed_persistent
11,Personal_entertainment_services,false,27.7063831592222,37,0.87,6.082928271524912,12,0.91,9.422698398187004,13,0.748,20,-0.006684606729419446,0.003935073504289126,false,false,false,Not_significant
12,Professional_related_services,false,41.7640952939248,37,0.274,7.37980735024915,12,0.832,14.688774492797865,13,0.318,21,-0.004265168823967926,0.0013740132948644249,false,false,false,Not_significant
13,Public_administration,false,16.086321731485068,37,1.0,4.175048024289123,12,0.986,8.921771719495828,13,0.784,27,-0.002624661845427642,0.0016179237916906187,false,false,false,Not_significant
