ind_group,ind_label,horizon,beta_abs,theta,boot_se,p_value,bh_reject
3,Construction,0,0.002155265587817373,NaN,0.0014917653847302936,0.172,false
3,Construction,1,0.003219398921469383,NaN,0.0014475178136299526,0.02,false
3,Construction,2,0.003141200571794079,NaN,0.001524229739721765,0.032,false
3,Construction,3,0.0012198995010190281,NaN,0.0013840386826058908,0.356,false
3,Construction,4,0.000917851627269678,NaN,0.0016410585740887621,0.576,false
3,Construction,5,0.0017851157603708076,NaN,0.0016373873393111648,0.272,false
3,Construction,6,0.000687336146617363,NaN,0.0016627104656579458,0.748,false
3,Construction,7,-0.00024919904175435325,NaN,0.0016251383050796962,0.916,false
3,Construction,8,0.00031443266172003533,NaN,0.0014832225313624317,0.784,false
3,Construction,9,0.0003377167618796996,NaN,0.0014724385314341393,0.784,false
3,Construction,10,0.0014868764368774377,NaN,0.0014768720932354731,0.296,false
3,Construction,11,0.001310002076632743,NaN,0.0017324322850264713,0.512,false
3,Construction,12,-0.000130366208166747,NaN,0.001605961543606151,0.956,false
3,Construction,13,0.0012376034220428513,NaN,0.0016536805808249812,0.376,false
3,Construction,14,0.0011147735325586518,NaN,0.0016972888188857586,0.512,false
3,Construction,15,0.0011472386242281922,NaN,0.0017585643812781397,0.58,false
3,Construction,16,0.00046222056064335927,NaN,0.0016225124635948168,0.74,false
3,Construction,17,-0.000375115676609612,NaN,0.0016374721047087292,0.82,false
3,Construction,18,-0.0016856195590922716,NaN,0.0016986802074221356,0.364,false
3,Construction,19,-0.0008500986271346827,NaN,0.001746335087868409,0.616,false
3,Construction,20,-0.0002884754887288144,NaN,0.0017268036697391134,0.88,false
3,Construction,21,-0.0015000768697148374,NaN,0.0016687797669646463,0.372,false
3,Construction,22,0.0010789678276557526,NaN,0.00166553409887646,0.436,false
3,Construction,23,-0.0007270472887021611,NaN,0.0015224384662419189,0.624,false
3,Construction,24,-0.0012474239521041515,NaN,0.0016823223974614919,0.428,false
