response,shock,horizon,median,lower,upper
Real Wage Growth,Markup Shock,8,1.3797605154981137e-5,-0.0005624878965400522,0.0005736671969671545
Real Wage Growth,Markup Shock,9,2.0056292193271497e-6,-0.0004306663221306349,0.0004453867131004319
Real Wage Growth,Markup Shock,10,8.007990093861728e-6,-0.00043834657573300066,0.00047074963320061164
Real Wage Growth,Markup Shock,11,7.875626826601116e-6,-0.00042073035195804655,0.0004540070670437125
Real Wage Growth,Markup Shock,12,1.003877345832125e-5,-0.0003574726171463436,0.0003839103547400762
Real Wage Growth,Markup Shock,13,1.8926067856100336e-6,-0.00033486280195402685,0.00035139035239980257
Real Wage Growth,Markup Shock,14,-2.5280363429580113e-6,-0.0002824583821537376,0.0002969705006815033
Real Wage Growth,Markup Shock,15,-1.7204880287899684e-6,-0.00024164851263192805,0.00024133715673294254
Real Wage Growth,Markup Shock,16,-2.4520150693188926e-6,-0.00019545724364679632,0.00020021219900449578
Real Wage Growth,Markup Shock,17,-2.3860132393617063e-6,-0.00015571543187272688,0.00016126225536718832
Real Wage Growth,Markup Shock,18,4.6066930598325906e-7,-0.00013037983137816758,0.00013206091373934388
Real Wage Growth,Markup Shock,19,-1.6167643470074711e-6,-9.954119250779619e-5,0.00010455195730714304
Real Wage Growth,Markup Shock,20,-9.631445711105977e-7,-8.045796598677986e-5,8.540587343462079e-5
Real Wage Growth,Shock 2,0,-8.272977210616167e-5,-0.005315394917827756,0.004914727276368793
Real Wage Growth,Shock 2,1,8.410884807347789e-5,-0.0022935125556416613,0.0025376844754155066
Real Wage Growth,Shock 2,2,9.834435714127766e-6,-0.0009422611914872735,0.0010360931873136972
Real Wage Growth,Shock 2,3,2.3412505229096134e-5,-0.0007855940738130728,0.0008277198251230857
Real Wage Growth,Shock 2,4,4.4764559204434366e-5,-0.0006518346497208227,0.0006942465675445648
Real Wage Growth,Shock 2,5,-1.6040766750879493e-5,-0.0005688214238026685,0.0005819197706458223
Real Wage Growth,Shock 2,6,-4.0908135909158055e-6,-0.0006194586478730334,0.0005808670137328468
Real Wage Growth,Shock 2,7,2.941600187831997e-8,-0.00044448326578050667,0.0004226440324716252
Real Wage Growth,Shock 2,8,8.6814262876241e-6,-0.0005864502172625769,0.0005430464192431893
Real Wage Growth,Shock 2,9,-8.353925391795046e-6,-0.00046074578026712764,0.0004217566874255289
Real Wage Growth,Shock 2,10,-1.0393872266113092e-5,-0.00046889008577623775,0.00043330817980803536
Real Wage Growth,Shock 2,11,-1.0454016575105067e-5,-0.0004306440323204831,0.0004043466092621382
Real Wage Growth,Shock 2,12,-1.9729583258659273e-5,-0.000382496664813496,0.00035606508134957104
Real Wage Growth,Shock 2,13,-1.1381195360881232e-5,-0.000335626085041247,0.0003143099900414429
Real Wage Growth,Shock 2,14,-7.33413387670555e-6,-0.0002854824179934416,0.00026452077501782804
Real Wage Growth,Shock 2,15,-1.025929474930282e-5,-0.00024114706008600249,0.0002308171441744212
Real Wage Growth,Shock 2,16,-6.872166886817766e-6,-0.00020055164148731708,0.00018636218604998973
Real Wage Growth,Shock 2,17,-1.1599697232199078e-5,-0.00016488910907586467,0.00015005922239636307
Real Wage Growth,Shock 2,18,-1.1424332785821961e-5,-0.00013577067957308905,0.00013015602080064542
Real Wage Growth,Shock 2,19,-9.677018739016187e-6,-0.00011148101825692813,0.00011051035582735583
Real Wage Growth,Shock 2,20,-8.90654810499258e-6,-9.68195850547862e-5,9.403494863747184e-5
Real Wage Growth,Shock 3,0,-0.00033706250141723093,-0.0055522338708177375,0.0049836965713855345
Real Wage Growth,Shock 3,1,0.00029395357103343333,-0.0020817079384251695,0.002338635454796554
Real Wage Growth,Shock 3,2,-0.00010621495156746965,-0.0010372286496063347,0.0009003971134570873
Real Wage Growth,Shock 3,3,7.50089003394802e-5,-0.0007293488267184893,0.0008619280913235133
Real Wage Growth,Shock 3,4,3.97385693427687e-5,-0.00058959763844485,0.0006231779973921337
Real Wage Growth,Shock 3,5,4.3591032208563757e-7,-0.0005785705265721602,0.0006162267173197527
Real Wage Growth,Shock 3,6,4.8125615876735384e-5,-0.0005614195611656102,0.0006647251325791739
Real Wage Growth,Shock 3,7,4.2565547221643626e-5,-0.00039859549826819706,0.0004622446169234751
Real Wage Growth,Shock 3,8,5.990266036361341e-5,-0.0005129270127485171,0.0005743382177509953
Real Wage Growth,Shock 3,9,5.132343670080658e-5,-0.00038285943469671595,0.00044366438354096534
Real Wage Growth,Shock 3,10,5.38173848098289e-5,-0.0004082321700405988,0.0004664650639564456
Real Wage Growth,Shock 3,11,5.269634163998029e-5,-0.0003947609734360221,0.00045271467787388355
Real Wage Growth,Shock 3,12,3.225765690279282e-5,-0.00035038446855753546,0.0003826599665891811
Real Wage Growth,Shock 3,13,2.9636450948658053e-5,-0.0003082435959766156,0.00034147028712252456
Real Wage Growth,Shock 3,14,1.887390436188099e-5,-0.00025309799364344094,0.0002908590041651301
Real Wage Growth,Shock 3,15,1.8050301157578952e-5,-0.0002107574475740958,0.0002542096365974945
Real Wage Growth,Shock 3,16,1.207480577794378e-5,-0.0001779328957312858,0.00020734246487595707
Real Wage Growth,Shock 3,17,8.570901573230725e-6,-0.00014817233597653863,0.00017135860903954515
Real Wage Growth,Shock 3,18,4.682876934588088e-6,-0.00012121272002480797,0.00014257813872691296
Real Wage Growth,Shock 3,19,1.2616438295056376e-6,-0.00010327914182650286,0.00011897557396131521
Real Wage Growth,Shock 3,20,1.7235472206109093e-6,-9.069204074824258e-5,0.0001005366487340346
Real Wage Growth,Shock 4,0,-9.234915353888682e-5,-0.0055106525900985295,0.005270493984427393
Real Wage Growth,Shock 4,1,-1.4935011745508671e-5,-0.002149340741395607,0.002086310241625493
Real Wage Growth,Shock 4,2,-1.309941109064127e-5,-0.0010176009341261048,0.0009388474127546918
Real Wage Growth,Shock 4,3,-1.5911547958847036e-6,-0.0007267223997159465,0.0007471099801465839
Real Wage Growth,Shock 4,4,8.924715534342245e-6,-0.0005848492521276226,0.0005625506815135997
Real Wage Growth,Shock 4,5,3.251368959973775e-5,-0.0005459303649462504,0.0006081404066503348
Real Wage Growth,Shock 4,6,1.1473275571452462e-6,-0.0005726705444873259,0.0005837393375946381
Real Wage Growth,Shock 4,7,4.717508501935794e-6,-0.0004238094020321476,0.00041910813230156463
Real Wage Growth,Shock 4,8,-1.780505941632552e-5,-0.0005591844113266787,0.0005625117372188914
Real Wage Growth,Shock 4,9,-1.766089491607605e-5,-0.00043912747628455215,0.0004461681958769963
Real Wage Growth,Shock 4,10,-2.0441036026690985e-5,-0.00044524475312002047,0.00045634950575702994
Real Wage Growth,Shock 4,11,-1.849223889732005e-5,-0.0004364304114622825,0.00042416079680133393
Real Wage Growth,Shock 4,12,-2.3377336899222614e-5,-0.0003983744856090408,0.0003747709622528854
Real Wage Growth,Shock 4,13,-2.2069392684030876e-5,-0.00035871398024378385,0.0003469274702413874
Real Wage Growth,Shock 4,14,-1.8839400760006236e-5,-0.0002977590918714638,0.0002843094309297369
Real Wage Growth,Shock 4,15,-1.1507172874775012e-5,-0.00025606122400570854,0.00023839730334099105
Real Wage Growth,Shock 4,16,-7.404659833680102e-6,-0.00021040424198974175,0.00019676831582432662
Real Wage Growth,Shock 4,17,-1.8253466704030473e-6,-0.0001672400564928398,0.00015045188867116632
Real Wage Growth,Shock 4,18,2.091542494972634e-6,-0.00013814808394403875,0.00012390921233725537
Real Wage Growth,Shock 4,19,1.7028377618836213e-6,-0.00010777969154215384,0.00010383574117046987
Real Wage Growth,Shock 4,20,-7.92820965281498e-7,-9.10551333073277e-5,9.134971946157858e-5
Real Wage Growth,Shock 5,0,5.762055150454709e-6,-0.005356452225647343,0.005319670602448713
Real Wage Growth,Shock 5,1,-0.00010071330567098091,-0.0021230825740615154,0.001954173120850789
Real Wage Growth,Shock 5,2,4.5057690588295254e-5,-0.0009490369543484129,0.0009417077770476375
Real Wage Growth,Shock 5,3,-2.204926301456029e-5,-0.0007237102299581526,0.0006749347535918679
Real Wage Growth,Shock 5,4,-2.3192744575304608e-5,-0.0005815588334694105,0.0005465156050672642
Real Wage Growth,Shock 5,5,-3.4701659833847577e-6,-0.0006033485338608355,0.0005198455197363088
Real Wage Growth,Shock 5,6,4.670674963959764e-6,-0.0005959094416200191,0.0005445868554414985
Real Wage Growth,Shock 5,7,-1.090928404817795e-5,-0.0004149416631778198,0.00038386176881336214
Real Wage Growth,Shock 5,8,-2.63389156845085e-5,-0.0005388860673785074,0.0005246153835165094
Real Wage Growth,Shock 5,9,-4.1570405857681484e-5,-0.00042794383849753125,0.00042194594863830036
Real Wage Growth,Shock 5,10,-2.9727496690793507e-5,-0.00044436757006595547,0.0004433181993226936
Real Wage Growth,Shock 5,11,-2.1438449420396975e-5,-0.0004269553787958234,0.00043092672904272277
Real Wage Growth,Shock 5,12,-2.1523566543278925e-5,-0.0003719346220020223,0.00038247798095975667
Real Wage Growth,Shock 5,13,-7.3874183965850465e-6,-0.00034003652561825513,0.0003466596060163348
Real Wage Growth,Shock 5,14,-4.0556902329354786e-6,-0.00028598966159769476,0.00029063867255022446
Real Wage Growth,Shock 5,15,3.3882528454654355e-6,-0.00024274431111319142,0.00024339035206575699
Real Wage Growth,Shock 5,16,6.221064199159606e-6,-0.00020516631136425424,0.0002049753674126884
Real Wage Growth,Shock 5,17,7.14207948063007e-6,-0.00016601045163495268,0.0001650146982076713
Real Wage Growth,Shock 5,18,6.756041221874951e-6,-0.00013647168818645432,0.0001362134391688542
Real Wage Growth,Shock 5,19,8.56446470531845e-6,-0.00011219156088724864,0.00011227053586192303
Real Wage Growth,Shock 5,20,9.78368305457962e-7,-9.34018126821062e-5,9.717257722563469e-5
Price Inflation,Markup Shock,0,-0.01037770912121375,-0.1292000821374591,0.12060352135751667
Price Inflation,Markup Shock,1,-0.01831419661770193,-0.16634369783922034,0.16244027797971342
Price Inflation,Markup Shock,2,-0.010638712068338631,-0.16654295984380219,0.1590601922821414
Price Inflation,Markup Shock,3,-0.009162406164227484,-0.1775016505942988,0.1675830088095172
Price Inflation,Markup Shock,4,-0.007895027990295601,-0.16323127863970954,0.15101319589487736
Price Inflation,Markup Shock,5,-0.0028187649552987824,-0.14905154393824643,0.14398262861006328
Price Inflation,Markup Shock,6,0.0030373048099426635,-0.14711999136389217,0.1384988466582141
Price Inflation,Markup Shock,7,0.0024748635165184425,-0.13735213217831976,0.1302242031486104
Price Inflation,Markup Shock,8,0.0009009817681644856,-0.12708427449486562,0.11714351841012102
Price Inflation,Markup Shock,9,0.003829973003399505,-0.11329753529151473,0.10701355274775
Price Inflation,Markup Shock,10,-0.0014234444404203736,-0.09942650575905444,0.0913455923616992
Price Inflation,Markup Shock,11,-0.0007649355148822645,-0.08686939870594387,0.0815101313176403
Price Inflation,Markup Shock,12,-6.760272334457472e-5,-0.07412508200178922,0.07107215666915112
Price Inflation,Markup Shock,13,-0.0020744498197466463,-0.06489511849719168,0.061897297664039626
Price Inflation,Markup Shock,14,-0.0013649323846935124,-0.05719209843198135,0.05417924476468402
Price Inflation,Markup Shock,15,0.0005743917814513644,-0.05203586122241428,0.04690521094438613
Price Inflation,Markup Shock,16,0.0005223163484103319,-0.044250319052643095,0.040419259584867355
Price Inflation,Markup Shock,17,0.0001106546225135527,-0.03876225266843055,0.03672431981703906
Price Inflation,Markup Shock,18,-0.0016805306410377211,-0.035002878976639604,0.034462234929477434
Price Inflation,Markup Shock,19,-0.0006365104129054785,-0.032046616521762425,0.03184705324414025
Price Inflation,Markup Shock,20,-0.000177852723048965,-0.028909426335740035,0.029974392480132672
Price Inflation,Shock 2,0,-0.0029208307216682487,-0.10040513933478692,0.09871238225343199
Price Inflation,Shock 2,1,0.00287719172058362,-0.12259255081741222,0.10764140617738463
Price Inflation,Shock 2,2,-0.006624037205434386,-0.12930423437349006,0.12261594926254774
Price Inflation,Shock 2,3,-0.009121875248464162,-0.15046862981013684,0.142381696113658
Price Inflation,Shock 2,4,-0.006365332688770798,-0.17266617174912427,0.16401936574284814
Price Inflation,Shock 2,5,-0.009841151101339925,-0.1631845145381285,0.16293482395208392
Price Inflation,Shock 2,6,-0.008626995655989678,-0.15933851557015605,0.1580108037813117
Price Inflation,Shock 2,7,-0.003249110685992697,-0.1479128074917938,0.1444976627306518
Price Inflation,Shock 2,8,-0.0007739225528950656,-0.13252447972807854,0.12688556164457793
Price Inflation,Shock 2,9,-0.0024849453174979317,-0.12146095882094393,0.11042504994593416
Price Inflation,Shock 2,10,-0.002442590824127217,-0.1041675417663568,0.09379888121072093
Price Inflation,Shock 2,11,-0.0003828266021642504,-0.09008445125612842,0.08264334450139585
Price Inflation,Shock 2,12,-2.776408064014882e-6,-0.07859650179872191,0.07476331324908025
Price Inflation,Shock 2,13,0.0001444213383806985,-0.06563124172626972,0.06364758181541508
Price Inflation,Shock 2,14,-0.001035536198249047,-0.0567729923453049,0.05570794129221572
Price Inflation,Shock 2,15,-0.0007787661718737289,-0.04919073160136736,0.047127168956676284
Price Inflation,Shock 2,16,-8.183654591236075e-5,-0.04194072605221806,0.041126891684809666
Price Inflation,Shock 2,17,0.00012054490601902097,-0.0354669580103113,0.0374482534724916
Price Inflation,Shock 2,18,0.0011323609875174409,-0.030678648619788217,0.03237071323346204
Price Inflation,Shock 2,19,0.0011805002548840016,-0.027767960884060434,0.028400302593585922
Price Inflation,Shock 2,20,0.000781663846243007,-0.025178819412171986,0.025534830426459494
Price Inflation,Shock 3,0,-0.00016175948959701932,-0.09808134492401532,0.10368914311281607
Price Inflation,Shock 3,1,0.0025961995233598793,-0.1192171944880178,0.1283173443059838
Price Inflation,Shock 3,2,0.0038930298880172198,-0.12470194122879139,0.13541229328519044
Price Inflation,Shock 3,3,0.002900937798078873,-0.14731868879454618,0.15655676366037666
Price Inflation,Shock 3,4,-0.0018244354695160386,-0.16138673564162248,0.15905297720428246
Price Inflation,Shock 3,5,-0.003964652979620632,-0.15531179406393758,0.15448623667543476
Price Inflation,Shock 3,6,-0.004201939936675144,-0.14959451702501164,0.15071233660198033
Price Inflation,Shock 3,7,-0.0027553851484153355,-0.14058900089138796,0.14061981047513672
Price Inflation,Shock 3,8,0.0002496039591640178,-0.1285073470531163,0.12706826840799543
Price Inflation,Shock 3,9,-0.0041386267792982104,-0.11544726880467486,0.11339720991747751
Price Inflation,Shock 3,10,-0.0049790742965523625,-0.09954745993489322,0.09515916403585574
Price Inflation,Shock 3,11,-0.005690787852104278,-0.08852444009372004,0.08372559370379182
Price Inflation,Shock 3,12,-0.0055594518176397476,-0.07587625459016858,0.07326456276673364
Price Inflation,Shock 3,13,-0.003945047950035608,-0.06552167804449884,0.06185567512539182
Price Inflation,Shock 3,14,-0.0030242796357509575,-0.056922580984324914,0.04948401017995642
Price Inflation,Shock 3,15,-0.0035569731380185087,-0.04922401362632941,0.04412897198251085
Price Inflation,Shock 3,16,-0.0022374596419189857,-0.04195347077410228,0.040726287112434555
Price Inflation,Shock 3,17,-0.0019509359554628829,-0.03690169690131222,0.03691353023574628
Price Inflation,Shock 3,18,-0.0013458229664438219,-0.034257359862714346,0.03393194135077039
Price Inflation,Shock 3,19,-0.0006714425521888937,-0.031133537026550154,0.030502682534819726
Price Inflation,Shock 3,20,-0.0005359001614499419,-0.02885632842662475,0.027443969252513876
Price Inflation,Shock 4,0,0.0017813423671695985,-0.1010190580167954,0.10533359129485342
Price Inflation,Shock 4,1,0.001522768097898915,-0.12481473351905972,0.12533384591998067
Price Inflation,Shock 4,2,-0.00027441013987573653,-0.13073900563122043,0.12630817648681114
Price Inflation,Shock 4,3,-0.00030855379292815915,-0.14839405368581338,0.14597891628543314
Price Inflation,Shock 4,4,-0.005183273192670471,-0.15370764946868623,0.15768872213000792
Price Inflation,Shock 4,5,-0.0068288235485202565,-0.14866399261599184,0.1521476587353309
Price Inflation,Shock 4,6,-0.006377991774499887,-0.1464631748334573,0.14932811135664983
Price Inflation,Shock 4,7,-0.00702256686006001,-0.14156523120486444,0.1408133113238086
Price Inflation,Shock 4,8,-0.004627733823996301,-0.12484972646332135,0.12369057159421176
Price Inflation,Shock 4,9,-0.00256623277793737,-0.11276541087501224,0.1096559642915492
Price Inflation,Shock 4,10,-0.0024408754949652935,-0.09417055485332233,0.09790876032768296
Price Inflation,Shock 4,11,-0.0020488611279124705,-0.0828410939659572,0.08501536733484391
Price Inflation,Shock 4,12,-0.002503508367970929,-0.07252423067135326,0.07382560139029638
Price Inflation,Shock 4,13,-0.000996323894104055,-0.0636208850775863,0.0660702355828963
Price Inflation,Shock 4,14,-0.0010288897381474428,-0.055906370700621384,0.05668017470689035
Price Inflation,Shock 4,15,0.0015951166071248865,-0.0491429845339786,0.051146848071696865
