response,shock,horizon,median,lower,upper
Productivity Growth,Markup Shock,0,-5.2259201834237815e-5,-0.0033700443602158177,0.0034956560222046177
Productivity Growth,Markup Shock,1,-1.3942871326389453e-5,-0.0015248674673874999,0.001623332011027828
Productivity Growth,Markup Shock,2,2.4309066109072705e-5,-0.0006264574162834772,0.0006797005961652247
Productivity Growth,Markup Shock,3,-5.120656916261927e-5,-0.000715125158238762,0.0006762914567972525
Productivity Growth,Markup Shock,4,-3.1021538358292e-5,-0.000616491790663492,0.0005447211622671301
Productivity Growth,Markup Shock,5,-2.9031402493227085e-6,-0.00040421686700766216,0.00038682198631035747
Productivity Growth,Markup Shock,6,-7.879375453894617e-6,-0.0003316144408608906,0.00034435937307618656
Productivity Growth,Markup Shock,7,-2.885476599244333e-6,-0.0004322667327295438,0.00044766772960110334
Productivity Growth,Markup Shock,8,8.326782133023442e-6,-0.000399190143440784,0.000413642251670851
Productivity Growth,Markup Shock,9,6.083406992787361e-6,-0.0004393482855896034,0.00044961422701846065
Productivity Growth,Markup Shock,10,1.2410009279908755e-5,-0.0004141150827850967,0.0004567761319430603
Productivity Growth,Markup Shock,11,5.919025865941892e-6,-0.0003948185835942904,0.0004339145340803099
Productivity Growth,Markup Shock,12,7.485099669540748e-6,-0.00037675617053656215,0.00040388420967442677
Productivity Growth,Markup Shock,13,-3.277138063651779e-6,-0.000341112386523758,0.0003570505206766948
Productivity Growth,Markup Shock,14,-3.0454500762809414e-6,-0.0003070987297198938,0.00031658023160525365
Productivity Growth,Markup Shock,15,-7.305143808170163e-6,-0.0002642870636504898,0.0002773797422040797
Productivity Growth,Markup Shock,16,-7.8384569607739e-6,-0.0002146922020259558,0.0002272200640427012
Productivity Growth,Markup Shock,17,-4.585437217066167e-6,-0.0001773951997193738,0.00018892422933230855
Productivity Growth,Markup Shock,18,-9.233172380944602e-7,-0.00014851745346957187,0.000155128174681875
Productivity Growth,Markup Shock,19,1.0977667370064773e-7,-0.00012277070661824256,0.00012618170754202842
Productivity Growth,Markup Shock,20,-2.2562392989563575e-6,-0.00010123264117111849,0.00010401652772407509
Productivity Growth,Shock 2,0,-1.0616380253457256e-5,-0.0034010708529464573,0.003582527142332467
Productivity Growth,Shock 2,1,2.5963803931179015e-5,-0.0011862444183556881,0.001060566007504074
Productivity Growth,Shock 2,2,2.3849640764339234e-5,-0.0006379175271615951,0.0006421822692790419
Productivity Growth,Shock 2,3,5.468617403589946e-5,-0.0007784124511865707,0.0008444917201171421
Productivity Growth,Shock 2,4,-2.6790256356264788e-5,-0.0005763887486657512,0.0006289132089375343
Productivity Growth,Shock 2,5,-7.257617391213564e-6,-0.0004196504896673923,0.0004239275447061532
Productivity Growth,Shock 2,6,5.385520079591384e-6,-0.0003322786708132011,0.0003481778435173028
Productivity Growth,Shock 2,7,2.9535611962978535e-6,-0.00045052604902725077,0.00042116205220854303
Productivity Growth,Shock 2,8,-8.276132750956945e-6,-0.0004094568523749469,0.0003956185161161421
Productivity Growth,Shock 2,9,-7.2670334360688585e-6,-0.00045535378399852005,0.00042943303319384856
Productivity Growth,Shock 2,10,-8.451629189303908e-6,-0.0004245837586920983,0.0004040756209742256
Productivity Growth,Shock 2,11,-1.6118700731712e-5,-0.00041913931598907823,0.0003903556061894649
Productivity Growth,Shock 2,12,-1.5251615532476887e-5,-0.0003814133597427697,0.000360234807548479
Productivity Growth,Shock 2,13,-1.1669694913034173e-5,-0.0003400909432420939,0.0003130337195650231
Productivity Growth,Shock 2,14,-1.1966288836530823e-5,-0.00029908934879245574,0.00027489167655319404
Productivity Growth,Shock 2,15,-9.230653098777609e-6,-0.00024923676403426214,0.00023781329904028152
Productivity Growth,Shock 2,16,-9.239482444449405e-6,-0.0002205361137974808,0.00020383135902512717
Productivity Growth,Shock 2,17,-1.1690025577750738e-5,-0.00018836633210030372,0.00017202787087371483
Productivity Growth,Shock 2,18,-1.3277088122882853e-5,-0.0001556500142621621,0.00014586830994234572
Productivity Growth,Shock 2,19,-9.910053799742759e-6,-0.00013306829723303592,0.0001287375188744127
Productivity Growth,Shock 2,20,-8.496573821626616e-6,-0.00011180256950293877,0.00011140987611416128
Productivity Growth,Shock 3,0,-5.1525570063755667e-5,-0.0036004274060180298,0.0036305095417006276
Productivity Growth,Shock 3,1,-0.000160072756352733,-0.0014131374453137707,0.0011237340730304206
Productivity Growth,Shock 3,2,3.076733802055052e-6,-0.0006193261956553499,0.000686597009170818
Productivity Growth,Shock 3,3,1.8354617556552333e-6,-0.000769961432179285,0.0007818740507621962
Productivity Growth,Shock 3,4,2.4525694566507905e-5,-0.0005891936042471729,0.0006435681267570367
Productivity Growth,Shock 3,5,2.795099377289914e-5,-0.0004071598141171647,0.000452689265469687
Productivity Growth,Shock 3,6,2.4351847526185427e-5,-0.00033195575309675096,0.00036624427391906977
Productivity Growth,Shock 3,7,3.119437633905877e-5,-0.0004172030775248818,0.0004619719621974625
Productivity Growth,Shock 3,8,4.2315214703900936e-5,-0.0003642960907110149,0.0004014857957685907
Productivity Growth,Shock 3,9,6.105108762209557e-5,-0.00039142408902234535,0.00046233864874110035
Productivity Growth,Shock 3,10,5.0849567723843265e-5,-0.00039223270761590316,0.0004440868945850166
Productivity Growth,Shock 3,11,3.936901747995716e-5,-0.00038591228541955667,0.00041849649615731974
Productivity Growth,Shock 3,12,3.7709448151641245e-5,-0.0003542265238886725,0.0003814009698233949
Productivity Growth,Shock 3,13,2.822364917745441e-5,-0.0003098761048833644,0.0003373870872776604
Productivity Growth,Shock 3,14,1.8224747521880953e-5,-0.00027063781393484834,0.0003107525311534117
Productivity Growth,Shock 3,15,2.0018267175066468e-5,-0.00022911143433484318,0.00026715259630208594
Productivity Growth,Shock 3,16,1.677514473392014e-5,-0.0002079098131409421,0.00022824626404302866
Productivity Growth,Shock 3,17,1.4087405624485822e-5,-0.00017017045799166695,0.00019450531680668007
Productivity Growth,Shock 3,18,5.793538130200028e-6,-0.00014169096294315935,0.00016343337860221367
Productivity Growth,Shock 3,19,2.973490370203005e-6,-0.00012018256320927292,0.0001418962887805144
Productivity Growth,Shock 3,20,-1.8722667859057863e-6,-0.00010444350319414892,0.0001161188228413774
Productivity Growth,Shock 4,0,-0.00028296389269418193,-0.0037101823923264363,0.00338762575701674
Productivity Growth,Shock 4,1,-1.3816292333203768e-6,-0.0012422892023763795,0.001302930011879296
Productivity Growth,Shock 4,2,-8.939740698053406e-6,-0.0006074064773109917,0.0006254878541312769
Productivity Growth,Shock 4,3,-5.219435792839567e-5,-0.0007282920814104513,0.0007445110805894314
Productivity Growth,Shock 4,4,3.57842867612488e-5,-0.0005927336802664109,0.0006301489919280812
Productivity Growth,Shock 4,5,1.9133618774146435e-5,-0.00040668747081554755,0.00043162358547740767
Productivity Growth,Shock 4,6,8.503283332762523e-6,-0.00034358918152316807,0.0003411201410264202
Productivity Growth,Shock 4,7,-1.884522629435931e-6,-0.0004252163646769212,0.00043734313192499754
Productivity Growth,Shock 4,8,-1.7651025928748532e-5,-0.0004138935625109575,0.00041280866543295534
Productivity Growth,Shock 4,9,-2.322162115870472e-5,-0.00045901353227993923,0.0004411374553032997
Productivity Growth,Shock 4,10,-1.9221709678026493e-5,-0.00042959500906015655,0.00041619883774490025
Productivity Growth,Shock 4,11,-2.488550474399585e-5,-0.00042053512798064386,0.00040925887356603187
Productivity Growth,Shock 4,12,-2.7722157760403573e-5,-0.000402831537457499,0.00038712847375224705
Productivity Growth,Shock 4,13,-2.4065575999837617e-5,-0.00036163762772302606,0.0003295213437921935
Productivity Growth,Shock 4,14,-1.2041902567863213e-5,-0.00031341154088256756,0.00029482424699954523
Productivity Growth,Shock 4,15,-8.062177469676535e-6,-0.00027201234893761613,0.0002568079306891056
Productivity Growth,Shock 4,16,-5.877330252446608e-6,-0.0002275843065934806,0.0002129870733250101
Productivity Growth,Shock 4,17,-4.4838849894636125e-6,-0.00019349619373405292,0.0001735137240606964
Productivity Growth,Shock 4,18,-1.052618299112947e-6,-0.00015947223220195953,0.00014426157504398698
Productivity Growth,Shock 4,19,-4.169123369503124e-8,-0.00013175355968580494,0.00011990047011667997
Productivity Growth,Shock 4,20,-1.0097143854027329e-6,-0.00010866228833588206,0.00010364433572915907
Productivity Growth,Shock 5,0,-9.999558649183053e-5,-0.0031079338246699124,0.003595066284712025
Productivity Growth,Shock 5,1,-4.095971677086693e-5,-0.001360999979633081,0.0013063154155769274
Productivity Growth,Shock 5,2,-4.9396591698125635e-5,-0.0006378385543993547,0.0005923355101306062
Productivity Growth,Shock 5,3,2.4954923713164598e-5,-0.0007591290198100661,0.0007854136327767716
Productivity Growth,Shock 5,4,-1.3430674113014588e-6,-0.0006052775782755414,0.0005901611754506747
Productivity Growth,Shock 5,5,-1.1971557080412874e-5,-0.000407829238347304,0.000385850253182014
Productivity Growth,Shock 5,6,-1.3426994384619817e-6,-0.00033933691736543457,0.0003064808246280344
Productivity Growth,Shock 5,7,-1.4481989402872955e-5,-0.0004288535011184228,0.0004089275359525058
Productivity Growth,Shock 5,8,-3.239475632705593e-5,-0.0003924868739069481,0.00038160868752898076
Productivity Growth,Shock 5,9,-3.497085101704958e-5,-0.00043603650478349045,0.0004377003408425822
Productivity Growth,Shock 5,10,-2.5385657462194823e-5,-0.00041608951676487234,0.00042847041477545175
Productivity Growth,Shock 5,11,-3.049568690802099e-5,-0.0004077948764741079,0.00042526942712874913
Productivity Growth,Shock 5,12,-1.3661466581529894e-5,-0.00038682255622590327,0.0003930629950237175
Productivity Growth,Shock 5,13,-8.820634740985514e-6,-0.00034059932965497684,0.0003529211128982391
Productivity Growth,Shock 5,14,-4.713238690239394e-6,-0.0003036013442940229,0.0003092686846906294
Productivity Growth,Shock 5,15,-2.38895519757503e-7,-0.00026287718545912127,0.00026547323515762353
Productivity Growth,Shock 5,16,1.6028132851484916e-6,-0.00022789737079248395,0.00022608206543433615
Productivity Growth,Shock 5,17,6.211191754788452e-6,-0.00019831504080944845,0.00018861239394814266
Productivity Growth,Shock 5,18,7.663658081408382e-6,-0.00015990735437519663,0.00016150502852740333
Productivity Growth,Shock 5,19,1.0932740138325506e-5,-0.0001334929126991092,0.00013550764156089974
Productivity Growth,Shock 5,20,7.742307622363563e-6,-0.00011049813693406883,0.00011059206913823611
Real Wage Growth,Markup Shock,0,6.808832710591884e-5,-0.005831570456895939,0.006297363339404104
Real Wage Growth,Markup Shock,1,1.73389378833122e-5,-0.0017639800707976772,0.0018839016287352075
Real Wage Growth,Markup Shock,2,2.1044845697108307e-5,-0.0010338821117958652,0.0009546336794317867
Real Wage Growth,Markup Shock,3,1.877102710159577e-5,-0.0006938668675624136,0.0007114763726807785
Real Wage Growth,Markup Shock,4,5.214889367715488e-6,-0.00043673510613435006,0.00041936576564708257
Real Wage Growth,Markup Shock,5,-8.876502835611857e-6,-0.0006098203953479904,0.000627853072162344
Real Wage Growth,Markup Shock,6,-3.0924717328730754e-6,-0.0006044747026342058,0.0006137441072160708
Real Wage Growth,Markup Shock,7,6.9238528831925486e-6,-0.0004183646013928363,0.00041864670721121776
