occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
2,Professional_specialty,23.111341388667427,37,0.958,5.119455760881469,12,0.958,10.735716972034096,13,0.652,32,-0.009552144430461377,0.004927028133276509,false,false,false,Not_significant
3,High_tech,114.8609140281826,37,0.0,35.32383420477066,12,0.0,47.0748735984084,13,0.0,35,-0.01491306952719405,0.005123260817601806,true,true,true,Persistent
4,Sales,124.78990122564863,37,0.0,28.354298850627536,12,0.004,53.98413118399332,13,0.0,32,-0.01626570005613261,0.006494915311408951,true,true,true,Persistent
5,Administrative_support,23.868358967801523,37,0.96,8.48620711007423,12,0.744,8.417749871755703,13,0.838,36,-0.007434613642277044,0.004119447870509118,false,false,false,Not_significant
6,Service,20.726195957999675,37,0.99,6.408889692575156,12,0.898,11.034448442371641,13,0.596,36,-0.00942145604549186,0.004715261570953243,false,false,false,Not_significant
7,Farming_forestry_construction,41.577204488621526,37,0.286,11.971678777840483,12,0.442,16.53375451595061,13,0.248,25,-0.01653402361431095,0.00610662869434832,false,false,false,Not_significant
8,Precision_production_repair,166.42444214023178,37,0.0,41.57291064256781,12,0.0,74.13464906462522,13,0.0,32,-0.01699432617143975,0.005227757020831796,true,true,true,Persistent
9,Machine_operators_transport,31.09274679483391,37,0.738,12.04560170243636,12,0.45,5.864080160091322,13,0.938,15,0.009372868379262302,0.00401218462336513,false,false,false,Not_significant
