horizon,group1_Managerial,group2_Professional_specialty,group3_High_tech,group4_Sales,group5_Administrative_support,group6_Service,group7_Farming_forestry_construction,group8_Precision_production_repair,group9_Machine_operators_transport
0,-5.933894561269682e-5,-0.001132271241691399,-0.0032816782783712853,-0.0011602678434877965,-0.0011529669125707135,0.0008008326279778758,-0.0012307634816363412,-0.0005221113407929738,-0.0013713262060756374
1,-0.0006808069123079095,-0.0010499455280023713,-0.0022235668828287946,-0.002573896702273403,-0.0012877038389212676,-0.0011544592202727933,-0.002078479714745493,-0.0018396573533897055,-0.0007922114878443362
2,0.00041771549117449765,-0.0007770980717840612,-0.0002385748239595432,-0.00358230953877924,-0.0006631361151043938,-0.0019505291209693176,-0.001263442676396726,-0.00025968085522800396,-0.00099519381013272
3,-0.00128364996213771,-0.002351999074045392,-0.0020101096125538006,-0.0016318454858756048,-0.000874974836953313,-0.000470390216691851,-0.005605353664408983,-0.0018277502961583274,-0.00034965447404818555
4,-0.0005058415804251008,0.000255855457926212,-0.00023773657564305647,0.00012165432239220295,-2.19850150524792e-5,3.7700810390231606e-5,-0.0008539337464739981,-7.913131622364141e-5,-0.0005075557740803459
5,-0.0005835696104056368,-0.0007657828422843815,-0.0005346979511370264,0.0007742589239903711,-0.0020067747119333255,0.00019807135527763977,-0.001713796132188647,-0.00184270862054474,-0.0005497276099253256
6,0.00016338838142891912,-0.0010556147301839698,0.0014355655026177978,-0.002556425410390036,-0.0004542831666121527,-0.0030618556600821197,-0.0025221627489310536,-0.0016817617214261403,-0.002705233186309477
7,-0.001847936255178235,-0.003288668010888702,-0.0008343630377753673,-0.004091803312928719,-0.0028276615888666134,-0.003065633829811195,-0.003413151553134176,-0.003231819246177617,-0.002056745923428028
8,0.0004735428828340215,-0.001700344393766548,0.00013144647606097383,-0.003619870085144201,-0.0026584329943924495,-0.005661927039905282,-0.002545600451235692,-0.002522026881778093,-0.0006656512421463135
9,-0.0009830993883042892,-0.003651330158183102,-0.0011046731461522837,-0.005366349608179895,-0.0011993559098415504,-0.0014174017762783352,-0.0024060362676382088,-0.0011718874999036189,-0.00046697861608299387
10,-1.3325460274711965e-5,-0.003335732337036048,-0.0003175024432843589,-0.0023786626346233167,-0.0020951868839210303,-7.838471970406957e-5,-0.002998235225625797,-0.0014907244841296523,0.00059000860923583
11,0.00018958773640054613,-0.0031999825242364516,-0.00031498673335555766,-0.0021798579070351587,-0.0014320064259400367,-0.0006369072265503345,-0.0037730633231757888,-0.0023382124897968486,-0.0005344862598870994
12,-0.00023467262516172637,-0.002720792463655166,-0.0002694123409697496,-0.002991625055298046,-0.00043424239984004995,-0.0013383166611435219,-0.0025482782790747947,-0.0018804101421325441,-0.0010014954492441254
13,-0.0008230051381781343,-0.0011123312970887987,-0.0005924397432453637,-0.0019570230627562785,-0.0007394401154178246,-0.0023253169188189723,-0.0042632998355177565,-0.0018726445395110967,-0.0010636600168053652
14,-0.00018009693219473788,-0.00011852094180123122,-0.0005798884127066636,-0.0023368935940005194,-0.0033502407171143245,-0.0038610918370254256,-0.002110404478325879,0.0013153670423538526,0.00048008340118625985
15,-0.0007811033969068875,0.0011209654084354621,-0.0014540692958811303,-0.002990320388791411,1.448762211668058e-5,-0.001722393677090646,-0.0027219630541543984,-0.0008501827608185707,-0.0011896706907139373
16,-2.3144152173807305e-5,-0.0006773822895854418,0.0006956229620570594,-0.002967926249161384,0.0007983066958121372,-0.0015508346775018373,-0.0004374107277070471,-0.0013538409858574903,-0.0007121300807964403
17,-0.0011774179009082157,0.0010892176585602829,0.002489292657456442,-0.0023077881422815475,-0.0007376734679637452,-0.000891435581662335,-0.0022086522487660557,-0.000744487109222814,-0.002897103825690544
18,-0.0008675436848719879,-0.0016370107232687914,-0.0017285412328126428,-0.0027240708625753574,-0.0007934647394808398,-0.002407689159045114,-0.006091712276859405,-0.0016722508681454081,-0.003501946184820781
19,-0.0011604492828498887,-0.002020186818545939,-0.001548090725064239,-0.001502707539085293,-0.003103114858338923,-0.00402511667797867,-0.00374765686120682,-0.00035608556912618245,-0.0027906262729320004
20,0.00029234896794426803,-0.0030781825417609643,-0.003828863149919995,-0.004564154959153242,-0.003883888665926189,-0.005777009448301185,-0.003995239110989516,-0.0033298675612836825,-0.0022002740446448433
21,-0.0018293990425899463,-0.0035632544928749853,-0.0037085652349941878,-0.004986721460906416,-0.0021352073990709565,-0.00483433434265513,-0.002887769421975095,-0.002710080926775743,-0.0019581440320905943
22,-0.00048467182011632565,-0.0021855191732237976,-0.0011288454704097915,-0.005342365654149052,-0.0017735066119570464,-0.0015849632234671558,-0.003044952647801456,-0.0003496248763129272,-1.0931296159590095e-5
