outcome,industry,occupation,horizon,beta,ci_lo90,ci_hi90,sig90
by_occupation,hours,Farming/forestry/construction,15,-0.004194184298322666,-0.008555984082123666,0.0005992844067140837,false
by_occupation,hours,Farming/forestry/construction,16,0.0031735926387687395,-0.0016678505648613975,0.007982777903982385,false
by_occupation,hours,Farming/forestry/construction,16,-0.0016967720325050254,-0.005301143339982327,0.00032362062990390155,false
by_occupation,hours,Farming/forestry/construction,16,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,16,0.0003691725983552084,-0.003558101872881519,0.004993454849893705,false
by_occupation,hours,Farming/forestry/construction,17,-0.005004781688640533,-0.009938946317108392,-0.0002100606150146761,true
by_occupation,hours,Farming/forestry/construction,17,-0.0016894904893573698,-0.005196638323882728,0.0005864943020740202,false
by_occupation,hours,Farming/forestry/construction,17,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,17,-0.0027203346448829552,-0.006866431556527197,0.0011586462637318573,false
by_occupation,hours,Farming/forestry/construction,18,-0.002309491529985517,-0.007019166737541155,0.0028622657196590846,false
by_occupation,hours,Farming/forestry/construction,18,-0.0057449377838563786,-0.009627422334337127,-0.003475749345254336,true
by_occupation,hours,Farming/forestry/construction,18,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,18,-0.006279109296827829,-0.010222811757734422,-0.0025968789383419154,true
by_occupation,hours,Farming/forestry/construction,19,0.003005081239383944,-0.002451832313161366,0.008981528898201396,false
by_occupation,hours,Farming/forestry/construction,19,-0.003461690676534983,-0.006198761419152597,-0.0014358779395129118,true
by_occupation,hours,Farming/forestry/construction,19,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,19,-0.005472722985496534,-0.00928832007572415,-0.0018946736520938355,true
by_occupation,hours,Farming/forestry/construction,20,0.0019575862695150265,-0.0028134584963977376,0.0064528252450083,false
by_occupation,hours,Farming/forestry/construction,20,-0.003213646791554305,-0.005169263685151667,-0.0011436083364242833,true
by_occupation,hours,Farming/forestry/construction,20,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,20,-0.008712638632424543,-0.012521429321833987,-0.005487814504602809,true
by_occupation,hours,Farming/forestry/construction,21,0.005191767204110947,9.279309182149559e-5,0.010914076149975492,true
by_occupation,hours,Farming/forestry/construction,21,-0.0030561555776433954,-0.005827455015059412,-0.0009905272040023447,true
by_occupation,hours,Farming/forestry/construction,21,NaN,NaN,NaN,false
by_occupation,hours,Farming/forestry/construction,21,-0.00537004515902441,-0.010187100585491183,-0.0016824596954820295,true
