outcome,industry,occupation,n_obs,n_horizons,cum_irf,abs_cum_irf,peak_abs,peak_horizon,peak_share,mean_abs_beta,median_abs_beta,sign_switch_count,sig_count90,sig_share90,consecutive_sig90_max,sig_count68,sig_share68,mean_ci_width90,max_ci_width90,candidate_score,score_cutoff,candidate_type,robust_candidate
by_occupation,hourly rate,High tech,,132,3.307823403372193,5.757404214537599,2.418189216898748,2,0.4200137990646472,0.04361669859498182,0.005866862273729916,55,43,0.32575757575757575,6,68,0.5151515151515151,0.11758913730187483,6.284918087449506,0.8583333333333334,0.7229166666666667,Strong Net Effect,true
by_occupation,median,High tech,,132,3.737527400083263,6.088930655845332,2.0494819965275424,2,0.33659144969241084,0.04612826254428278,0.00638098868655995,61,38,0.2878787878787879,6,65,0.49242424242424243,0.12169782007046355,8.161854642601833,0.8416666666666666,0.7229166666666667,Strong Net Effect,true
by_occupation,income,High tech,,132,3.069390479253437,5.699335906313161,2.6906298532036526,2,0.4720953278474495,0.04317678716903912,0.0068317303421512095,59,41,0.3106060606060606,6,68,0.5151515151515151,0.18156513870860708,8.749348069305706,0.8409722222222222,0.7229166666666667,Strong Net Effect,true
by_occupation,inequality,High tech,,132,3.0835090874231206,7.976216834099768,3.2506878055607875,2,0.4075475721351393,0.06042588510681641,0.007587772046224302,53,31,0.23484848484848486,6,57,0.4318181818181818,0.18679332086752148,5.61520843076163,0.8194444444444444,0.7229166666666667,Strong Net Effect,true
by_occupation,employment,Sales,,148,-0.6806010346789491,1.050447936090316,0.03615137550252535,5,0.034415199707162926,0.007097621189799434,0.006240849740639853,30,66,0.44594594594594594,34,87,0.5878378378378378,0.01973401971581698,0.055537649918286774,0.7736111111111111,0.7229166666666667,Strong Net Effect,true
by_occupation,employment,Farming/forestry/construction,,148,-1.4200648134071594,3.071101016238711,0.14356302512728217,16,0.0467464353559783,0.020750682542153457,0.008527327896202912,21,28,0.1891891891891892,4,66,0.44594594594594594,0.07806334716859398,0.5371040307524629,0.7555555555555556,0.7229166666666667,Strong Net Effect,true
by_occupation,income,Sales,,148,-0.5014558559280908,1.3420924721729475,0.03884737320360259,21,0.028945377467698485,0.009068192379546942,0.006853272259054623,41,51,0.34459459459459457,10,81,0.5472972972972973,0.023746963765291274,0.0690503204740632,0.7555555555555556,0.7229166666666667,Strong Net Effect,true
by_occupation,hourly rate,Service,,148,0.46525972969184576,1.614875123712839,0.05868107539645266,24,0.036337840948058024,0.010911318403465129,0.0037613997235377197,69,40,0.2702702702702703,4,69,0.46621621621621623,0.033388196157413355,0.10285672648053903,0.7340277777777777,0.7229166666666667,Strong Net Effect,true
by_occupation,inequality,Service,,148,0.5975743070536083,2.433325241616634,0.08507098176896002,23,0.0349607936966294,0.01644138676767996,0.007785111066588428,63,28,0.1891891891891892,3,69,0.46621621621621623,0.055650390074533866,0.17245503780322408,0.7243055555555555,0.7229166666666667,Strong Net Effect,true
employment,Trade,Farming/forestry/construction,,37,-1.7331477223553704,2.2318645145174294,0.14356302512728217,16,0.06432425633073124,0.06032066255452512,0.0598141457246392,6,8,0.21621621621621623,4,15,0.40540540540540543,0.23988583824569945,0.5371040307524629,0.9216666666666666,0.7908333333333334,Strong Net Effect,true
