outcome,industry,occupation,n_obs,n_horizons,cum_irf,abs_cum_irf,peak_abs,peak_horizon,peak_share,mean_abs_beta,median_abs_beta,sign_switch_count,sig_count90,sig_share90,consecutive_sig90_max,sig_count68,sig_share68,mean_ci_width90,max_ci_width90,candidate_score,score_cutoff,candidate_type,robust_candidate
employment,Trade,Farming forestry construction,,25,-0.9533222985292266,1.4519242493641644,0.14356302512728217,16,0.09887776527608252,0.05807696997456658,0.05949407413318597,4,6,0.24,4,10,0.4,0.22067472987019043,0.3704189414042287,0.9319444444444444,0.7555555555555555,Strong Net Effect,true
employment,Manufacturing Construction,Service,,25,0.3086392899206946,0.34522851330071924,0.03494540165986226,2,0.10122397285713844,0.013809140532028768,0.015374480155419807,5,5,0.2,2,12,0.48,0.049630816434974356,0.0742558035336037,0.8805555555555556,0.7555555555555555,Strong Net Effect,true
employment,Energy intensive,Farming forestry construction,,25,0.24228644236033556,0.2573639029561921,0.02399394674588417,14,0.09322965058533622,0.010294556118247686,0.009644723221609823,3,9,0.36,3,19,0.76,0.023259509532873358,0.028794608717316917,0.875,0.7555555555555555,Strong Net Effect,true
employment,Trade,High tech,,25,-0.8239520347290217,2.0174391560552425,0.23531726119162724,12,0.1166415653653466,0.08069756624220968,0.08930907070869154,4,2,0.08,2,9,0.36,0.4789176138943175,0.8000193162465996,0.8694444444444444,0.7555555555555555,Strong Net Effect,false
employment,Services,Sales,,25,-0.234186026564176,0.234186026564176,0.014513439523388965,24,0.06197397742436064,0.009367441062567042,0.009401333243501543,0,24,0.96,22,25,1.0,0.011127427568373873,0.015161285793191634,0.8583333333333333,0.7555555555555555,Strong Net Effect,true
employment,Energy intensive,Service,,25,-0.1824501119770506,0.3348158102577719,0.031095372502725278,7,0.0928730709544009,0.013392632410310877,0.014655964167705966,3,5,0.2,2,14,0.56,0.045309962164278794,0.06269969135046013,0.8375,0.7555555555555555,Strong Net Effect,true
employment,Manufacturing Construction,Precision production repair,,25,-0.1689427589506998,0.1689427589506998,0.015034075371490327,9,0.0889891668921869,0.006757710358027992,0.00602333119764046,0,11,0.44,5,18,0.72,0.012122849251351063,0.016420744428241138,0.7902777777777777,0.7555555555555555,Strong Net Effect,true
employment,Manufacturing Construction,Machine operators transport,,25,-0.1666119670776076,0.16806633911761473,0.013882949917184405,21,0.08260398834218052,0.006722653564704591,0.00686441920074266,2,11,0.44,6,18,0.72,0.014142431522544243,0.01961137938052092,0.7555555555555555,0.7555555555555555,Strong Net Effect,true
employment,Manufacturing Construction,High tech,,25,0.12508123005116106,0.16940116016097523,0.016720989197093358,6,0.09870646211161754,0.006776046406439008,0.0050058902956562285,1,7,0.28,3,13,0.52,0.02246616855534295,0.030638664297972712,0.7319444444444444,0.7555555555555555,Other,false
employment,Energy intensive,High tech,,25,-0.11393288546594815,0.21986440758593334,0.026121452114223308,11,0.11880709752447684,0.008794576303437334,0.007222380415334741,9,5,0.2,3,9,0.36,0.030956028781344763,0.03779082640448676,0.7291666666666667,0.7555555555555555,Strong Dynamic Movement,false
employment,Energy intensive,Machine operators transport,,25,-0.12973306476675406,0.1369195342107944,0.013202784320481989,22,0.09642732424254125,0.0054767813684317755,0.005264002110851572,2,11,0.44,4,17,0.68,0.013039090951727717,0.016247851775492747,0.7041666666666666,0.7555555555555555,Persistent Significant Response,false
employment,Trade,Machine operators transport,,25,-0.12606576214819243,0.15206489099898118,0.011111529563670683,13,0.07307097312649985,0.006082595639959246,0.006709330049753011,2,10,0.4,6,18,0.72,0.01572213780507215,0.020455417330139565,0.6722222222222222,0.7555555555555555,Persistent Significant Response,false
employment,Trade,Sales,,25,-0.11828697564587398,0.118481149626977,0.01250182563475589,24,0.10551742343922485,0.00473924598507908,0.0049519513193369965,2,14,0.56,6,18,0.72,0.008999613500459889,0.012413831794817568,0.6125,0.7555555555555555,Persistent Significant Response,false
employment,Services,Managerial,,25,-0.12618055082665738,0.12618055082665738,0.008723931715083557,20,0.06913848178605753,0.005047222033066295,0.004747064858544169,0,13,0.52,7,22,0.88,0.01030469739392063,0.014757333710904978,0.6013888888888888,0.7555555555555555,Persistent Significant Response,false
employment,Manufacturing Construction,Professional specialty,,25,-0.08293789708978479,0.12439193114674775,0.01611563369876994,21,0.1295552979216794,0.004975677245869911,0.004113669958782114,6,6,0.24,2,15,0.6,0.01304336731039944,0.018169163778664635,0.6,0.7555555555555555,Other,false
employment,Energy intensive,Sales,,25,-0.03125180760990389,0.21153105294140181,0.03615137550252535,5,0.17090339692366574,0.008461242117656073,0.006463170893816995,7,4,0.16,3,9,0.36,0.03382588471633687,0.044844525877580796,0.5611111111111111,0.7555555555555555,Strong Dynamic Movement,false
employment,Manufacturing Construction,Managerial,,25,-0.11066997865724705,0.13363465848716988,0.010292540252587504,23,0.07701999143864074,0.005345386339486795,0.005668396233432234,2,5,0.2,3,17,0.68,0.01420096270229243,0.01864193529903781,0.5555555555555557,0.7555555555555555,Other,false
employment,Trade,Service,,25,-0.07292259895492693,0.11039270936877897,0.010588017787256541,2,0.09591229210514352,0.004415708374751159,0.004013072819970505,4,8,0.32,4,14,0.56,0.01387820293091455,0.02308170872243632,0.5166666666666667,0.7555555555555555,Other,false
employment,Trade,Professional specialty,,25,-0.0334953405401676,0.1412287891651931,0.013947980348376444,18,0.0987615940830712,0.005649151566607725,0.0058486882911822574,9,5,0.2,3,13,0.52,0.01789998627974759,0.02354843102605013,0.4958333333333333,0.7555555555555555,Other,false
