outcome,industry,occupation,n_obs,n_horizons,cum_irf,abs_cum_irf,peak_abs,peak_horizon,peak_share,mean_abs_beta,median_abs_beta,sign_switch_count,sig_count90,sig_share90,consecutive_sig90_max,sig_count68,sig_share68,mean_ci_width90,max_ci_width90,candidate_score,score_cutoff,candidate_type,robust_candidate
employment,Services,Machine operators transport,,25,-0.042735885012339124,0.11324994626850965,0.012722262420251705,23,0.11233791131421725,0.004529997850740387,0.004362805037114941,5,7,0.28,2,13,0.52,0.014144799019670164,0.02049856436407733,0.45555555555555555,0.7555555555555555,Other,false
employment,Services,Farming forestry construction,,25,0.0015549314339587375,0.18523428749755344,0.018501432841844665,19,0.09988125358319005,0.007409371499902137,0.008372102393699881,4,3,0.12,1,10,0.4,0.028244651837777704,0.04434646170373614,0.45,0.7555555555555555,Sharp Peak Response,false
employment,Manufacturing Construction,Administrative support,,25,0.03544556384369521,0.12619398490394548,0.01023259193837441,6,0.08108620982341676,0.005047759396157819,0.00482954205435057,3,7,0.28,2,14,0.56,0.014019966994725328,0.019945175989383133,0.4444444444444445,0.7555555555555555,Other,false
employment,Trade,Managerial,,25,-0.06811419513502996,0.09517830592208291,0.009238162416068818,24,0.09706163948359806,0.003807132236883317,0.002679810650637983,8,8,0.32,3,10,0.4,0.013454242740399292,0.01899049443907011,0.44305555555555554,0.7555555555555555,Other,false
employment,Trade,Precision production repair,,25,-0.05555951010703247,0.08548291303302327,0.013482604765729978,3,0.15772280432840952,0.003419316521320931,0.001974907973139363,6,4,0.16,2,8,0.32,0.013560838475080045,0.017412598048327562,0.3916666666666667,0.7555555555555555,Other,false
employment,Energy intensive,Professional specialty,,25,0.013482368547419592,0.12043947365527027,0.013675979014336837,5,0.11355063750511828,0.004817578946210811,0.004227860456454076,3,3,0.12,1,8,0.32,0.01799840169620653,0.023409238986491526,0.3388888888888889,0.7555555555555555,Other,false
employment,Manufacturing Construction,Farming forestry construction,,25,-0.04382951500742581,0.10087335622896204,0.009813149311677193,20,0.09728187579486634,0.0040349342491584825,0.0038871807890025973,2,2,0.08,1,7,0.28,0.017259137028337042,0.023675858280424684,0.31666666666666665,0.7555555555555555,Other,false
employment,Energy intensive,Managerial,,25,-0.06315318604926598,0.09016990846447485,0.007151742881217027,15,0.07931407498361465,0.0036067963385789954,0.003341210923606833,4,2,0.08,2,10,0.4,0.014113001365757707,0.01813849506906027,0.30694444444444446,0.7555555555555555,Other,false
employment,Energy intensive,Precision production repair,,25,-0.015114482834277448,0.10505222405432801,0.009834983346368613,19,0.09361994412686044,0.00420208896217312,0.003962715604368402,5,4,0.16,2,9,0.36,0.01890955889972704,0.021951971234898643,0.27638888888888885,0.7555555555555555,Other,false
employment,Trade,Administrative support,,25,0.04399507629941317,0.07640298814608663,0.009657010006839809,6,0.1263957109684648,0.003056119525843466,0.0038755733222349256,4,1,0.04,1,11,0.44,0.01514968886456724,0.019490964821234677,0.2583333333333333,0.7555555555555555,Other,false
employment,Services,High tech,,25,0.0626085758000628,0.06639819744507029,0.006626093431913687,7,0.09979327281279439,0.002655927897802812,0.0026649341281941782,3,3,0.12,2,9,0.36,0.010099462771674643,0.013227684246619926,0.24305555555555552,0.7555555555555555,Other,false
employment,Manufacturing Construction,Sales,,25,0.01761180378101734,0.09447208997751204,0.010273025236699566,4,0.10874137789420069,0.003778883599100482,0.002783366147537892,9,2,0.08,1,7,0.28,0.018093324980840687,0.02297456292806012,0.2388888888888889,0.7555555555555555,Other,false
employment,Energy intensive,Administrative support,,25,-0.06281159996364725,0.07066404600721549,0.0061144825205261925,18,0.08652890495262391,0.0028265618402886195,0.0024171350562531453,4,0,0.0,0,8,0.32,0.014441347613260016,0.019885348349598216,0.23055555555555554,0.7555555555555555,Other,false
employment,Services,Administrative support,,25,-0.04179554041401363,0.06102514620536927,0.007979761385751466,24,0.13076185608629268,0.0024410058482147714,0.0016444950703219054,8,4,0.16,4,9,0.36,0.009331499019132262,0.013974433574081952,0.21944444444444444,0.7555555555555555,Other,false
employment,Services,Service,,25,-0.017624045293328925,0.06851089289213941,0.006913169048602499,20,0.10090612976663862,0.002740435715685576,0.002960003046846016,8,6,0.24,3,12,0.48,0.009463061662625161,0.012551120774974342,0.21805555555555556,0.7555555555555555,Other,false
employment,Services,Precision production repair,,25,0.0330708020875374,0.06843978444044395,0.008983901044654043,2,0.1312672317440129,0.002737591377617758,0.002877666722910511,11,2,0.08,1,8,0.32,0.011682864155091201,0.014762019717939355,0.18472222222222223,0.7555555555555555,Other,false
employment,Services,Professional specialty,,25,0.013420476848244389,0.051690091273311846,0.00559205926529018,2,0.10818435656695041,0.002067603650932474,0.0015390301193527896,5,3,0.12,2,10,0.4,0.00930235407882906,0.012910259644281878,0.07916666666666666,0.7555555555555555,Other,false
hourly_rate,Trade,High tech,,18,3.0690793322411896,4.6073280222131805,2.418189216898748,2,0.5248571851711015,0.2559626679007323,0.09821998022016083,7,12,0.6666666666666666,5,13,0.7222222222222222,0.7156996114819179,6.284918087449506,0.9722222222222221,0.7694444444444445,Strong Net Effect,false
hourly_rate,Energy intensive,High tech,,25,0.1709162023912823,0.40825454326491256,0.0482442805275529,12,0.11817206035658893,0.016330181730596506,0.014196742176009731,10,7,0.28,1,13,0.52,0.04486627372912275,0.05848810196629536,0.8902777777777777,0.7694444444444445,Strong Net Effect,true
hourly_rate,Energy intensive,Service,,25,0.23332782072996266,0.4464393973380179,0.05868107539645266,24,0.13144242140445048,0.01785757589352072,0.013692190478410676,10,6,0.24,2,10,0.4,0.05695194583499763,0.09866637252111524,0.8819444444444444,0.7694444444444445,Strong Net Effect,true
hourly_rate,Manufacturing Construction,Service,,25,0.06720445702115549,0.5190767123605675,0.05059315709313215,20,0.09746759176125108,0.0207630684944227,0.0205081626040151,15,7,0.28,3,14,0.56,0.06299638928317393,0.10285672648053903,0.8638888888888889,0.7694444444444445,Strong Net Effect,true
hourly_rate,Trade,Farming forestry construction,,25,NaN,NaN,NaN,0,NaN,NaN,NaN,24,0,0.0,0,0,0.0,NaN,NaN,0.8541666666666665,0.7694444444444445,Sharp Peak Response,false
hourly_rate,Trade,Precision production repair,,25,-0.10845444068537251,0.13775199286444256,0.012746067503173671,13,0.09252909695264212,0.005510079714577703,0.005648640580589405,7,13,0.52,4,17,0.68,0.011532170914652622,0.01485197963720727,0.8194444444444443,0.7694444444444445,Strong Net Effect,true
hourly_rate,Services,Precision production repair,,25,-0.09252211652788124,0.12322589516485473,0.012882884890816428,0,0.10454689636120215,0.004929035806594188,0.004330275100219999,7,9,0.36,3,12,0.48,0.011242208869192374,0.014605965871213858,0.7902777777777776,0.7694444444444445,Strong Net Effect,true
hourly_rate,Energy intensive,Sales,,25,-0.04288524961133228,0.32847330063207236,0.04387080704793016,2,0.13355973518551048,0.013138932025282896,0.012891339531893949,9,7,0.28,2,15,0.6,0.03762340880829263,0.048933092699158715,0.7694444444444445,0.7694444444444445,Strong Net Effect,true
hourly_rate,Manufacturing Construction,High tech,,25,-0.08449312938459008,0.12212011309797288,0.015188325589217889,13,0.1243720236078786,0.004884804523918916,0.004876926436554875,11,7,0.28,3,12,0.48,0.0160700823973725,0.019152134814004254,0.7611111111111112,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Trade,Professional specialty,,25,-0.05107959056164551,0.16964784468668437,0.017659346053047222,16,0.1040941373918516,0.0067859137874673745,0.004881619039756237,11,7,0.28,3,13,0.52,0.021177838944556725,0.03293787289106982,0.7611111111111111,0.7694444444444445,Strong Dynamic Movement,false
hourly_rate,Energy intensive,Farming forestry construction,,25,-0.08254050431424008,0.13978520556124518,0.015372345709632128,24,0.10997119221530867,0.005591408222449808,0.004827302626638268,13,6,0.24,1,9,0.36,0.01831294418298461,0.02211716540817364,0.7527777777777778,0.7694444444444445,Other,false
hourly_rate,Energy intensive,Precision production repair,,25,-0.052118496696387434,0.09941756284466723,0.012690457297051792,3,0.12764804259866755,0.003976702513786689,0.0036980696886597165,9,9,0.36,3,13,0.52,0.011250366260978605,0.01643513502507961,0.6958333333333333,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Manufacturing Construction,Sales,,25,0.033203687760123765,0.19804537048191562,0.018877968283094564,15,0.09532143183734958,0.007921814819276623,0.006718148024476829,6,6,0.24,2,15,0.6,0.019855751087313897,0.029785151653983825,0.6694444444444444,0.7694444444444445,Strong Dynamic Movement,false
hourly_rate,Energy intensive,Managerial,,25,0.040931104797383835,0.12650854647546003,0.016122106577604677,23,0.12743887292019454,0.005060341859018401,0.004430398038910866,12,6,0.24,2,15,0.6,0.013005864966748049,0.017201457102907356,0.6638888888888889,0.7694444444444445,Other,false
hourly_rate,Energy intensive,Machine operators transport,,25,0.04705810585096777,0.09350274272790504,0.011486442250039605,14,0.12284604616856422,0.003740109709116202,0.0034408129410940878,10,9,0.36,5,15,0.6,0.008830632710682984,0.01094016777754379,0.6624999999999999,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Energy intensive,Administrative support,,25,0.061366659998460873,0.07119691111597351,0.01122587787991465,24,0.1576736645446413,0.0028478764446389403,0.0023929172002286453,8,4,0.16,1,10,0.4,0.010221535667197473,0.012993733574815232,0.5152777777777777,0.7694444444444445,Other,false
hourly_rate,Trade,Sales,,25,-0.05815727160501648,0.06748501975052718,0.007440501756220097,23,0.11025412430381594,0.002699400790021087,0.002107234942475097,5,8,0.32,3,13,0.52,0.006536260645001868,0.008452337719342765,0.5125000000000001,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Manufacturing Construction,Farming forestry construction,,25,0.03510080269419139,0.0798372204158644,0.008699864726248688,3,0.10897003529095739,0.003193488816634576,0.00303934474310629,9,6,0.24,2,13,0.52,0.009618993783051732,0.011819610814230568,0.4819444444444445,0.7694444444444445,Other,false
hourly_rate,Services,Sales,,25,0.025714984435977375,0.09257869817883616,0.010395271266875387,18,0.11228577924907338,0.0037031479271534464,0.0031304304587724627,12,6,0.24,2,11,0.44,0.011987064360937301,0.014990482562941127,0.4722222222222222,0.7694444444444445,Other,false
hourly_rate,Services,Machine operators transport,,25,-0.003453005010179941,0.10813042435130005,0.011244529065574488,16,0.10399042760659706,0.004325216974052001,0.004079003855377203,11,7,0.28,2,13,0.52,0.012817506581835053,0.01674303392793744,0.4625,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Services,High tech,,25,0.034745975380599245,0.08345139363135894,0.007293122955164946,13,0.0873936627994715,0.0033380557452543573,0.003424778828123923,11,6,0.24,2,17,0.68,0.0095204390760283,0.01234003832042765,0.44722222222222224,0.7694444444444445,Other,false
hourly_rate,Services,Farming forestry construction,,25,-0.03197224234641607,0.08948795295580649,0.009566917657133866,14,0.10690732485364232,0.003579518118232259,0.003231772266322172,10,4,0.16,2,9,0.36,0.012488836647971886,0.01630818126433068,0.43472222222222223,0.7694444444444445,Other,false
hourly_rate,Manufacturing Construction,Administrative support,,25,-0.0117898454909885,0.08383409583523374,0.008578419332534523,2,0.10232613887068595,0.0033533638334093496,0.002665557682251178,16,7,0.28,2,12,0.48,0.009775149423527436,0.013076091091266711,0.41388888888888886,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Energy intensive,Professional specialty,,25,-0.021096862205147407,0.09292599653570154,0.010111757688236404,5,0.10881516545643431,0.0037170398614280627,0.003380985496028882,11,3,0.12,1,7,0.28,0.017544427222643304,0.0240854985052587,0.39722222222222225,0.7694444444444445,Other,false
hourly_rate,Manufacturing Construction,Precision production repair,,25,-0.03426527336985613,0.06220422586120011,0.008478696259333656,12,0.13630418419244797,0.002488169034448005,0.0025779780351225965,10,4,0.16,2,13,0.52,0.008029885778219448,0.009936289589314076,0.35555555555555557,0.7694444444444445,Other,false
hourly_rate,Trade,Service,,25,-0.020413180982590158,0.06391936843914074,0.007883719415174462,7,0.12333850611619782,0.0025567747375656296,0.002219236825732644,11,7,0.28,3,12,0.48,0.00768459234177356,0.009820425287918766,0.35,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Services,Service,,25,0.0330587741413924,0.04413209557437912,0.005201442878037572,7,0.11786077253619628,0.0017652838229751644,0.0015397198389390482,6,7,0.28,4,10,0.4,0.0054410404186549695,0.006624710143744857,0.34444444444444444,0.7694444444444445,Persistent Significant Response,false
hourly_rate,Trade,Managerial,,25,-0.0023088020321398676,0.0865380652734099,0.010730921831385251,0,0.1240023311993605,0.003461522610936396,0.0027093077239179124,7,5,0.2,2,10,0.4,0.011815205994987674,0.01628772426888079,0.325,0.7694444444444445,Other,false
hourly_rate,Manufacturing Construction,Managerial,,25,0.016160153647791987,0.0718933144381948,0.0079029141999422,3,0.10992557877876354,0.002875732577527792,0.0025964950330607268,11,4,0.16,1,11,0.44,0.008873708564925588,0.01158858223239634,0.30416666666666664,0.7694444444444445,Other,false
hourly_rate,Trade,Machine operators transport,,25,0.006688839876603698,0.07288192320938011,0.00690167764224154,21,0.09469670033835323,0.0029152769283752045,0.0029873826582926012,10,5,0.2,2,13,0.52,0.009114737863886469,0.012834909661309393,0.2791666666666667,0.7694444444444445,Other,false
hourly_rate,Manufacturing Construction,Professional specialty,,25,0.022435118190587,0.07026025912411604,0.006871112834865867,3,0.09779515362628993,0.0028104103649646416,0.0027600037673411594,10,2,0.08,1,10,0.4,0.010267711817915946,0.014241110489546233,0.25555555555555554,0.7694444444444445,Other,false
hourly_rate,Services,Administrative support,,25,0.026663495900080915,0.038402395900068935,0.003305095135862539,16,0.08606481596781325,0.0015360958360027572,0.001334358624759049,12,1,0.04,1,8,0.32,0.006848816016336371,0.00965079267943835,0.16666666666666666,0.7694444444444445,Other,false
hourly_rate,Services,Managerial,,25,-0.006022578743845481,0.04301799824584334,0.005418500552955221,20,0.1259589189154981,0.001720719929833734,0.0013913435902391468,12,3,0.12,1,7,0.28,0.006738569908181511,0.008284784029813898,0.1486111111111111,0.7694444444444445,Other,false
hourly_rate,Trade,Administrative support,,25,0.000866692933391964,0.05968975623659076,0.006763804936548662,18,0.11331600869233142,0.0023875902494636305,0.0019685893418690346,16,4,0.16,1,9,0.36,0.009272216598979406,0.012944538563822527,0.14305555555555555,0.7694444444444445,Other,false
hourly_rate,Services,Professional specialty,,25,-0.004465343375369298,0.04189257423432407,0.0036291424407235515,4,0.08662973109325105,0.0016757029693729628,0.0014143830589527873,10,2,0.08,1,11,0.44,0.006788361373192031,0.008187936138647291,0.10138888888888889,0.7694444444444445,Other,false
hourly_rate,Manufacturing Construction,Machine operators transport,,25,0.004333906054879018,0.036818783254028584,0.004790460724859284,7,0.13010915357544112,0.0014727513301611434,0.0011118082434391655,11,3,0.12,2,6,0.24,0.006973324764052621,0.009991297474602319,0.09305555555555556,0.7694444444444445,Other,false
hours,Trade,High tech,,18,-0.1543848775987102,1.2986213346215938,0.24876946351253929,16,0.1915642819660193,0.07214562970119964,0.047893715462587125,9,10,0.5555555555555556,3,11,0.6111111111111112,0.5133691557714681,3.512829319939843,0.9472222222222222,0.7541666666666667,Strong Net Effect,true
hours,Services,Farming forestry construction,,25,-0.11238124422743967,0.11409918228316593,0.009270260018895922,13,0.08124738349035168,0.004563967291326637,0.004342133814874648,4,14,0.56,4,20,0.8,0.007832532135584262,0.00983945873261619,0.8736111111111111,0.7541666666666667,Strong Net Effect,true
hours,Trade,Farming forestry construction,,25,NaN,NaN,NaN,0,NaN,NaN,NaN,24,0,0.0,0,0,0.0,NaN,NaN,0.8541666666666665,0.7541666666666667,Sharp Peak Response,false
hours,Manufacturing Construction,Service,,25,-0.10975566901270396,0.2717628117656227,0.0352571065208044,21,0.1297348459553447,0.01087051247062491,0.009021597404790593,7,3,0.12,1,7,0.28,0.060533563531952356,0.1865877495962193,0.8055555555555555,0.7541666666666667,Strong Net Effect,true
hours,Services,Machine operators transport,,25,-0.07571193590017618,0.08905900924376509,0.007775984380826792,7,0.08731272048561643,0.0035623603697506035,0.0030356365266911533,2,9,0.36,2,14,0.56,0.008655253543299844,0.011400328675487306,0.7722222222222221,0.7541666666666667,Strong Net Effect,true
hours,Trade,Service,,25,-0.06648434510952131,0.0811610479302512,0.009058573025433374,8,0.11161232212302385,0.003246441917210048,0.002908807299662202,7,10,0.4,4,16,0.64,0.007378045383761623,0.00932743428974249,0.7708333333333334,0.7541666666666667,Strong Net Effect,true
hours,Trade,Precision production repair,,25,-0.08221935193920776,0.0864944417533815,0.005768116475834171,8,0.06668771263106818,0.00345977767013526,0.0037016914037272287,4,14,0.56,5,17,0.68,0.006905352828804557,0.008842815053517635,0.7680555555555555,0.7541666666666667,Strong Net Effect,true
hours,Manufacturing Construction,Sales,,25,-0.05843920714787799,0.11666459446705273,0.01332991584340779,21,0.11425845094050616,0.0046665837786821086,0.004470189351582568,12,6,0.24,1,14,0.56,0.0117111628385299,0.015920413446923277,0.7541666666666667,0.7541666666666667,Strong Net Effect,true
hours,Trade,Sales,,25,-0.06282495507852129,0.06985918404259805,0.005366205159230807,9,0.07681459829188178,0.0027943673617039223,0.002844550143091697,2,15,0.6,6,20,0.8,0.004821885519473008,0.0060587927834156365,0.7069444444444445,0.7541666666666667,Persistent Significant Response,false
hours,Energy intensive,Service,,25,0.04111073286824005,0.2182383491214968,0.02341142279106353,11,0.10727455960560814,0.008729533964859872,0.006502842552664306,13,3,0.12,2,11,0.44,0.036355663855150884,0.11817926234619126,0.6944444444444443,0.7541666666666667,Strong Dynamic Movement,false
hours,Energy intensive,Sales,,25,-0.03215351247941368,0.15813216710758338,0.020479401269056063,21,0.12950813008920026,0.006325286684303335,0.004703996879008215,13,7,0.28,2,13,0.52,0.019391698828461923,0.026067712554859103,0.6916666666666667,0.7541666666666667,Strong Dynamic Movement,false
hours,Manufacturing Construction,High tech,,25,-0.0451278293130952,0.06611315091026963,0.008903786189744365,23,0.13467496356101374,0.0026445260364107853,0.0022846354272510966,11,9,0.36,3,18,0.72,0.006154619114990522,0.007727590228155758,0.675,0.7541666666666667,Other,false
hours,Services,Service,,25,-0.06212778341736744,0.0625325655740912,0.006182320270126708,20,0.09886561047621877,0.002501302622963648,0.002226368417862276,4,12,0.48,4,18,0.72,0.005534755161424175,0.007715955427805856,0.6652777777777777,0.7541666666666667,Persistent Significant Response,false
hours,Trade,Professional specialty,,25,-0.03497830487292501,0.09132556909014156,0.008513037830972844,15,0.0932163677246859,0.0036530227636056623,0.0032576415400564045,15,7,0.28,5,13,0.52,0.010372131750260728,0.013155611873924743,0.638888888888889,0.7541666666666667,Other,false
hours,Trade,Machine operators transport,,25,-0.03820582558825955,0.07299628297310398,0.0075689513636380224,17,0.10368954493788209,0.0029198513189241594,0.0030614914413637385,12,8,0.32,2,16,0.64,0.007231871766692219,0.010480927537294604,0.6222222222222221,0.7541666666666667,Other,false
hours,Manufacturing Construction,Farming forestry construction,,25,-0.05774600123151447,0.05774600123151447,0.0057449377838563786,18,0.09948633085127147,0.0023098400492605788,0.0022350380068315912,0,13,0.52,4,21,0.84,0.00455876989021647,0.006506046651778832,0.6166666666666667,0.7541666666666667,Persistent Significant Response,false
hours,Trade,Administrative support,,25,-0.0405451888305466,0.05972175885008597,0.006501421223201095,22,0.10886185116417978,0.0023888703540034385,0.0021222234876791795,11,6,0.24,2,16,0.64,0.006083874687529027,0.007478899778827285,0.55,0.7541666666666667,Other,false
hours,Services,Professional specialty,,25,-0.04418242803906264,0.051585332944526094,0.0043735773373673945,21,0.08478334998963093,0.0020634133177810437,0.0019542768924426246,6,14,0.56,6,18,0.72,0.0037001226132811417,0.005166925487960749,0.548611111111111,0.7541666666666667,Persistent Significant Response,false
hours,Services,Sales,,25,-0.036030528113041,0.05716026971943173,0.005912826143504597,3,0.10344293637044406,0.002286410788777269,0.0020204956535645117,9,6,0.24,2,12,0.48,0.006113558043840594,0.007774180870850746,0.4930555555555555,0.7541666666666667,Other,false
hours,Energy intensive,Professional specialty,,25,-0.023952629684831153,0.06496404394639031,0.00679457923608843,20,0.10458984421744834,0.0025985617578556126,0.0023137561029713265,13,7,0.28,2,13,0.52,0.006443365731922069,0.00898864958261988,0.4819444444444445,0.7541666666666667,Other,false
hours,Energy intensive,High tech,,25,0.003568595154892326,0.13791796374051699,0.016440250203219726,19,0.11920311000350113,0.005516718549620681,0.004998162233211028,20,4,0.16,2,11,0.44,0.019215396436573714,0.025757602063305414,0.47777777777777786,0.7541666666666667,Strong Dynamic Movement,false
hours,Energy intensive,Managerial,,25,-0.02559090622490537,0.04827793252481363,0.007151473563500476,7,0.1481313136146582,0.0019311173009925453,0.002079337551929942,8,8,0.32,2,14,0.56,0.005269776500631184,0.006862968106706585,0.4652777777777778,0.7541666666666667,Other,false
hours,Energy intensive,Administrative support,,25,-0.038850553532551756,0.04248220882661181,0.004863384586693479,14,0.11448050186239246,0.0016992883530644724,0.001486408036811811,10,6,0.24,2,12,0.48,0.004771695549547209,0.00698550273922002,0.42638888888888893,0.7541666666666667,Other,false
hours,Energy intensive,Farming forestry construction,,25,0.005935559970957334,0.06863558780021618,0.009552439801614274,12,0.13917619281442487,0.002745423512008647,0.002309491529985517,10,5,0.2,2,10,0.4,0.009283641969648749,0.011433361211362762,0.41944444444444445,0.7541666666666667,Sharp Peak Response,false
hours,Services,Precision production repair,,25,-0.023174451529130193,0.04638894169237398,0.005324103329612127,12,0.11477095909880118,0.0018555576676949597,0.0018511829440635093,14,6,0.24,2,12,0.48,0.0056330218796252825,0.007927686700417727,0.35833333333333334,0.7541666666666667,Other,false
hours,Manufacturing Construction,Machine operators transport,,25,-0.03240158376848517,0.0346716965675261,0.00291413926572386,18,0.08404951456725876,0.0013868678627010442,0.0014176224021500675,6,12,0.48,5,19,0.76,0.0029436695463375294,0.003575896032869454,0.35277777777777775,0.7541666666666667,Persistent Significant Response,false
hours,Services,High tech,,25,-0.02555833192067609,0.040364256733498804,0.00506402244986583,21,0.12545808741879133,0.001614570269339952,0.001335402476769687,8,7,0.28,3,10,0.4,0.0051371117577757135,0.006817818607421895,0.35277777777777775,0.7541666666666667,Other,false
hours,Energy intensive,Machine operators transport,,25,-0.020548615817937304,0.04419482739769962,0.005123343896758708,4,0.1159263243785263,0.0017677930959079848,0.0014086955735450764,9,6,0.24,3,12,0.48,0.005213600760068406,0.007484163566341155,0.30972222222222223,0.7541666666666667,Other,false
