outcome,industry,occupation,n_obs,n_horizons,beta_H,cum_irf,abs_cum_irf,peak_beta,peak_abs,peak_horizon,sig_count90,sig_count68,sig_share90,sig_share68,peak_share,mean_abs_beta,median_abs_beta,mean_ci_width90,max_ci_width90,sign_switch_count,consecutive_sig90_max,rank_abs_cum_irf,rank_abs_cum_path,rank_peak_abs,rank_sig90,score_cutoff,candidate_score,candidate_type,robust_candidate
by_occupation,hours,Farming/forestry/construction,,148,0.0016309244361628588,NaN,NaN,NaN,NaN,0,46,74,0.3108108108108108,0.5,NaN,NaN,NaN,NaN,NaN,60,5,1.0138888888888888,1.0138888888888888,1.0138888888888888,0.7083333333333334,0.7229166666666667,0.9680555555555554,Strong Net Effect,false
by_occupation,inequality,Farming/forestry/construction,,148,0.009531581126396453,NaN,NaN,NaN,NaN,0,33,62,0.22297297297297297,0.4189189189189189,NaN,NaN,NaN,NaN,NaN,97,3,1.0555555555555556,1.0555555555555556,1.0555555555555556,0.4027777777777778,0.7229166666666667,0.9576388888888889,Strong Net Effect,false
by_occupation,income,Farming/forestry/construction,,148,-0.0022570852393936753,NaN,NaN,NaN,NaN,0,36,62,0.24324324324324326,0.4189189189189189,NaN,NaN,NaN,NaN,NaN,76,4,1.0277777777777777,1.0277777777777777,1.0277777777777777,0.4722222222222222,0.7229166666666667,0.9444444444444442,Strong Net Effect,false
by_occupation,median,Farming/forestry/construction,,148,0.00036160555546868833,NaN,NaN,NaN,NaN,0,27,64,0.18243243243243243,0.43243243243243246,NaN,NaN,NaN,NaN,NaN,78,3,1.0694444444444444,1.0694444444444444,1.0694444444444444,0.19444444444444445,0.7229166666666667,0.9381944444444443,Strong Net Effect,false
by_occupation,income share var,Farming/forestry/construction,,148,9.955004757591937e-5,NaN,NaN,NaN,NaN,0,14,48,0.0945945945945946,0.32432432432432434,NaN,NaN,NaN,NaN,NaN,77,2,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.013888888888888888,0.7229166666666667,0.8875,Strong Net Effect,false
by_occupation,hourly rate,Farming/forestry/construction,,148,-0.0039544819765498975,NaN,NaN,NaN,NaN,0,22,45,0.14864864864864866,0.30405405405405406,NaN,NaN,NaN,NaN,NaN,88,2,1.0,1.0,1.0,0.1388888888888889,0.7229166666666667,0.8708333333333332,Strong Net Effect,false
by_occupation,median,High tech,,132,0.01849747226249391,3.737527400083263,6.088930655845332,2.0494819965275424,2.0494819965275424,2,38,65,0.2878787878787879,0.49242424242424243,0.33659144969241084,0.04612826254428278,0.00638098868655995,0.12169782007046355,8.161854642601833,61,6,0.9166666666666666,0.9027777777777778,0.875,0.5,0.7229166666666667,0.8416666666666666,Strong Net Effect,true
by_occupation,hourly rate,High tech,,132,0.023349338993593326,3.307823403372193,5.757404214537599,2.418189216898748,2.418189216898748,2,43,68,0.32575757575757575,0.5151515151515151,0.4200137990646472,0.04361669859498182,0.005866862273729916,0.11758913730187483,6.284918087449506,55,6,0.9027777777777778,0.8888888888888888,0.8888888888888888,0.6527777777777778,0.7229166666666667,0.8583333333333334,Strong Net Effect,true
by_occupation,inequality,High tech,,132,0.00015690523774650444,3.0835090874231206,7.976216834099768,3.2506878055607875,3.2506878055607875,2,31,57,0.23484848484848486,0.4318181818181818,0.4075475721351393,0.06042588510681641,0.007587772046224302,0.18679332086752148,5.61520843076163,53,6,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.3333333333333333,0.7229166666666667,0.8194444444444444,Strong Net Effect,true
by_occupation,income,High tech,,132,0.021403936647631763,3.069390479253437,5.699335906313161,2.6906298532036526,2.6906298532036526,2,41,68,0.3106060606060606,0.5151515151515151,0.4720953278474495,0.04317678716903912,0.0068317303421512095,0.18156513870860708,8.749348069305706,59,6,0.875,0.875,0.9027777777777778,0.6111111111111112,0.7229166666666667,0.8409722222222222,Strong Net Effect,true
employment,Energy_intensive,Farming/forestry/construction,,37,0.003939127856583078,0.3917906527786307,0.4082439072924283,0.02653119584716135,0.02653119584716135,26,15,25,0.40540540540540543,0.6756756756756757,0.06498858984356341,0.011033619116011577,0.009644723221609823,0.02450466023477937,0.030311065691074383,5,4,0.9166666666666666,0.8333333333333334,0.8166666666666667,0.8,0.7908333333333334,0.8541666666666666,Strong Net Effect,true
employment,Energy intensive,Farming forestry construction,,37,0.003939127856583078,0.3917906527786307,0.4082439072924283,0.02653119584716135,0.02653119584716135,26,15,25,0.40540540540540543,0.6756756756756757,0.06498858984356341,0.011033619116011577,0.009644723221609823,0.02450466023477937,0.030311065691074383,5,4,0.9166666666666666,0.8333333333333334,0.8166666666666667,0.8,0.7908333333333334,0.8541666666666666,Strong Net Effect,true
employment,Manufacturing_Construction,Service,,37,0.003916047150236669,0.31379593098634223,0.4360815307319441,0.03494540165986226,0.03494540165986226,2,5,14,0.13513513513513514,0.3783783783783784,0.080135018791573,0.011785987317079572,0.00998204548872354,0.04684642387069675,0.0742558035336037,8,2,0.85,0.8666666666666667,0.9166666666666666,0.3333333333333333,0.7908333333333334,0.7908333333333334,Strong Net Effect,true
employment,Manufacturing Construction,Service,,37,0.003916047150236669,0.31379593098634223,0.4360815307319441,0.03494540165986226,0.03494540165986226,2,5,14,0.13513513513513514,0.3783783783783784,0.080135018791573,0.011785987317079572,0.00998204548872354,0.04684642387069675,0.0742558035336037,8,2,0.85,0.8666666666666667,0.9166666666666666,0.3333333333333333,0.7908333333333334,0.7908333333333334,Strong Net Effect,true
employment,Services,High tech,,74,-0.0017783113384105998,0.15041024734824568,0.17246965721373417,0.006626093431913687,0.006626093431913687,7,6,20,0.08108108108108109,0.2702702702702703,0.03841889372866473,0.0023306710434288407,0.0020852611534646743,0.010285592257026107,0.013227684246619926,16,2,0.48333333333333334,0.23333333333333334,0.03333333333333333,0.36666666666666664,0.7908333333333334,0.3008333333333333,Other,false
employment,Manufacturing_Construction,High tech,,37,0.0018119814690926875,0.15036773467060804,0.21761937180628332,0.016720989197093358,0.016720989197093358,6,8,16,0.21621621621621623,0.43243243243243246,0.07683594092890665,0.005881604643413062,0.004242017678071645,0.022112163361057247,0.030638664297972712,6,3,0.4666666666666667,0.48333333333333334,0.7,0.5333333333333333,0.7908333333333334,0.5283333333333333,Other,false
employment,Manufacturing Construction,High tech,,37,0.0018119814690926875,0.15036773467060804,0.21761937180628332,0.016720989197093358,0.016720989197093358,6,8,16,0.21621621621621623,0.43243243243243246,0.07683594092890665,0.005881604643413062,0.004242017678071645,0.022112163361057247,0.030638664297972712,6,3,0.4666666666666667,0.48333333333333334,0.7,0.5333333333333333,0.7908333333333334,0.5283333333333333,Other,false
employment,Trade,Administrative support,,74,0.00011021864801578602,0.09059028425441336,0.20541427513536978,0.009657010006839809,0.009657010006839809,6,2,22,0.02702702702702703,0.2972972972972973,0.04701236075475162,0.0027758685829104035,0.002581954590350594,0.016073992160439258,0.021630201896772935,15,1,0.3,0.4,0.18333333333333332,0.05,0.7908333333333334,0.26916666666666667,Other,false
