horizon,beta,ci_lo90,ci_hi90,ci_lo68,ci_hi68,outcome,industry,industry_label,occ_group,occupation
0,-0.00035628637990147604,-0.00383117316191536,0.0035224960824828525,-0.002726050642637256,0.0019793466001511956,employment,Energy_intensive,Energy intensive,1,Managerial
1,-0.005813352133404046,-0.011529848300914119,-0.0011143606642438214,-0.008966086857460542,-0.0026436913985611516,employment,Energy_intensive,Energy intensive,1,Managerial
2,-0.005425520032734661,-0.012118965721850374,-0.00044862173217700713,-0.009165555874290335,-0.0021131676696982435,employment,Energy_intensive,Energy intensive,1,Managerial
3,-0.0012380010391007652,-0.007716546448852105,0.005396738536804497,-0.005477921399311916,0.002658364237114039,employment,Energy_intensive,Energy intensive,1,Managerial
4,0.003563788129836099,-0.002670612868036251,0.012473807315270381,-0.0006991389397372149,0.009040462043215595,employment,Energy_intensive,Energy intensive,1,Managerial
5,0.003017596453826493,-0.004186844525483997,0.012785957732794707,-0.0014618324265796238,0.00858481493079924,employment,Energy_intensive,Energy intensive,1,Managerial
6,0.0007430609483888128,-0.006626738322030071,0.009869937369612456,-0.0037372639059200467,0.00604180064878031,employment,Energy_intensive,Energy intensive,1,Managerial
7,0.003341210923606833,-0.004456660001912809,0.01177786356891217,-0.0015825330576327012,0.008238789056191558,employment,Energy_intensive,Energy intensive,1,Managerial
8,-0.0032097709922885094,-0.009933686705246957,0.003916420712352101,-0.007153456075410385,0.0006802532139303184,employment,Energy_intensive,Energy intensive,1,Managerial
9,-0.001047708507008312,-0.007382204770528653,0.005195964842470412,-0.0048881006089923325,0.0028253663521977876,employment,Energy_intensive,Energy intensive,1,Managerial
10,-0.0008837282777285103,-0.007296527884319586,0.00489655780200953,-0.0044971161331169105,0.0028098226351075286,employment,Energy_intensive,Energy intensive,1,Managerial
11,-0.0016752895348000354,-0.008594365242897462,0.005796061301895923,-0.005752157155715117,0.002525813016409613,employment,Energy_intensive,Energy intensive,1,Managerial
12,0.002842704751946208,-0.004388963568295594,0.008935182444096627,-0.0012702334252253072,0.006530416809034314,employment,Energy_intensive,Energy intensive,1,Managerial
