horizon,coef_name,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,shock_g1,9.240351438315338e-5,0.0002267488776345999,-0.00016291755318691462,0.00037278264074057176,-5.369825514321122e-5,0.00026321899912572254
0,shock_g2,3.1016845728751804e-5,0.00027552004119598745,-0.0002961401406531974,0.00039535358053951374,-0.00019024975724711189,0.0002378058155205859
0,shock_g3,-9.791878151454989e-5,0.00026206768634929234,-0.0005344667134299106,0.0003115905213637802,-0.0003490471603496228,0.00012724713064126626
0,shock_g4,1.036414734303019e-5,0.0001584784812821433,-0.0002009363101570477,0.000189702657241304,-0.00011590618946157555,0.000122738480674078
0,shock_g5,-0.00026356602859549036,9.925106184466355e-5,-0.0003780658601726418,-0.00013579098552050017,-0.0003348821685176284,-0.00018176649848391737
0,shock_g6,-8.552238894597501e-5,9.397504746501959e-5,-0.00023025308183356182,3.3407098780128256e-5,-0.00017507482875679805,-1.4655761085336492e-5
0,shock_g8,-0.00014006405960469216,0.00013872969646790075,-0.0003180266266690707,5.213274731796124e-5,-0.00023761824149767005,-2.537537532955046e-5
0,shock_g9,7.15590700643038e-5,8.381678571318872e-5,-2.2421130783623156e-5,0.00017720354959907785,9.570891122741873e-6,0.0001400097236548047
0,shock_lag1,-1.33438160097179e-5,5.778196601312589e-5,-8.84249792966851e-5,5.452257041237763e-5,-5.851356627565053e-5,2.543270988096275e-5
0,ylag1,0.8544994640217732,0.021296809939775754,0.8339183280708276,0.8752717698275073,0.8418785044068989,0.8669472203532071
0,log_oil_lag1,-0.00010890854884853328,5.1243066270420904e-5,-0.0001825241928772543,-4.567325985958267e-5,-0.0001532334454860456,-6.770830277854107e-5
0,ffr_lag1,-2.1936686546850513e-5,1.8561611371786774e-5,-4.652138898581617e-5,3.810958519659866e-6,-3.7327525383576634e-5,-7.163540438756644e-6
0,cpi_lag1,5.270469473310624e-6,1.511630521379208e-6,3.6438437466856213e-6,7.1835164985660055e-6,4.338176156774174e-6,6.39555261698204e-6
0,indpro_lag1,3.679318344966929e-6,3.3373290253795177e-6,-3.125955740959786e-7,8.269895449942384e-6,1.186874465873695e-6,6.34915486339436e-6
0,t10y3m_lag1,-7.647317995776372e-5,2.8731424070759177e-5,-0.00011733975307110195,-3.596418038257626e-5,-9.882128225837219e-5,-5.296824717143488e-5
0,age_mean,5.445704402878868e-6,2.1959402371091366e-5,-2.0384061029234495e-5,2.9772372641787438e-5,-9.548057677919479e-6,2.0097989127776993e-5
0,female_share,-0.002912720894573092,0.0004913048515963222,-0.0034975038979736827,-0.0023391896536146843,-0.003231021800731061,-0.0025850006051174558
1,shock_g1,0.0002662864109907083,0.0002455475657265821,-2.6764773986789024e-5,0.000526675535963868,9.799390890864891e-5,0.0004355655919653505
1,shock_g2,-0.00036382894420160044,0.0002987933375457044,-0.0007653010459925246,-2.6916133519848374e-5,-0.0006259481446728403,-0.00014627453445962342
1,shock_g3,3.711427179348459e-5,0.0002043932477680895,-0.0003733470653305189,0.00036757122393391294,-0.00017909710123775098,0.00023906865670113585
1,shock_g4,-0.00014298383638118776,0.00012940335816143727,-0.00032856976846109133,1.8186989311856535e-5,-0.00024586090187388523,-4.7597488474704504e-5
1,shock_g5,-0.0001893147877098454,0.00012953942802408674,-0.0003749926967823926,-2.4152784044020404e-5,-0.00028822498896705756,-9.19901719947161e-5
1,shock_g6,-7.77408719970975e-5,0.00011379581914892173,-0.00027600788088967017,5.5559614401246826e-5,-0.00019570009171602577,7.420468682586576e-6
1,shock_g8,-6.370474199273857e-5,9.813620928645092e-5,-0.00017399548705934945,6.676008628388667e-5,-0.00012862030947633765,1.935474792842509e-5
1,shock_g9,7.654951238673955e-5,8.551920190385296e-5,-3.733670032446317e-5,0.00018164039110958976,9.590620226698066e-6,0.00013748117727879227
1,shock_lag1,-3.260945997083114e-6,5.711083051039757e-5,-6.993602030611142e-5,7.879065385879962e-5,-3.7025328525895004e-5,4.279157632886382e-5
1,ylag1,0.852110161577167,0.021877905297192905,0.8320822581338451,0.875901153000754,0.8396653737939984,0.8655966882620704
1,log_oil_lag1,-9.172663782683462e-5,6.420303187994119e-5,-0.00019017838486101447,-7.647156562380685e-8,-0.00014927005263858225,-3.99086518609064e-5
1,ffr_lag1,-3.8744042633440595e-5,2.3713156082037053e-5,-6.872566849022542e-5,-6.893009646868282e-6,-5.7775153380207035e-5,-1.910759246487893e-5
1,cpi_lag1,5.986370472885982e-6,1.7576258390784786e-6,3.797678493074412e-6,8.040052074994586e-6,4.7501444823023576e-6,7.250870950146416e-6
1,indpro_lag1,5.676585912671738e-6,4.082247532863421e-6,6.934156561873866e-7,1.163628469819444e-5,2.6053922963716515e-6,9.241087365742265e-6
1,t10y3m_lag1,-8.882689465722758e-5,3.724604336329974e-5,-0.00013947684205226416,-3.7973817545011626e-5,-0.00011881998496553143,-5.3458504496035586e-5
1,age_mean,-3.7213476407859306e-5,2.2496597757907286e-5,-6.33258047987198e-5,-1.1433265927116093e-5,-5.3600010888758254e-5,-2.1353652789191294e-5
1,female_share,-0.0012548626342841118,0.00040933145381110553,-0.0016609877915901936,-0.0007560577207879249,-0.001534126552133149,-0.0009537675956927291
2,shock_g1,-0.00014796487190293976,0.0002522041588980976,-0.0004525784172020027,0.0001739804402605626,-0.00033305074312326674,5.7658678073331055e-5
2,shock_g2,-0.0003060587551163705,0.00023811461229568707,-0.0006468920966516075,-1.4474553589835157e-5,-0.000520916635625442,-0.00010731875937874212
2,shock_g3,0.000127584470423322,0.00024259168625330072,-0.00027857068850555336,0.0005688335570336748,-0.00011448147820909815,0.00039296428397545284
2,shock_g4,-2.795219440575864e-5,0.0001283114260083631,-0.0001901045639623019,0.0001429487499096449,-0.0001239988069858476,8.183918384438351e-5
