ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,72.14889701183452,37,0.0,27.182332245525274,12,0.01,22.85825916979753,13,0.05,3,0.03000795156058573,0.01369819213321021,true,true,false,Temporary
2,Mining,93.84427103831237,37,0.0,33.38328335312403,12,0.0,27.593533419306304,13,0.008,36,0.033245632654940724,0.02115549490304764,true,true,true,Persistent
3,Construction,14.704503579605385,37,1.0,2.8274128893305703,12,0.998,6.14053589594503,13,0.948,24,-0.012902464969905067,0.01191056981086335,false,false,false,Not_significant
4,Manufacturing_nondurable,43.81524475852355,37,0.22,12.383842067572024,12,0.422,15.159140232618803,13,0.284,21,-0.009226887459265299,0.005357686116792119,false,false,false,Not_significant
5,Manufacturing_durable,33.63775784393327,37,0.634,2.9121415893011884,12,0.99,16.45731586978569,13,0.23,21,-0.011686478154518778,0.007462382448124998,false,false,false,Not_significant
6,Transportation_utilities,161.31451570599543,37,0.0,29.079780100057878,12,0.004,70.45168750003555,13,0.0,31,-0.01584789532488786,0.005541742054279211,true,true,true,Persistent
7,Wholesale_trade,61.92454761461066,37,0.002,23.065709674703434,12,0.032,21.715241167161015,13,0.072,32,-0.014446767268390713,0.0074750278117578645,true,true,false,Temporary
8,Retail_trade,45.786940831695546,37,0.15,10.630711172123874,12,0.544,21.71717142233117,13,0.064,24,-0.009668794329016128,0.004139452077241528,false,false,false,Not_significant
9,Finance_insurance_realestate,46.29468407930652,37,0.128,17.564882520486094,12,0.136,7.089432792302937,13,0.896,19,-0.010945723429563103,0.005516331727968074,false,false,false,Not_significant
10,Business_repair_services,80.37901946737173,37,0.0,9.109716506961359,12,0.742,38.87869177401149,13,0.002,23,-0.015504335734604968,0.005714350729135007,true,false,true,Delayed_persistent
11,Personal_entertainment_services,117.03527095256379,37,0.0,26.69219939732371,12,0.014,50.31670867582096,13,0.0,32,-0.029400901879917,0.008039404686447295,true,true,true,Persistent
12,Professional_related_services,19.37477721504031,37,0.99,11.109725385059425,12,0.512,5.418870575993656,13,0.95,8,0.005355367862706512,0.0034965692125221424,false,false,false,Not_significant
13,Public_administration,60.45091696161073,37,0.01,16.602036151417973,12,0.15,22.671480286513862,13,0.052,35,-0.00914089314091731,0.005338725658943901,true,false,false,Not_significant
