ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,106.66975236222173,37,0.0,41.509224681036244,12,0.0,25.090989007492443,13,0.024,23,-0.020418464298289925,0.00730863643027036,true,true,false,Temporary
2,Mining,23.669659764928813,37,0.964,10.52253687144944,12,0.57,6.443450976199583,13,0.93,11,0.018588744764835723,0.010197842265013187,false,false,false,Not_significant
3,Construction,39.56456566520253,37,0.356,8.949361817065466,12,0.696,18.493207774300924,13,0.13,35,-0.010210780838698927,0.004302097510267323,false,false,false,Not_significant
4,Manufacturing_nondurable,60.24433718104183,37,0.002,21.54907569067652,12,0.04,17.580299394784213,13,0.172,10,-0.012723457459497487,0.004365871671805289,true,true,false,Temporary
5,Manufacturing_durable,22.81778320553361,37,0.978,2.275771353941833,12,0.996,13.265307805060614,13,0.416,36,-0.00793407913556878,0.0035603588739531963,false,false,false,Not_significant
6,Transportation_utilities,14.660637256422708,37,1.0,4.41306220854362,12,0.984,7.283959073780416,13,0.882,24,0.005831318885950825,0.0037761228658142764,false,false,false,Not_significant
7,Wholesale_trade,18.46739072231193,37,0.998,4.909219781319228,12,0.972,5.381191246490113,13,0.962,21,0.00810943482800674,0.005116994765564105,false,false,false,Not_significant
8,Retail_trade,52.924578823304515,37,0.05,24.11438236563754,12,0.02,12.692965192041244,13,0.478,22,-0.006681142317217493,0.0030387248677127706,false,true,false,Temporary
9,Finance_insurance_realestate,86.45498645962546,37,0.0,25.71518048316226,12,0.004,29.61640370895978,13,0.004,35,-0.011930142423233005,0.00393838705454586,true,true,true,Persistent
10,Business_repair_services,155.18565341045024,37,0.0,45.02371432034946,12,0.0,52.822534510676924,13,0.0,32,-0.013186501179801658,0.004625916008340802,true,true,true,Persistent
11,Personal_entertainment_services,64.56914442822314,37,0.004,23.612075251153684,12,0.022,17.686420350030396,13,0.162,32,0.012325736564512232,0.006050847064181142,true,true,false,Temporary
12,Professional_related_services,30.9016413351548,37,0.752,11.057242445224077,12,0.524,12.833529508596454,13,0.464,25,0.005075282030336297,0.002694731208511937,false,false,false,Not_significant
13,Public_administration,43.82353769186085,37,0.214,20.593144807049317,12,0.058,8.368619567667617,13,0.832,10,-0.008281959002629208,0.0036014576974899054,false,false,false,Not_significant
