occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Managerial,31.558127413566538,37,0.726,7.8208446251624535,12,0.816,9.90014118628667,13,0.71,20,-0.004295897921816979,0.0025831749994176152,false,false,false,Not_significant
2,Professional_specialty,31.445172276044573,37,0.732,13.475992321035735,12,0.332,9.93663983978125,13,0.682,8,-0.003815577879844843,0.0022168313943707863,false,false,false,Not_significant
3,High_tech,43.88546000528189,37,0.212,13.407717528124163,12,0.326,11.8297684985516,13,0.514,22,-0.007301013100535334,0.0029154409875910155,false,false,false,Not_significant
4,Sales,56.99847925813062,37,0.018,10.609339871367109,12,0.572,10.163627637194521,13,0.686,22,-0.007048445874212068,0.0035361808634776187,true,false,false,Not_significant
5,Administrative_support,30.706718970843376,37,0.754,8.725132215266436,12,0.726,12.386630959100495,13,0.482,24,0.003732401770171106,0.0020759499465173845,false,false,false,Not_significant
6,Service,47.44987625504286,37,0.134,17.055232508821344,12,0.162,21.987168882890185,13,0.062,7,0.005477605152939087,0.0025987774647566273,false,false,false,Not_significant
7,Farming_forestry_construction,45.407142820532826,37,0.16,7.197429675979442,12,0.822,21.480392061948137,13,0.062,35,-0.007974316054686497,0.0032354151489234484,false,false,false,Not_significant
8,Precision_production_repair,88.19040656918195,37,0.0,26.49176685766733,12,0.014,20.90811660834848,13,0.096,28,-0.00804370651888785,0.002899830878034064,true,false,false,Not_significant
9,Machine_operators_transport,39.59256835057147,37,0.372,11.241644196466618,12,0.518,13.853963233568347,13,0.386,17,-0.0038216647465203544,0.002025904820720916,false,false,false,Not_significant
