occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Managerial,28.160738362448402,37,0.846,10.200555151630224,12,0.584,6.361177043950996,13,0.93,4,-0.00548797937614567,0.002815372480289796,false,false,false,Not_significant
2,Professional_specialty,47.28840936549433,37,0.126,15.495461873434564,12,0.206,15.643989911040519,13,0.256,8,-0.005679983168029134,0.002327709315158835,false,false,false,Not_significant
3,High_tech,46.733801466656644,37,0.126,7.013932688062708,12,0.86,17.783710544924674,13,0.168,33,-0.00870348392317548,0.003782844964170713,false,false,false,Not_significant
4,Sales,42.25379176242281,37,0.264,2.006238770931877,12,1.0,14.550193869656873,13,0.342,34,-0.012768984871149237,0.0047529702208501615,false,false,false,Not_significant
5,Administrative_support,47.02715697054383,37,0.138,14.917154322547193,12,0.248,20.56110290619137,13,0.098,26,-0.004984197767554777,0.0024272057169122457,false,false,false,Not_significant
6,Service,29.56664553978598,37,0.78,6.2957635581380735,12,0.87,17.17993126684513,13,0.21,35,-0.008708821482918848,0.004106898762227583,false,false,false,Not_significant
7,Farming_forestry_construction,60.79922760095537,37,0.008,9.479488552879475,12,0.666,32.39681733927744,13,0.004,35,-0.015604033202198388,0.004668130131226165,true,false,true,Delayed_persistent
8,Precision_production_repair,56.16916928577647,37,0.028,20.065923912620406,12,0.062,18.489688662529083,13,0.154,23,-0.011004863441161005,0.003960213910280714,false,false,false,Not_significant
9,Machine_operators_transport,40.60549265614941,37,0.326,10.645237639479031,12,0.522,18.677230834705476,13,0.146,26,-0.005863845792287951,0.002685523087121849,false,false,false,Not_significant
