horizon,beta,se,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,0.0009224460068393756,0.0007101859454636704,2.1665023084520437e-5,0.0016966133440047854,0.00037388161312763857,0.00144400468313125
1,0.00041353132093474213,0.0006196690796627771,-0.0003708988389433207,0.001209391647731537,-1.347026850706442e-5,0.0009014789464298816
2,0.0007479204453597004,0.000720463156451197,-5.8989837853891803e-5,0.0015837296249526778,0.00021647765553079075,0.0012419614074455488
3,0.0012847416279932068,0.0008878375577074543,0.00019313081774326017,0.002401142707100397,0.0006490483452398882,0.001929839587004406
4,0.0007632052691776981,0.000779150085086309,-0.00032386497869534416,0.00165824830297534,0.00014591709910199372,0.0013264181638593686
5,-0.00024361639530391625,0.000828465709707602,-0.0012169930178835661,0.0008125653708980192,-0.0008083883976203213,0.0004188479803952848
6,0.0010837230485905133,0.0008420241040202089,-0.0001448455546959591,0.0019006541193157859,0.0004494445667303673,0.001613362328657442
7,-0.0008398574660677307,0.0007331456333929716,-0.0019264132613111009,0.00013477749085931846,-0.0015378217336115899,-0.0002845905340442482
8,0.0010571562555616253,0.0007687513369017064,-6.266592204098474e-6,0.0019791971127195883,0.00035194860174856736,0.0016515013247260088
9,0.0007566973103194918,0.0007905169373803119,-0.000442432908287433,0.0017165432427691243,2.803867913661552e-5,0.0013228136976783105
10,0.000125460710903963,0.0007360756117309329,-0.0010216086773551284,0.0009928357040831957,-0.0004928391918834238,0.0006542331905027416
11,0.0007543480683345257,0.0006142777380539437,-0.0001525021441552781,0.0014074070512952867,0.00028432899349675967,0.001125969684784906
12,0.0002298371696766714,0.0007550737685405223,-0.0006743279120525116,0.0011501917512570805,-0.0002866045918085393,0.00078802236986294
13,0.0007260001789282464,0.0007304177253273673,-0.0001917492372789111,0.0015201573654308118,0.00018848923342266435,0.0012390958498816177
14,0.0006894152434007556,0.0008106669869364546,-0.0003509852666597412,0.0016593663651545908,2.2164057473383555e-5,0.0013063040446595529
15,-0.0003044710117381498,0.000961255159459239,-0.0015046837852284983,0.0008076311272988413,-0.0010153493531718254,0.0004027799973233359
16,-0.00044463644395976076,0.0007785388238525215,-0.0015185244999826918,0.0004943897848633184,-0.0010432180758742165,0.0001690785204925793
17,-0.0006179402830112071,0.0008584651477219185,-0.001930827846070077,0.00045560214622694726,-0.0013807689931848615,5.636547730767478e-5
18,0.00018157966277797084,0.0009886160161087414,-0.0012131938942584678,0.0013616170526235445,-0.0006673798233790834,0.0009754206368016989
19,-0.00044266700303664927,0.0008765536853996301,-0.0017186918218962581,0.0006798260881486937,-0.0012414007304165074,0.0001801437247387636
20,0.00026756330005678276,0.0007752080672765856,-0.0007556331007020759,0.0011901486386697558,-0.00037332312069597,0.0008375281817707813
21,-0.0005097180433557172,0.0007344047482263112,-0.001559135255335652,0.0003668762415634858,-0.0011071099372926638,3.810389117711035e-5
22,0.0001245364066691902,0.000771520547880047,-0.0009965643326236239,0.0010649151875760168,-0.0005460315611123651,0.0006986861504723349
23,0.000328032308050405,0.0007037091797047105,-0.0007857237772809852,0.0011907879282097144,-0.0003702197775358408,0.0008919717775254514
24,-0.000491486231459758,0.0008983694219405515,-0.0015961353306616053,0.0005762622393613651,-0.0012066666779999564,0.00016729189622130612
25,-0.00020331627038296977,0.0008474858589454294,-0.001322163220799443,0.0008693361350191706,-0.0009162510588197693,0.0003985680116880574
26,-0.0001284862457581882,0.000914363854957802,-0.0013139173168995382,0.0010087387428331844,-0.0008668409962418189,0.0004905780396683805
27,0.00033065271616106526,0.0009283820715843387,-0.0011110135495535206,0.001372369717968988,-0.00043485618092010963,0.0009699464812902552
28,-0.000232810109025192,0.0009251472388993286,-0.0015216596778218994,0.0007806550614569182,-0.000943109231840826,0.0003863365429660343
29,-0.0007916345458270492,0.0009612774907174007,-0.0022431437604840013,0.0004243197780877145,-0.0016687054856202076,-0.00011027809943351611
30,-0.0003926163759903292,0.0010585480905747442,-0.0018273714035534415,0.0007221277943045078,-0.0013081973486244506,0.00036897253651908834
31,-6.67638190193431e-5,0.0009913289988378975,-0.0015550112780256663,0.00110537860410118,-0.0009688703948914073,0.0006116560577881168
32,0.00011797080598945937,0.000907511577386446,-0.001181441283687437,0.0013489630464724124,-0.0006217991095145926,0.0008651360098950033
33,-0.000594334154795099,0.0007996691272623542,-0.0016171346142295434,0.00042841564182356014,-0.0012095567734678406,2.8902581531192696e-5
34,-0.0001647340331499196,0.0008195887730749312,-0.001129318389125499,0.0009195298615911416,-0.0007368108533480741,0.0004676952980271205
35,-0.0006230546982254456,0.000762741496874605,-0.0015456842740475053,0.0004595812568123183,-0.001205615299913579,9.769436981634427e-5
36,0.00015822118386365916,0.0009227979774978985,-0.0010655391965647583,0.0015002073121623272,-0.0005437095213176162,0.0009330094742698742
