ind_group,ind_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Energy_intensive,27.1602592333658,37,0.866,15.051110135947772,12,0.266,6.1134440203946205,13,0.932,9,-0.0011108969458890425,0.00048664221907714365,false,false,false,Not_significant
2,Manufacturing_Construction,29.84001975379883,37,0.784,19.144753327007738,12,0.092,4.345763664758782,13,0.982,3,0.0012847416279932068,0.0008878375577074543,false,false,false,Not_significant
3,Trade,44.44652223224514,37,0.188,11.820309881379039,12,0.456,10.533461257390208,13,0.624,26,-0.0011710667800273957,0.0007026282548517155,false,false,false,Not_significant
4,Services,27.501723270686252,37,0.858,11.97920431805968,12,0.456,5.430523329943922,13,0.954,5,0.0021361525649840826,0.0009531659270376676,false,false,false,Not_significant
