ind_group,ind_label,horizon,beta,boot_se,p_value,bh_reject
1,Energy_intensive,0,-0.0005762275009904017,0.0006070862598462177,0.3,false
1,Energy_intensive,1,-0.0003607317081465347,0.0005519441593708546,0.496,false
1,Energy_intensive,2,-0.00010661417685205614,0.0005800175649736962,0.772,false
1,Energy_intensive,3,-0.0003262942839446755,0.0005169267620886361,0.472,false
1,Energy_intensive,4,-0.0008398038076254526,0.00048459239265184084,0.092,false
1,Energy_intensive,5,-0.0007725596900380353,0.00042802103723668466,0.096,false
1,Energy_intensive,6,-0.0005467949762020624,0.0004995577467109875,0.236,false
1,Energy_intensive,7,-5.448116513459408e-6,0.0004702576818082741,1.0,false
1,Energy_intensive,8,-0.00014256945821250643,0.0005218083779738657,0.804,false
1,Energy_intensive,9,-0.0011108969458890425,0.0005047536579225033,0.028,false
1,Energy_intensive,10,-8.805550315776187e-5,0.00048132289277246117,0.936,false
1,Energy_intensive,11,-0.000328090375853968,0.0004666610344350277,0.392,false
1,Energy_intensive,12,0.00014753195119868973,0.000572067295245167,0.832,false
1,Energy_intensive,13,-0.0003115380192755174,0.0005049109231234412,0.588,false
1,Energy_intensive,14,0.0001305996033949868,0.00047977787829045585,0.836,false
1,Energy_intensive,15,-0.00016868728122553894,0.0005513002232393061,0.728,false
1,Energy_intensive,16,-0.000810658617101219,0.0005284080549058649,0.136,false
1,Energy_intensive,17,0.00024545362543205025,0.0005243264611064126,0.592,false
1,Energy_intensive,18,-0.00019496044475799548,0.0005097857912688987,0.66,false
1,Energy_intensive,19,-0.0003152440897489732,0.0005166470049923723,0.516,false
1,Energy_intensive,20,0.00018962797759440594,0.000452966943851045,0.7,false
1,Energy_intensive,21,-0.00017445190456174604,0.0005271846906541007,0.764,false
1,Energy_intensive,22,-0.0001399811926131025,0.0004999469602772357,0.78,false
1,Energy_intensive,23,3.4704525403768105e-6,0.0005296332820697768,1.0,false
1,Energy_intensive,24,4.160714852791231e-5,0.0005191335955303601,0.94,false
1,Energy_intensive,25,-0.00046114486684843995,0.0004687966305211772,0.348,false
