ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,103.8398330974865,37,0.0,39.079905615984885,12,0.0,25.45060959972621,13,0.016,31,-0.020597105795490806,0.006821510550170232,true,true,true,Persistent
2,Mining,false,25.650891308238595,37,0.94,11.805982021478588,12,0.456,5.6639287746268465,13,0.954,11,0.019593203349777846,0.010157241556781724,false,false,false,Not_significant
3,Construction,false,40.035777394602555,37,0.328,9.219086971741024,12,0.692,20.40233457206864,13,0.074,35,-0.010790907775612283,0.004295070249201873,false,false,false,Not_significant
4,Manufacturing_nondurable,false,55.99800580157976,37,0.008,21.257005243865866,12,0.048,16.20741899196443,13,0.234,10,-0.012330809891572715,0.004385569419000154,true,false,false,Not_significant
5,Manufacturing_durable,false,28.692194455566863,37,0.842,1.8315820349697791,12,0.998,19.825245980452728,13,0.116,36,-0.009849251188150372,0.003654916572578038,false,false,false,Not_significant
6,Transportation_utilities,false,15.98489737622845,37,0.998,4.666742726295372,12,0.978,8.239511932867172,13,0.82,35,-0.006787629394899864,0.0035132057460537203,false,false,false,Not_significant
7,Wholesale_trade,false,19.202525772441227,37,0.994,4.914392061477193,12,0.972,6.594926450453831,13,0.932,21,0.007711834849813955,0.005209680644244018,false,false,false,Not_significant
8,Retail_trade,false,53.27516888294786,37,0.038,21.966605373073936,12,0.046,18.044413628116942,13,0.146,36,-0.008038434760570977,0.004200901316453817,true,false,false,Not_significant
9,Finance_insurance_realestate,false,90.47289881028796,37,0.0,24.5876226542321,12,0.006,35.324716178268524,13,0.0,35,-0.013242155059174567,0.004145222672021994,true,true,true,Persistent
10,Business_repair_services,false,160.36962517014905,37,0.0,43.95332612791114,12,0.0,57.81936864763925,13,0.0,32,-0.01484731343593446,0.004988594666607744,true,true,true,Persistent
11,Personal_entertainment_services,false,60.32498606011929,37,0.008,24.058838323645702,12,0.018,14.147962732976469,13,0.354,32,0.011038547685305681,0.006213911554927089,true,true,false,Temporary
12,Professional_related_services,false,31.814792438611615,37,0.718,10.634296501350692,12,0.556,13.992755953372214,13,0.374,36,-0.006646125512195166,0.0027602321871456606,false,false,false,Not_significant
13,Public_administration,false,46.18203889294823,37,0.158,20.14602869359302,12,0.064,10.465163196406241,13,0.672,10,-0.008153439890529973,0.0034982497772188897,false,false,false,Not_significant
