horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68
0,-0.0017424054391877233,0.0036478728481018703,-0.008931314728430405,0.004493012320580858,-0.007996567079469925,0.0038868501039020903,-0.005568929279249565,0.0018826991336561346
1,-0.0043092439129746325,0.004236754011717888,-0.01190399777136281,0.0043734897594599285,-0.010481801358784803,0.0026573763938417747,-0.008256745125048877,0.00030320143507663413
2,-0.0017605946666851475,0.004504571366690956,-0.010796357616320633,0.006835043567219789,-0.009494530390859368,0.005786531902607703,-0.0063056160135941935,0.002577043420911492
3,-0.007238878056637679,0.00550074620961469,-0.017123347882076513,0.0036176339301191504,-0.01619520617553361,0.0014768544997329014,-0.013261738289621659,-0.002183988336351848
4,0.0007375360133959951,0.004690843599056145,-0.009122637566063668,0.009348122191858705,-0.007174751232674885,0.008105219027891703,-0.004062705130494109,0.005254293046513052
5,-0.0026474591501789643,0.004642720774420106,-0.011454990123836125,0.006655282895206102,-0.010052106594814703,0.005477647149815505,-0.007134492170197756,0.0019628710760540326
6,0.002296244608879661,0.005190626997571534,-0.007792892195332392,0.011696054379044994,-0.006167210001371501,0.01088067091436392,-0.0028815871718307355,0.0075763122202243665
7,-0.0014850789022205573,0.004992404698862849,-0.010253053045167767,0.008595822809882673,-0.009303059923098218,0.007027148367545163,-0.006358547287567554,0.0038902384317079635
8,-0.004349233307550397,0.00482199613888623,-0.013996053042260802,0.005831785675312897,-0.012558965089238025,0.0038054060983357093,-0.00914210027326929,-0.00016126647214314343
9,0.0029073198086082483,0.0054354344454022865,-0.006385164224441664,0.014352103104716466,-0.0055579637388244296,0.012424888702429363,-0.0022972762530293245,0.008360980257644519
10,-0.00205210905956896,0.005478267561825686,-0.012289472313291454,0.009381952878226062,-0.010837374201284389,0.007459605894797016,-0.007227362830903368,0.0032454824690176264
11,0.0008842520827278781,0.004836770916425939,-0.008909968969638235,0.010586147672351703,-0.006828245509544677,0.009135252289765245,-0.003448399971470571,0.006022832373325306
12,-0.0063103068146968064,0.005381427632233674,-0.0161996883910429,0.00455498094400912,-0.014860468227385388,0.0028572948980382165,-0.011682775960096349,-0.0006695160509275933
13,-0.002102337264180738,0.005515416615420793,-0.01341148465265966,0.007532380919226526,-0.011483787579285257,0.00628454276258299,-0.008013907487508184,0.0029312630776459248
14,0.0001590519778804107,0.005532849843491286,-0.010423450412651887,0.011792541768522055,-0.00874627085351832,0.00974956662516672,-0.00508141690992402,0.005509739507763003
15,0.004236972417045193,0.004748552870624445,-0.004369730676204388,0.013561993701084971,-0.0032562629796093695,0.012316883692105348,-0.0002530535899470382,0.008851287870765917
