horizon,beta_abs,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,theta,boot_se_theta,ci_lo95_theta,ci_hi95_theta,ci_lo90_theta,ci_hi90_theta,ci_lo68_theta,ci_hi68_theta
0,0.00048631903257306006,0.0005725595859852803,-0.000620411725857498,0.0016058436696130569,-0.0005098633334116024,0.0014479340578856346,-0.00018937738338650195,0.0009103258060186768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-7.24504280572497e-5,0.0006746207399218632,-0.0014774545734742711,0.0010419399568470636,-0.0012776453912486012,0.0009136637187719248,-0.000829273214126007,0.0005408648478186721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-0.00047186470549561186,0.0007392493329691657,-0.0019595150521350456,0.000786646616419976,-0.0016994754129925245,0.0006098009197604503,-0.0013204204192163308,0.00020452443347443423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,0.0004464998024574443,0.0007537454654563657,-0.0010759008206536933,0.001751173615744641,-0.0009197419789516974,0.0015451799198009008,-0.00034553489726696737,0.0011954185952767738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,0.0006524596350124307,0.0008531573358177358,-0.0010491250665618135,0.0022784547641753914,-0.000837540546565596,0.0019827080408268936,-0.00026954259344077444,0.0013894848122514615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,0.0014638984488412623,0.0008888287568591011,-0.00040647586355821983,0.0031419016820288313,-7.162848832936975e-5,0.0027551224393503387,0.0004514719149008322,0.0021706904603868817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,0.0015197768735703537,0.0010095967155123089,-0.0006860281842066072,0.003417030565742981,-0.000454861093766521,0.003119274405745918,0.0004768135044110992,0.0023563565534117743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.00028465130387685507,0.0009779085455946634,-0.0017272252519506493,0.0020959172072819343,-0.0015086929698478176,0.0017991056657032396,-0.0007946589221610103,0.0011357108927642807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,0.000697486859948801,0.0010160512131023715,-0.0014309457303329776,0.0025890732716230677,-0.0011405620991965946,0.002253584561278288,-0.0004210541712986916,0.001521417412085553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,0.0007982997782587036,0.0009048244778649006,-0.0010296139032097188,0.0024335539209813534,-0.0008280017663462,0.00213267475565651,-0.0002535863419850779,0.0015047699046586848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.000873272315438585,0.0009294172668551765,-0.001157834913303914,0.002621179471770308,-0.000672333935032352,0.0023756376192504034,-0.0001182887613817597,0.001641724003913031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,0.0006932541709329659,0.0010054101740399409,-0.001658559653632576,0.0023514512105651817,-0.001273775189935893,0.0020918161555723075,-0.0005484075997455106,0.001402944743082413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,0.0014488976084222306,0.001055215597734639,-0.0009208421245631806,0.0032414291868047788,-0.0005613198823274756,0.0029743276379555505,0.00027567481035818843,0.0023072394464232053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,0.0014075702382923849,0.001122780478181316,-0.0009945207828990087,0.0032990323995644765,-0.0006640818351344377,0.003076593652040956,6.79890769716993e-5,0.002273613213707158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0.002061387958108934,0.0012333619340727676,-0.0003028953226638288,0.004474532170703227,6.4000747077705e-5,0.0038693167794280146,0.0006757395000192789,0.0031799555339356313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,0.0027201949486610633,0.001369584823139459,-0.00010643936035535699,0.00524279423288861,0.000325956682571447,0.004819349702177657,0.0012826833287179875,0.004023856924785128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
