ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,35.01403389979727,37,0.582,15.440200728376658,12,0.23,7.415782256717677,13,0.884,2,-0.009848169576376815,0.0048498002512023875,false,false,false,Not_significant
2,Mining,false,50.04258052940602,37,0.072,37.788146992036296,12,0.0,5.337268590894857,13,0.966,8,-0.009110768322233833,0.00404258711489666,false,true,false,Temporary
3,Construction,false,22.59000695662198,37,0.982,10.705133561787429,12,0.574,2.844625806846417,13,0.998,23,0.006543171698601482,0.0046166512498857365,false,false,false,Not_significant
4,Manufacturing_nondurable,false,48.422091634411125,37,0.074,6.301848777907839,12,0.91,17.88286823433716,13,0.17,21,0.004376099236891683,0.00217673602217379,true,false,false,Not_significant
5,Manufacturing_durable,false,39.60216874061884,37,0.368,8.315245380760762,12,0.778,8.951772110982363,13,0.778,21,0.004998239110114926,0.0027927101511746027,false,false,false,Not_significant
6,Transportation_utilities,false,105.69719700588615,37,0.0,18.32228655633909,12,0.102,40.45148847847817,13,0.0,22,0.005403683377405543,0.0019565642744978884,true,false,true,Delayed_persistent
7,Wholesale_trade,false,56.40947521260076,37,0.022,10.787983707864361,12,0.564,18.76210431327255,13,0.146,22,0.003456277421592684,0.001726606793915863,true,false,false,Not_significant
8,Retail_trade,false,58.311441850609945,37,0.008,11.69831684413298,12,0.47,25.89620786539916,13,0.014,24,0.0059563722518779765,0.002705188292946606,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,false,69.11974808178967,37,0.0,16.38768831114901,12,0.174,19.31403379902743,13,0.12,21,0.004088881326050247,0.0015968721823311912,true,false,false,Not_significant
10,Business_repair_services,false,103.03359142476297,37,0.0,17.616311440715897,12,0.116,38.183383818264026,13,0.0,23,0.006547845180030422,0.0023712470920657677,true,false,true,Delayed_persistent
11,Personal_entertainment_services,false,84.64627707904963,37,0.0,18.400917937661422,12,0.1,38.98286341901731,13,0.0,29,0.009926998288391142,0.004280409130807179,true,false,true,Delayed_persistent
12,Professional_related_services,false,55.52546530847234,37,0.026,10.018470999975193,12,0.614,19.730887763751696,13,0.114,28,0.004040249608617906,0.0020651935464075784,true,false,false,Not_significant
13,Public_administration,false,52.270093859257415,37,0.062,10.708716082490465,12,0.578,15.696351365759872,13,0.276,31,0.0033010930142622985,0.0019972054931966525,false,false,false,Not_significant
