occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
2,Professional_specialty,0,-0.00031880903333511015,0.005850281924352724,0.996,false
2,Professional_specialty,1,0.0003293028903529787,0.0052230566022254885,0.952,false
2,Professional_specialty,2,0.006454730131776378,0.005366163384456388,0.22,false
2,Professional_specialty,3,-2.5703976124429534e-5,0.005696736547182134,1.0,false
2,Professional_specialty,4,0.004531739651523852,0.0054232649208200475,0.36,false
2,Professional_specialty,5,0.007263230672331513,0.0053799942885406895,0.144,false
2,Professional_specialty,6,0.001571532268535132,0.005404079501510796,0.76,false
2,Professional_specialty,7,0.0023979056279698403,0.006272501262702719,0.724,false
2,Professional_specialty,8,-0.005944988956740719,0.005907947238656256,0.328,false
2,Professional_specialty,9,0.010642567364371986,0.006460431207429546,0.108,false
2,Professional_specialty,10,0.014557296143555503,0.00495667491664744,0.004,false
2,Professional_specialty,11,0.0033345051790232235,0.005219531365867681,0.508,false
2,Professional_specialty,12,-0.0028869525535720536,0.005420341232236244,0.584,false
2,Professional_specialty,13,-0.0033651559271841514,0.0050568500425131275,0.552,false
2,Professional_specialty,14,0.007238283551783735,0.005655565393551441,0.196,false
2,Professional_specialty,15,0.0004127079281818586,0.005731921462405729,0.964,false
2,Professional_specialty,16,0.0043400102727047555,0.006419997228493132,0.504,false
2,Professional_specialty,17,0.0008453349341607318,0.005849503595017306,0.904,false
2,Professional_specialty,18,0.002613080298429036,0.005544524517237129,0.596,false
2,Professional_specialty,19,-0.004116789855221549,0.005459203978404962,0.464,false
2,Professional_specialty,20,0.004347358024215369,0.006059313196802235,0.464,false
2,Professional_specialty,21,-0.0010822982999036835,0.0050466081764296376,0.836,false
2,Professional_specialty,22,0.0007568091151240615,0.0053234222676175405,0.836,false
2,Professional_specialty,23,0.004350908751571009,0.006690622585179768,0.456,false
2,Professional_specialty,24,0.010059440696419215,0.0059242141519375196,0.084,false
2,Professional_specialty,25,0.0015265194568387745,0.00618757735995,0.844,false
2,Professional_specialty,26,-0.003253929006295506,0.00563336542017309,0.58,false
2,Professional_specialty,27,0.0019004435604474115,0.005864560564255062,0.84,false
2,Professional_specialty,28,-0.004487830267864351,0.0060986245921928715,0.516,false
2,Professional_specialty,29,-0.0026924988168107043,0.0059196808162686534,0.616,false
2,Professional_specialty,30,0.001861349530655435,0.006653601884633345,0.796,false
2,Professional_specialty,31,-0.0009246514440454904,0.006018743363982824,0.884,false
2,Professional_specialty,32,0.0020446431771444307,0.0055315922028732365,0.72,false
2,Professional_specialty,33,-0.00654687822453643,0.0056390336089129686,0.208,false
