horizon,coef_name,beta,dk_se,boot_se,ci_lo95,ci_hi95,ci_lo90,ci_hi90,ci_lo68,ci_hi68,n_boot_valid
0,intercept,-2.149899563543e-8,0.0009586412212328392,0.0008855073748098662,-0.0016077777126537296,0.0017146337862207007,-0.0013285204689072168,0.0015158885378922823,-0.000773702958643083,0.0009669794862413716,500
0,shock,-0.0009496242835112008,0.0023046864038018923,0.0023239478631055296,-0.005757453127607377,0.0028023567068687356,-0.0050800659045214846,0.0022521020726176785,-0.0036662265251556823,0.0012313025729166747,500
0,shock_x_occ2,0.0010256397566875942,0.0034907233229143886,0.003572460932791169,-0.0054139300236530526,0.008320310989518177,-0.00433461040852611,0.007235612650442451,-0.002435148011810542,0.004784564233606439,500
0,shock_x_occ3,-0.008217802020270936,0.004049931631118046,0.004278941310655599,-0.01697116938876275,0.0005282889501990471,-0.015008017780806305,-0.0007866365650322784,-0.012150935952581644,-0.003572793976965626,500
0,shock_x_occ4,-0.005626251559385384,0.004525989951489364,0.004346286762620096,-0.013825348006763091,0.002290004982144207,-0.012697817660326259,0.001456297344598407,-0.009479493411905366,-0.0010321497252441776,500
0,shock_x_occ5,-0.002948303638396371,0.003149927016090957,0.0031378383640266634,-0.00881369667361331,0.0033989370891151028,-0.007953183050753588,0.002538233271200859,-0.0059456298762552194,0.0004283488072559503,500
0,shock_x_occ6,-0.0002608630791675256,0.0034488282949254557,0.0033543657034256335,-0.006724171421534565,0.005738764671390372,-0.0057377313279685805,0.005213711449407038,-0.0036984356161220127,0.00322906603662225,500
0,shock_x_occ7,-0.0022631231055358168,0.005041620795979296,0.005050950884303468,-0.011573819725735113,0.00819959375169857,-0.009809199291689294,0.006479964277224047,-0.007395124039839938,0.0026388690256740157,500
0,shock_x_occ8,-0.006097665220347366,0.004137660848147643,0.004494215893261189,-0.013588104338194261,0.0036107125202381107,-0.012287566546311614,0.0019811281099094626,-0.010128768484756079,-0.0010152010433461282,500
0,shock_x_occ9,0.00071737980273471,0.0034007421813491987,0.00339696552616754,-0.005228635412151087,0.007851875795333613,-0.004463876733833042,0.006798375682423227,-0.00246392211094953,0.004434604221483503,500
0,shock_lag1,-0.0036579832383909217,0.0013852019824330119,0.0015448809936234144,-0.006759231207452192,-0.000772498181648691,-0.006384933313382953,-0.0011882448620906913,-0.0051284567483390105,-0.002236029729351836,500
0,shock_lag2,-0.0024649696368603032,0.0013282184846352331,0.0013585645732168195,-0.005196215999895528,0.0002520640450443676,-0.004811164605091724,-0.00032722455978309334,-0.003686012078227931,-0.0010929681737992315,500
0,shock_lag3,0.00021706176936592096,0.0014580652439251062,0.0015570331799772252,-0.0028323863714526418,0.0032464526485139517,-0.0023811287333929437,0.0026586530749505965,-0.001412805706431439,0.0016418732452835295,500
0,shock_lag4,-0.002436320746671827,0.0012802809242373244,0.0012698546515374361,-0.004775532967449951,0.0001503125342842068,-0.004389067989125161,-0.0002806078096329142,-0.0035794764552775247,-0.0010947971429157335,500
0,shock_lag5,-0.002172950584212197,0.001244898992375198,0.001314288174886248,-0.004622068089685995,0.00032377380555638344,-0.004240121086887624,-1.2068621583212522e-5,-0.003422084465966216,-0.0008001147896628272,500
0,shock_lag6,-0.002738785280474591,0.0012303143049844385,0.0012814201198819179,-0.005139138870830505,-0.00020838992417834644,-0.0047761369817267176,-0.0004828182150725429,-0.0038450587517610078,-0.0013283867244455194,500
0,shock_lag7,-0.0026254294292397994,0.0011946664282665497,0.001295556826446146,-0.00502812002912611,-5.222165856390373e-5,-0.004661374750023391,-0.00040524282168251336,-0.0038031051652279075,-0.0012325482920994804,500
0,shock_lag8,-0.002531343932941871,0.0010688973983290662,0.0012357018964641313,-0.005274598415418866,-0.0001861780974274396,-0.004556024988809628,-0.0005551064280032786,-0.0037268795392683992,-0.0013393371626514244,500
0,shock_lag9,-0.0021660972328534185,0.001204914017803759,0.0012213459820112058,-0.0048094683262647825,6.928665501182294e-5,-0.004454728710944844,-0.0003116986372829208,-0.003424158023214033,-0.0010495722292226928,500
0,shock_lag10,-0.0002663126629501115,0.0011582034676847165,0.001126012691541894,-0.0025357448327128773,0.0018202832511085214,-0.0021666670451338556,0.0014182583720597623,-0.001410351110003592,0.0007789532215938789,500
0,shock_lag11,-0.0010491786796193612,0.001119217465121269,0.0011355602904592596,-0.0033796831836576335,0.0010002799328767006,-0.002984125301155192,0.0007244556953965237,-0.002223709232285741,2.130651557219354e-6,500
0,shock_lag12,-0.0021193799994660293,0.0011750865281526708,0.001252091603969471,-0.004571121865260173,0.00029079179069341926,-0.004163369447119404,-0.00018254873836690637,-0.003485622807516176,-0.0009958202386358768,500
0,log_oil_lag1,0.015211528747132403,0.003563244387664522,0.003569994583678373,0.009144727214319363,0.02279871460690213,0.00996784723409228,0.021517070420679636,0.012304292038269476,0.01948267143963264,500
