occ_group,occ_label,horizon,theta,boot_se,p_value,bh_reject
2,Professional_specialty,0,-0.0009551083159751727,0.005831622567787629,0.892,false
2,Professional_specialty,1,0.00035121293753369884,0.00519647602136629,0.952,false
2,Professional_specialty,2,0.006539190724731526,0.005367493360464889,0.2,false
2,Professional_specialty,3,0.0001846355034005093,0.005717469421605637,0.932,false
2,Professional_specialty,4,0.004931596489690989,0.005427179277378449,0.312,false
2,Professional_specialty,5,0.007874271384444603,0.00534319201657782,0.104,false
2,Professional_specialty,6,0.0021773156574498224,0.0053802287876307305,0.684,false
2,Professional_specialty,7,0.002830596276248962,0.0062435257944594424,0.688,false
2,Professional_specialty,8,-0.005278308790991856,0.005891626309107741,0.36,false
2,Professional_specialty,9,0.011086893426476568,0.006442560060918472,0.084,false
2,Professional_specialty,10,0.014873988162319078,0.0048966452302460495,0.004,false
2,Professional_specialty,11,0.003178809905429509,0.005236465035126752,0.524,false
2,Professional_specialty,12,-0.003010470094329295,0.005409523826406686,0.552,false
2,Professional_specialty,13,-0.003546727330379369,0.005060415554222016,0.532,false
2,Professional_specialty,14,0.007118713232854987,0.005620833858588562,0.208,false
2,Professional_specialty,15,0.0007833531185471734,0.005663566070433002,0.904,false
2,Professional_specialty,16,0.004856551230767508,0.006418876791019602,0.472,false
2,Professional_specialty,17,0.001330227533276196,0.005847972490995589,0.868,false
2,Professional_specialty,18,0.003244104929844218,0.005480497548975294,0.512,false
2,Professional_specialty,19,-0.0033000496579971214,0.005490537893354918,0.58,false
2,Professional_specialty,20,0.004906925481677732,0.00595627021482398,0.404,false
2,Professional_specialty,21,-0.0005567799004242362,0.0050503902202739545,0.924,false
2,Professional_specialty,22,0.001275216353263878,0.005312071855082043,0.78,false
2,Professional_specialty,23,0.004542824736976841,0.006688933996492004,0.436,false
2,Professional_specialty,24,0.009765306780194143,0.005939035407714361,0.096,false
2,Professional_specialty,25,0.0015623096265057704,0.006159961293183526,0.844,false
2,Professional_specialty,26,-0.0031369274353515693,0.005625289641895587,0.596,false
2,Professional_specialty,27,0.0023237420011806716,0.005749772307399285,0.756,false
2,Professional_specialty,28,-0.004150556798675078,0.006100241772293128,0.548,false
2,Professional_specialty,29,-0.00235829186139853,0.0058895002523906255,0.656,false
2,Professional_specialty,30,0.002775936422032139,0.0065698594611318896,0.692,false
2,Professional_specialty,31,-6.368797218361425e-5,0.005925702259152453,1.0,false
2,Professional_specialty,32,0.0028187426625807055,0.005391099123991847,0.62,false
2,Professional_specialty,33,-0.00619209570048859,0.005625253612545037,0.208,false
2,Professional_specialty,34,-0.00010012013191379529,0.006242069536889542,1.0,false
2,Professional_specialty,35,0.00957332486950324,0.0057397063250868305,0.104,false
2,Professional_specialty,36,0.004226429368733347,0.005762554069806285,0.476,false
3,High_tech,0,-0.005623414359771306,0.007583748610501808,0.504,false
3,High_tech,1,0.0006968772493216742,0.008275565165901668,1.0,false
3,High_tech,2,0.00422272703026961,0.007663533636531825,0.624,false
3,High_tech,3,0.004384653191314138,0.00733596993674438,0.532,false
3,High_tech,4,-0.0033274001492366663,0.009272990602973099,0.74,false
3,High_tech,5,0.00510299849126916,0.00755146327400214,0.5,false
3,High_tech,6,-0.0017543752326726048,0.007409931785237974,0.832,false
3,High_tech,7,-0.00010701424351738879,0.007356726552912198,0.996,false
3,High_tech,8,-0.008868883998287539,0.007407973487824654,0.212,false
3,High_tech,9,-0.000904017680668083,0.008289841065876304,0.98,false
3,High_tech,10,-0.0013207919061348002,0.008255071108210315,0.824,false
3,High_tech,11,-0.009156928761734837,0.00703987262346229,0.22,false
3,High_tech,12,-0.01101718036098573,0.007575805150409201,0.16,false
3,High_tech,13,-0.011074576413163093,0.007412215253622919,0.16,false
3,High_tech,14,-0.00017925701105784346,0.008199873642285268,1.0,false
3,High_tech,15,0.000373979604988006,0.007480412001131413,0.928,false
3,High_tech,16,0.003072059163716613,0.007464400169589656,0.744,false
3,High_tech,17,0.002737831521046042,0.0071324990255204,0.732,false
3,High_tech,18,-0.002647192920803416,0.008541640235451233,0.736,false
3,High_tech,19,-0.0031533734090894152,0.0069594703139219385,0.62,false
3,High_tech,20,0.0032823727605948375,0.008199199285626211,0.688,false
3,High_tech,21,-0.002829387667531713,0.008208269993188199,0.804,false
3,High_tech,22,-0.0017410615222663661,0.006758798019655418,0.808,false
3,High_tech,23,-0.0025609196884593026,0.008832216295188286,0.776,false
3,High_tech,24,0.006766976594626745,0.007666274498825172,0.396,false
3,High_tech,25,0.0009105471336252122,0.007704123900701228,0.928,false
3,High_tech,26,0.0006279808480806101,0.008076414613770181,0.936,false
3,High_tech,27,-0.0061082995902813145,0.008715229374532014,0.476,false
3,High_tech,28,-0.003976336474506804,0.008249625494629305,0.632,false
3,High_tech,29,-0.007394186601337655,0.007256625032906336,0.252,false
3,High_tech,30,-0.002366243562506884,0.007998174665861547,0.76,false
3,High_tech,31,-0.001404340886771701,0.008540421287907241,0.864,false
3,High_tech,32,-0.00742161533246123,0.0076794768395634936,0.32,false
3,High_tech,33,0.0011515394426454466,0.008472680693376072,0.984,false
3,High_tech,34,-0.006020985688271519,0.008207362405081164,0.42,false
