date,occ_group,rows,pop_weight_sum,n_obs_sum,valid_unemp_rate,valid_log_emp_count
1989-01-01,1,1,406793.94,0,1,1
1989-01-01,2,1,20868.1,0,1,1
1989-01-01,3,1,22283.488,0,1,1
1989-01-01,4,1,90279.16,0,1,1
1989-01-01,5,1,104586.83,0,1,1
1989-01-01,6,1,9162.34,0,1,1
1989-01-01,7,1,15274.869,0,1,1
1989-01-01,8,1,44805.94,0,1,1
1989-01-01,9,1,676340.9,0,1,1
1989-04-01,1,1,417614.38,0,1,1
1989-04-01,2,1,16631.87,0,1,1
1989-04-01,3,1,21254.35,0,1,1
1989-04-01,4,1,64233.82,0,1,1
1989-04-01,5,1,137560.83,0,1,1
1989-04-01,6,1,5203.62,0,1,1
1989-04-01,7,1,21146.3,0,1,1
1989-04-01,8,1,49347.082,0,1,1
1989-04-01,9,1,716422.75,0,1,1
1989-07-01,1,1,384142.38,0,1,1
1989-07-01,2,1,25169.73,0,1,1
1989-07-01,3,1,10601.889,0,1,1
1989-07-01,4,1,73876.766,0,1,1
1989-07-01,5,1,99590.65,0,1,1
1989-07-01,6,1,11191.13,0,1,1
1989-07-01,7,1,5667.8496,0,1,1
1989-07-01,8,1,37735.25,0,1,1
1989-07-01,9,1,907323.5,0,1,1
1989-10-01,1,1,397472.3,0,1,1
1989-10-01,2,1,38582.53,0,1,1
1989-10-01,3,1,11303.0,0,1,1
1989-10-01,4,1,100944.15,0,1,1
1989-10-01,5,1,102554.55,0,1,1
1989-10-01,6,1,18519.89,0,1,1
1989-10-01,7,1,9346.79,0,1,1
1989-10-01,8,1,35530.97,0,1,1
1989-10-01,9,1,767956.44,0,1,1
1990-01-01,1,1,466301.25,0,1,1
1990-01-01,2,1,27053.23,0,1,1
1990-01-01,3,1,19676.72,0,1,1
1990-01-01,4,1,80276.33,0,1,1
1990-01-01,5,1,105004.72,0,1,1
1990-01-01,6,1,12792.121,0,1,1
1990-01-01,7,1,25416.617,0,1,1
1990-01-01,8,1,27803.98,0,1,1
1990-01-01,9,1,670640.56,0,1,1
1990-04-01,1,1,392454.75,0,1,1
1990-04-01,2,1,11101.291,0,1,1
1990-04-01,3,1,11229.02,0,1,1
1990-04-01,4,1,42958.72,0,1,1
1990-04-01,5,1,105381.24,0,1,1
1990-04-01,6,1,9096.43,0,1,1
1990-04-01,7,1,20157.47,0,1,1
1990-04-01,8,1,40314.96,0,1,1
1990-04-01,9,1,717451.8,0,1,1
1990-07-01,1,1,432621.44,0,1,1
1990-07-01,2,1,18053.75,0,1,1
1990-07-01,3,1,19307.18,0,1,1
1990-07-01,4,1,57104.938,0,1,1
1990-07-01,5,1,103635.625,0,1,1
1990-07-01,6,1,14559.59,0,1,1
1990-07-01,7,1,12884.09,0,1,1
1990-07-01,8,1,40542.01,0,1,1
1990-07-01,9,1,711289.75,0,1,1
1990-10-01,1,1,436880.22,0,1,1
1990-10-01,2,1,25214.68,0,1,1
1990-10-01,3,1,22487.45,0,1,1
1990-10-01,4,1,71874.3,0,1,1
1990-10-01,5,1,80301.08,0,1,1
1990-10-01,6,1,10966.85,0,1,1
1990-10-01,7,1,20541.23,0,1,1
1990-10-01,8,1,43279.16,0,1,1
1990-10-01,9,1,777053.7,0,1,1
1991-01-01,1,1,413534.06,0,1,1
1991-01-01,2,1,28789.672,0,1,1
1991-01-01,3,1,17710.61,0,1,1
1991-01-01,4,1,75755.8,0,1,1
1991-01-01,5,1,94249.61,0,1,1
1991-01-01,7,1,16078.389,0,1,1
1991-01-01,8,1,43689.89,0,1,1
1991-01-01,9,1,789197.25,0,1,1
1991-04-01,1,1,348487.94,0,1,1
1991-04-01,2,1,31518.23,0,1,1
1991-04-01,3,1,21847.18,0,1,1
1991-04-01,4,1,52056.555,0,1,1
1991-04-01,5,1,92054.68,0,1,1
1991-04-01,6,1,11017.75,0,1,1
1991-04-01,7,1,12978.621,0,1,1
1991-04-01,8,1,44093.316,0,1,1
1991-04-01,9,1,803448.3,0,1,1
1991-07-01,1,1,379442.5,0,1,1
1991-07-01,2,1,14923.37,0,1,1
1991-07-01,3,1,12406.29,0,1,1
1991-07-01,4,1,62630.875,0,1,1
1991-07-01,5,1,88309.73,0,1,1
1991-07-01,6,1,3248.3398,0,1,1
1991-07-01,7,1,25450.01,0,1,1
1991-07-01,8,1,25219.0,0,1,1
1991-07-01,9,1,743392.8,0,1,1
1991-10-01,1,1,411561.03,0,1,1
1991-10-01,2,1,27105.71,0,1,1
1991-10-01,3,1,10160.22,0,1,1
1991-10-01,4,1,42264.652,0,1,1
1991-10-01,5,1,115964.32,0,1,1
1991-10-01,6,1,11973.76,0,1,1
1991-10-01,7,1,18107.28,0,1,1
1991-10-01,8,1,38810.33,0,1,1
1991-10-01,9,1,826098.1,0,1,1
1992-01-01,1,1,310258.06,0,1,1
1992-01-01,2,1,34180.6,0,1,1
1992-01-01,3,1,10241.73,0,1,1
1992-01-01,4,1,40863.83,0,1,1
1992-01-01,5,1,177211.6,0,1,1
1992-01-01,6,1,1644.23,0,1,1
1992-01-01,7,1,11334.68,0,1,1
1992-01-01,8,1,57549.797,0,1,1
1992-01-01,9,1,840644.1,0,1,1
1992-04-01,1,1,318189.12,0,1,1
1992-04-01,2,1,13653.13,0,1,1
1992-04-01,3,1,8966.54,0,1,1
1992-04-01,4,1,26994.41,0,1,1
1992-04-01,5,1,152251.14,0,1,1
1992-04-01,6,1,6071.5703,0,1,1
1992-04-01,7,1,15560.42,0,1,1
1992-04-01,8,1,44995.023,0,1,1
1992-04-01,9,1,867951.1,0,1,1
1992-07-01,1,1,355292.4,0,1,1
1992-07-01,2,1,20699.27,0,1,1
1992-07-01,3,1,5538.25,0,1,1
1992-07-01,4,1,27457.84,0,1,1
1992-07-01,5,1,167696.66,0,1,1
1992-07-01,6,1,14914.239,0,1,1
1992-07-01,7,1,17685.89,0,1,1
1992-07-01,8,1,36503.96,0,1,1
1992-07-01,9,1,829300.5,0,1,1
