occ_group,occ_label,horizon,beta,boot_se,p_value,bh_reject
1,Managerial,0,0.000575519124799121,0.00042124718292952133,0.196,false
1,Managerial,1,-0.00045207349482366516,0.0005183288287094683,0.32,false
1,Managerial,2,-0.0005728948691650023,0.0005829559196517839,0.264,false
1,Managerial,3,-7.481907844834281e-5,0.0005636955387674463,0.912,false
1,Managerial,4,0.0007715199509229504,0.0006046366368915776,0.168,false
1,Managerial,5,0.0009132463094409791,0.0006332000692260357,0.14,false
1,Managerial,6,0.0009266396542983575,0.0006250745924257673,0.168,false
1,Managerial,7,0.0006101387885759721,0.0007034880774136199,0.412,false
1,Managerial,8,0.0008572541171683858,0.0006990107724994661,0.28,false
1,Managerial,9,0.0011595626188548728,0.0007186170535869441,0.156,false
1,Managerial,10,0.0010852426392361219,0.0007894444409113077,0.232,false
1,Managerial,11,0.0006468465715579983,0.0008734188626553157,0.568,false
1,Managerial,12,0.0011127683770004832,0.0008398492869748149,0.236,false
1,Managerial,13,0.0010867797381870978,0.0008326620007057889,0.236,false
1,Managerial,14,0.00166112435542553,0.0008121698120749167,0.06,false
1,Managerial,15,0.0014392668488550045,0.000781532345043589,0.056,false
1,Managerial,16,0.0019831935890634953,0.0007927579687248745,0.012,false
1,Managerial,17,0.001596761854651568,0.0009636377821382946,0.1,false
1,Managerial,18,0.0019093821422333352,0.000826094439340289,0.024,false
1,Managerial,19,0.0019873586217172426,0.0008827278351585696,0.016,false
1,Managerial,20,0.0016285421714772258,0.0008481893617282997,0.084,false
1,Managerial,21,0.0021785977263840805,0.0008696256308224768,0.016,false
1,Managerial,22,0.001995749638332687,0.0008738238095156951,0.012,false
1,Managerial,23,0.002496766161898276,0.0008314662858201197,0.0,true
1,Managerial,24,0.0021677012863106034,0.0009107708446023927,0.024,false
1,Managerial,25,0.001754182878254751,0.0008078653864840915,0.052,false
1,Managerial,26,0.0014356049264841891,0.0008422809641268145,0.112,false
1,Managerial,27,0.0016501388205627414,0.0008146689559636649,0.028,false
1,Managerial,28,0.002278526892388325,0.0008304134102729767,0.004,false
1,Managerial,29,0.002526592995221818,0.0008348010023548754,0.004,false
1,Managerial,30,0.0023869929294420117,0.0008093160991595865,0.012,false
1,Managerial,31,0.0021411083987182304,0.0008001206353977696,0.016,false
1,Managerial,32,0.001916007212574204,0.0007849386014730278,0.008,false
1,Managerial,33,0.0017895558820392767,0.0008455434141393458,0.028,false
1,Managerial,34,0.0017577756745225906,0.0008123671085791939,0.032,false
1,Managerial,35,0.0011910177241943555,0.0008933147123410328,0.18,false
1,Managerial,36,0.0009210620211987578,0.0009090699294100563,0.288,false
2,Professional_specialty,0,0.0004652558341089259,0.0006070110765706422,0.544,false
2,Professional_specialty,1,-0.0007239843812579463,0.0008294669787834985,0.272,false
2,Professional_specialty,2,-0.0003857881302518636,0.0009704256702659138,0.596,false
2,Professional_specialty,3,0.0006214277612941281,0.000775618231503709,0.456,false
2,Professional_specialty,4,0.0013126954350318814,0.0007889632583948175,0.076,false
2,Professional_specialty,5,0.0016772960372135153,0.0008511156535983452,0.04,false
2,Professional_specialty,6,0.0006767041569235081,0.0008840332867850038,0.472,false
2,Professional_specialty,7,8.121487450206119e-5,0.0009322797399644626,1.0,false
2,Professional_specialty,8,-0.0004258992174592486,0.000803990674707516,0.556,false
2,Professional_specialty,9,0.00028531438110275,0.0007930730098243136,0.748,false
2,Professional_specialty,10,0.0006007529661812768,0.0007303146713403631,0.452,false
2,Professional_specialty,11,0.0006378872996187117,0.0007660204638497449,0.472,false
2,Professional_specialty,12,0.0011125226264648046,0.0007305597222794745,0.22,false
2,Professional_specialty,13,0.0008474990515924969,0.0008795977810294121,0.468,false
2,Professional_specialty,14,0.0016055732974164783,0.0009130403613149029,0.116,false
