occ_group,occ_label,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_beta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Managerial,54.059690371073806,37,0.046,10.971631496293167,12,0.53,22.224413360718795,13,0.058,29,0.002526592995221818,0.0008348010023548754,true,false,false,Not_significant
2,Professional_specialty,52.42561813614843,37,0.064,13.140968398111948,12,0.344,19.744144681734785,13,0.114,29,0.0027004946696534008,0.0010433765358117285,true,false,false,Not_significant
3,High_tech,56.27217408453371,37,0.032,14.68801706609296,12,0.254,17.339040084044647,13,0.184,16,0.0029384358938060085,0.000874051657573245,true,false,false,Not_significant
4,Sales,66.67764016408228,37,0.002,16.052437151477548,12,0.178,31.366124037080372,13,0.008,24,0.0048846361660998105,0.0014788509084897117,true,false,true,Delayed_persistent
5,Administrative_support,48.21504531366849,37,0.106,11.114518154104303,12,0.502,18.62142540053099,13,0.146,29,0.0033928675225175686,0.0013595809481928545,false,false,false,Not_significant
6,Service,49.4160947509105,37,0.102,12.840609115456743,12,0.38,20.723167317001234,13,0.1,24,0.004392617600300225,0.0018232911050563888,false,false,false,Not_significant
7,Farming_forestry_construction,33.38713666645706,37,0.64,7.769113132287847,12,0.824,13.367845690470933,13,0.438,18,0.007469997300858013,0.004052593833269896,false,false,false,Not_significant
8,Precision_production_repair,58.79547017620773,37,0.014,17.327737453674565,12,0.15,23.97883137812619,13,0.03,28,0.0036256599701432824,0.0012517565438806039,true,false,false,Not_significant
9,Machine_operators_transport,53.70938670669823,37,0.034,17.022042030220273,12,0.162,17.52902333400762,13,0.18,23,0.005781423129427606,0.0020419544694999197,true,false,false,Not_significant
