ind_group,ind_label,is_baseline,W_full,H_full,p_full,W_short,H_short,p_short,W_long,H_long,p_long,peak_horizon,peak_theta,peak_boot_se,bh_reject_full,bh_reject_short,bh_reject_long,persistence_type
1,Agriculture_forestry_fishing,false,130.72787064629532,37,0.0,36.399120306155,12,0.0,49.08210130122779,13,0.0,31,-0.03127945262989306,0.008400887669008114,true,true,true,Persistent
2,Mining,false,35.275847989234386,37,0.562,9.116208098388617,12,0.712,13.622653397387607,13,0.396,15,-0.027562533746963578,0.010807384846927013,false,false,false,Not_significant
3,Construction,false,25.500838551419832,37,0.932,6.218473859169392,12,0.9,10.044309429238808,13,0.71,20,0.009761693672926702,0.005568478460955936,false,false,false,Not_significant
4,Manufacturing_nondurable,false,29.59807537074978,37,0.82,9.248084746647516,12,0.71,13.86889382472093,13,0.406,35,-0.012121203872316825,0.006440680089164158,false,false,false,Not_significant
5,Manufacturing_durable,false,19.795259368781196,37,0.99,3.8783083810297647,12,0.988,8.754845367887185,13,0.788,36,-0.008381908729136621,0.004889611155515087,false,false,false,Not_significant
6,Transportation_utilities,false,20.51612383956552,37,0.992,7.194210428623878,12,0.868,8.635017659730533,13,0.792,24,0.006979519153578399,0.004248678946829051,false,false,false,Not_significant
7,Wholesale_trade,false,33.082674586540946,37,0.652,12.545635632707874,12,0.416,8.307638902172398,13,0.834,5,-0.012780165379288397,0.005940761720147186,false,false,false,Not_significant
8,Retail_trade,false,72.20883616286004,37,0.0,19.87238702362258,12,0.066,28.70858219224542,13,0.008,29,-0.010426667031852892,0.005871354924610574,true,false,true,Delayed_persistent
9,Finance_insurance_realestate,false,51.81514887652763,37,0.046,12.788360040270948,12,0.414,18.843045048469556,13,0.128,35,-0.013557831111786808,0.004939496163607442,false,false,false,Not_significant
10,Business_repair_services,false,69.73707112556255,37,0.0,16.03804279214214,12,0.21,30.252340839147514,13,0.002,20,-0.015984348304222587,0.005966912672510761,true,false,true,Delayed_persistent
11,Personal_entertainment_services,false,50.80936833831485,37,0.058,15.90878997667215,12,0.196,9.116161636843968,13,0.788,19,0.015668901373809784,0.006630532615989664,false,false,false,Not_significant
12,Professional_related_services,false,26.630551822983236,37,0.902,9.290158018144822,12,0.664,15.378731085279771,13,0.268,36,-0.007455143530372755,0.0036129515136535135,false,false,false,Not_significant
13,Public_administration,false,123.38473780401502,37,0.0,36.76125016442321,12,0.0,44.42064606391551,13,0.0,31,-0.012677083776263537,0.005032734866648999,true,true,true,Persistent
